datetime,open,high,low,close,volume
2013-12-09 02:00:00,23.95,25.44,23.4501,24.6,43197268
2013-12-10 02:00:00,24.54,25.17,24.41,24.88,18660625
2013-12-11 02:00:00,25.44,27.2,25.37,25.99,38843371
2013-12-12 02:00:00,26.2,26.71,25.45,25.45,19981824
2013-12-13 02:00:00,25.61,26.3,25.5201,26.23,12192421
2013-12-16 02:00:00,26.63,26.7658,26.35,26.61,13190945
2013-12-17 02:00:00,26.47,26.59,25.9501,26.1,11413199
2013-12-18 02:00:00,25.99,26.23,25.55,26.23,9994162
2013-12-19 02:00:00,26.09,26.49,25.821,26.12,6916497
2013-12-20 02:00:00,26.16,26.49,26.14,26.33,8530924
2013-12-23 02:00:00,26.29,26.49,26.05,26.18,5403084
2013-12-24 02:00:00,26.0,26.26,26.0,26.25,2652974
2013-12-26 02:00:00,26.12,26.36,25.975,26.13,4226639
2013-12-27 02:00:00,25.95,26.1,24.91,24.94,13227018
2013-12-30 02:00:00,24.87,25.25,24.65,24.78,8841369
2013-12-31 02:00:00,24.74,25.25,24.63,25.25,7168395
2014-01-02 02:00:00,25.07,25.82,25.06,25.36,8998943
2014-01-03 02:00:00,25.75,26.75,25.51,26.54,13836062
2014-01-06 02:00:00,26.62,27.2,26.6,27.03,11272273
2014-01-07 02:00:00,27.2,27.3997,26.67,26.905,11288775
2014-01-08 02:00:00,26.37,27.68,26.35,27.63,15736891
2014-01-09 02:00:00,28.24,29.6,28.2,29.42,26056445
2014-01-10 02:00:00,29.05,29.83,28.75,29.35,12824160
2014-01-13 02:00:00,29.18,29.53,28.58,28.65,10591701
2014-01-14 02:00:00,28.75,29.04,28.71,28.87,10601529
2014-01-15 02:00:00,28.9,29.44,28.7,28.84,11192558
2014-01-16 02:00:00,28.94,29.39,28.7,29.34,7034698
2014-01-17 02:00:00,29.3,30.02,29.171,30.02,18304949
2014-01-21 02:00:00,30.66,30.8,30.2,30.66,10612821
2014-01-22 02:00:00,30.71,31.24,30.65,31.2,7583631
2014-01-23 02:00:00,30.65,31.46,30.62,31.35,11397447
2014-01-24 02:00:00,31.02,31.18,29.91,30.4,13699981
2014-01-27 02:00:00,30.4,30.87,28.67,30.18,16288488
2014-01-28 02:00:00,30.32,32.2,30.02,31.96,23966003
2014-01-29 02:00:00,32.24,33.4,32.1,32.98,22726800
2014-01-30 02:00:00,33.36,34.2,33.2,33.8,13677012
2014-01-31 02:00:00,33.44,34.08,33.0,33.55,12795698
2014-02-03 02:00:00,33.95,34.48,33.05,33.96,21743871
2014-02-04 02:00:00,34.04,34.38,33.58,34.05,11241908
2014-02-05 02:00:00,33.94,33.97,33.4,33.8,15471546
2014-02-06 02:00:00,33.71,34.92,33.7,34.66,13924507
2014-02-07 02:00:00,34.81,35.7,34.65,35.67,15411777
2014-02-10 02:00:00,36.1,36.15,35.38,35.58,11110235
2014-02-11 02:00:00,35.58,35.64,34.39,35.13,11990875
2014-02-12 02:00:00,34.89,35.0,34.36,34.69,9386780
2014-02-13 02:00:00,34.07,35.04,34.06,35.025,8412272
2014-02-14 02:00:00,34.85,35.176,34.22,34.41,7307286
2014-02-18 02:00:00,34.73,34.95,34.2,34.31,7090152
2014-02-19 02:00:00,34.25,35.09,34.11,34.59,7259501
2014-02-20 02:00:00,34.43,35.6694,34.43,35.66,9289448
2014-02-21 02:00:00,35.79,36.45,35.75,36.17,7821334
2014-02-24 02:00:00,36.2,36.66,36.02,36.65,7022370
2014-02-25 02:00:00,36.63,37.15,36.51,37.0,8991389
2014-02-26 02:00:00,37.12,37.28,36.58,36.75,10516864
2014-02-27 02:00:00,36.88,36.9485,36.34,36.56,5666647
2014-02-28 02:00:00,36.11,36.98,36.07,36.93,7991349
