datetime,open,high,low,close,volume
2010-02-16 02:00:00,25.49,25.74,25.34,25.65,2339883
2010-02-17 02:00:00,25.72,25.87,25.44,25.69,1990523
2010-02-18 02:00:00,25.57,25.83,25.5,25.73,1983420
2010-02-19 02:00:00,25.62,25.99,25.61,25.89,2508920
2010-02-22 02:00:00,25.94,26.1,25.75,25.88,2395020
2010-02-23 02:00:00,25.76,25.96,25.48,25.63,2090709
2010-02-24 02:00:00,25.66,25.97,25.52,25.76,1632434
2010-02-25 02:00:00,25.41,25.73,25.17,25.66,2278221
2010-02-26 02:00:00,25.74,26.45,25.52,26.3,4167729
2010-03-01 02:00:00,26.53,27.27,26.53,27.19,2988202
2010-03-02 02:00:00,27.5,27.68,27.25,27.45,3099924
2010-03-03 02:00:00,28.04,28.75,27.75,28.12,7599395
2010-03-04 02:00:00,28.2,28.4291,27.81,28.27,3773999
2010-03-05 02:00:00,28.45,29.34,28.25,29.2,4290135
2010-03-08 02:00:00,29.41,29.65,29.26,29.45,4953238
2010-03-09 02:00:00,29.56,30.45,29.43,30.41,7947041
2010-03-10 02:00:00,30.52,31.3299,30.27,31.27,7391162
2010-03-11 02:00:00,31.19,31.44,30.88,31.41,4521931
2010-03-12 02:00:00,31.5685,32.23,31.15,31.94,8515962
2010-03-15 01:00:00,31.37,31.54,30.81,31.28,6041928
2010-03-16 01:00:00,31.36,31.73,31.13,31.65,4407209
2010-03-17 01:00:00,31.7,32.46,31.6,32.08,3358327
2010-03-18 01:00:00,32.21,32.27,31.72,31.94,4064240
2010-03-19 01:00:00,32.08,32.08,31.32,31.39,4269341
2010-03-22 01:00:00,30.39,31.26,30.02,31.26,6050726
2010-03-23 01:00:00,31.38,31.59,31.04,31.52,3828818
2010-03-24 01:00:00,31.38,31.69,31.23,31.56,4740681
2010-03-25 01:00:00,31.9,32.159,31.48,31.51,3889848
2010-03-26 01:00:00,31.77,32.1,31.515,31.68,3098274
2010-03-29 01:00:00,31.81,32.18,31.63,31.68,2457183
2010-03-30 01:00:00,31.71,31.94,31.51,31.61,2916846
2010-03-31 01:00:00,31.43,31.68,31.3,31.42,2239814
2010-04-01 01:00:00,31.63,31.8764,31.13,31.41,2027321
2010-04-05 01:00:00,31.44,32.59,31.44,32.45,3079808
2010-04-06 01:00:00,32.44,33.0,32.26,32.83,3259946
2010-04-07 01:00:00,32.66,32.83,32.3801,32.66,3833537
2010-04-08 01:00:00,32.56,32.64,32.22,32.6,2570473
2010-04-09 01:00:00,32.6,33.31,32.55,33.21,2876603
2010-04-12 01:00:00,33.37,33.79,33.24,33.51,2606042
2010-04-13 01:00:00,33.53,33.5899,33.14,33.46,1939706
2010-04-14 01:00:00,33.7,34.25,33.64,34.16,2367773
2010-04-15 01:00:00,34.16,34.76,34.04,34.12,3584616
2010-04-16 01:00:00,33.95,34.09,32.98,33.22,5526043
2010-04-19 01:00:00,33.0,33.36,32.03,32.47,5197086
2010-04-20 01:00:00,32.81,33.23,32.7,33.15,2489960
2010-04-21 01:00:00,33.48,33.69,33.19,33.58,2539689
2010-04-22 01:00:00,33.2,34.45,33.0,34.35,3798789
2010-04-23 01:00:00,34.35,34.79,33.97,34.22,2782963
2010-04-26 01:00:00,34.29,34.86,34.13,34.67,2757387
2010-04-27 01:00:00,34.52,34.84,33.56,33.7,3998348
2010-04-28 01:00:00,33.55,33.66,32.89,33.18,4927158
2010-04-29 01:00:00,36.745,40.1,36.55,39.63,16669878
2010-04-30 01:00:00,39.63,39.79,38.61,38.83,5952357
2010-05-03 01:00:00,39.33,40.18,39.3001,39.76,4140012
2010-05-04 01:00:00,39.0,39.15,37.9,38.39,3964879
2010-05-05 01:00:00,37.59,38.83,37.39,38.1,4379793
2010-05-06 01:00:00,38.02,38.55,33.95,37.39,6483649
2010-05-07 01:00:00,36.81,36.92,34.4,35.71,8249483
2010-05-10 01:00:00,37.75,39.21,35.56,38.38,5498054
2010-05-11 01:00:00,37.87,39.63,37.5,38.52,3757926
2010-05-12 01:00:00,38.55,39.6,38.55,39.42,3046571
2010-05-13 01:00:00,39.47,40.88,39.25,39.75,5094352
2010-05-14 01:00:00,39.25,39.37,38.102,38.9,2712779
2010-05-17 01:00:00,38.925,41.16,38.87,41.03,8027019
2010-05-18 01:00:00,41.84,42.69,40.39,40.48,6038889
2010-05-19 01:00:00,39.81,40.88,39.08,39.95,4034996
2010-05-20 01:00:00,38.77,38.8,37.14,37.63,5485667
2010-05-21 01:00:00,36.55,39.66,36.3,38.93,4615652
2010-05-24 01:00:00,39.09,39.7391,38.77,39.03,3017658
2010-05-25 01:00:00,37.0,38.91,36.79,38.91,3971607
2010-05-26 01:00:00,39.6,40.39,38.67,38.85,3761392
2010-05-27 01:00:00,39.47,40.22,39.02,40.22,3823939
2010-05-28 01:00:00,40.32,40.5,39.03,39.72,3461124
2010-06-01 01:00:00,39.14,40.67,39.03,39.5,3074630
2010-06-02 01:00:00,39.45,41.29,39.18,41.27,4442815
2010-06-03 01:00:00,41.94,43.5,41.39,43.08,6321023
2010-06-04 01:00:00,42.1,43.39,41.55,41.905,6239650
2010-06-07 01:00:00,42.02,42.93,41.13,41.22,4408602
2010-06-08 01:00:00,41.19,42.2,39.79,40.52,5823473
2010-06-09 01:00:00,41.14,42.99,41.11,41.82,6135107
2010-06-10 01:00:00,42.98,43.9,41.87,42.83,5551159
2010-06-11 01:00:00,42.32,44.4,42.16,44.3,4245287
2010-06-14 01:00:00,44.48,44.5,43.26,43.68,5933143
2010-06-15 01:00:00,43.8,45.1,43.74,45.04,5016505
2010-06-16 01:00:00,44.76,45.85,44.5601,45.13,4302147
2010-06-17 01:00:00,45.46,45.73,44.57,45.59,3780463
2010-06-18 01:00:00,45.54,46.19,45.27,45.72,3943579
2010-06-21 01:00:00,46.31,46.72,45.01,45.27,3539684
2010-06-22 01:00:00,45.85,46.25,44.28,44.35,4590335
2010-06-23 01:00:00,44.44,45.55,43.37,45.3,4739734
2010-06-24 01:00:00,45.0,45.74,43.95,44.27,5154377
2010-06-25 01:00:00,44.39,45.85,43.86,45.09,5854506
2010-06-28 01:00:00,45.58,45.68,44.6,44.93,3431588
2010-06-29 01:00:00,43.79,43.79,40.72,41.04,8389564
2010-06-30 01:00:00,41.27,42.18,40.44,40.57,4919475
2010-07-01 01:00:00,40.57,40.95,39.13,40.35,5773255
2010-07-02 01:00:00,40.47,40.61,39.45,39.57,2845049
2010-07-06 01:00:00,40.49,41.75,39.95,40.26,4771459
2010-07-07 01:00:00,40.48,42.82,40.34,42.73,4883128
2010-07-08 01:00:00,43.3,43.95,42.46,43.0,3365118
2010-07-09 01:00:00,42.93,43.84,42.58,43.47,2694649
2010-07-12 01:00:00,43.39,44.31,42.82,42.98,3535208
2010-07-13 01:00:00,43.65,44.04,42.69,43.58,3791999
2010-07-14 01:00:00,43.53,44.88,43.5,43.99,4188683
2010-07-15 01:00:00,43.9,44.39,43.59,44.23,4225780
2010-07-16 01:00:00,44.0,44.1,42.59,42.69,3891418
2010-07-19 01:00:00,42.76,42.97,42.0,42.63,3114454
2010-07-20 01:00:00,41.77,42.97,41.23,42.89,4297930
2010-07-21 01:00:00,43.37,43.86,42.6,43.08,3676547
2010-07-22 01:00:00,43.55,44.5,43.5,44.28,3046119
2010-07-23 01:00:00,43.99,45.13,43.7799,45.05,3244197
2010-07-26 01:00:00,45.21,45.99,45.0,45.37,3119662
