datetime,open,high,low,close,volume
2014-01-02 02:00:00,114.36,116.19,114.06,115.795,2529728
2014-01-03 02:00:00,115.7,115.97,114.06,114.47,2075841
2014-01-06 02:00:00,114.47,114.92,113.12,113.48,2838138
2014-01-07 02:00:00,113.5,116.79,113.27,116.43,3635257
2014-01-08 02:00:00,116.64,116.9,115.35,115.88,2482018
2014-01-09 02:00:00,116.54,118.96,116.22,118.89,3401883
2014-01-10 02:00:00,119.0,119.0,116.2,117.99,3054735
2014-01-13 02:00:00,118.32,118.73,115.94,116.4,3703890
2014-01-14 02:00:00,116.84,117.94,116.22,117.72,2541192
2014-01-15 02:00:00,118.42,118.95,117.4014,118.51,3065536
2014-01-16 02:00:00,118.3,119.69,118.21,119.03,2553509
2014-01-17 02:00:00,118.65,119.55,118.31,119.15,4013110
2014-01-21 02:00:00,119.94,120.0,118.57,119.25,3072710
2014-01-22 02:00:00,119.83,124.46,119.58,124.37,5091693
2014-01-23 02:00:00,123.0,124.22,121.6,123.6,3534823
2014-01-24 02:00:00,122.61,122.61,118.99,119.29,5060130
2014-01-27 02:00:00,119.25,119.83,117.42,118.52,4128057
2014-01-28 02:00:00,118.41,121.87,118.31,120.7,4352416
2014-01-29 02:00:00,117.0,121.16,117.0,119.17,5730423
2014-01-30 02:00:00,120.07,121.98,119.55,120.89,3324539
2014-01-31 02:00:00,118.55,120.21,118.1,118.95,4936860
2014-02-03 02:00:00,119.68,120.4997,116.47,116.75,5046431
2014-02-04 02:00:00,117.69,117.73,115.71,115.78,5093107
2014-02-05 02:00:00,115.33,116.94,114.57,115.07,4332194
2014-02-06 02:00:00,115.62,116.82,115.08,116.07,2737271
2014-02-07 02:00:00,116.23,119.04,115.81,118.9,2839710
2014-02-10 02:00:00,119.68,120.36,117.9,120.3,3352513
2014-02-11 02:00:00,119.21,121.25,118.85,121.24,2502769
2014-02-12 02:00:00,120.93,122.535,120.8703,122.21,2187545
2014-02-13 02:00:00,121.65,124.16,121.22,124.15,2530134
2014-02-14 02:00:00,123.54,124.3,122.52,123.84,2681557
2014-02-18 02:00:00,124.84,126.32,124.57,124.94,3082110
2014-02-19 02:00:00,124.85,124.9,123.13,123.35,2783059
2014-02-20 02:00:00,123.35,124.31,122.901,123.49,3019980
2014-02-21 02:00:00,124.41,125.5,123.26,123.85,3394951
2014-02-24 02:00:00,124.385,126.59,124.2,125.79,2772570
2014-02-25 02:00:00,125.34,126.22,124.02,124.36,2429830
2014-02-26 02:00:00,123.9,124.23,121.74,121.86,3895729
2014-02-27 02:00:00,121.99,123.9,121.77,123.08,3775396
2014-02-28 02:00:00,124.26,126.95,123.17,124.02,4853628
2014-03-03 02:00:00,122.89,124.18,122.52,123.69,2503868
2014-03-04 02:00:00,125.32,126.06,124.51,126.0,2561520
2014-03-05 02:00:00,126.18,127.15,125.389,126.19,2478251
2014-03-06 02:00:00,126.69,127.42,124.12,124.19,3067544
2014-03-07 02:00:00,125.31,125.9,120.26,122.26,7124965
2014-03-10 01:00:00,122.26,126.1,122.25,125.4,3788733
2014-03-11 01:00:00,125.15,125.6,123.74,124.27,2655286
2014-03-12 01:00:00,122.98,126.0,122.98,125.98,2761051
2014-03-13 01:00:00,126.17,126.35,123.3101,123.96,2436808
2014-03-14 01:00:00,123.75,124.91,122.36,122.54,2215788
2014-03-17 01:00:00,123.12,125.31,122.55,123.86,2576030
2014-03-18 01:00:00,124.5,127.48,124.31,127.47,3255625
2014-03-19 01:00:00,127.99,127.99,125.72,126.58,2599484
2014-03-20 01:00:00,126.16,127.1,125.24,127.05,2311155
2014-03-21 01:00:00,127.05,128.96,122.47,122.93,7101208
2014-03-24 01:00:00,123.0,123.5,118.56,121.28,4448092
2014-03-25 01:00:00,121.74,123.95,119.66,120.63,3863785
2014-03-26 01:00:00,121.23,122.89,120.05,120.11,3843835
2014-03-27 01:00:00,121.31,123.98,120.5,122.29,4553405
2014-03-28 01:00:00,122.27,124.12,120.38,120.55,3245971
2014-03-31 01:00:00,122.5,124.5299,122.194,123.34,4761382
2014-04-01 01:00:00,123.67,126.23,123.51,126.07,3163815
2014-04-02 01:00:00,126.02,127.09,125.02,125.98,2892876
