datetime,open,high,low,close,volume
2014-01-02 02:00:00,52.85,52.88,51.89,52.65,1453732
2014-01-03 02:00:00,52.45,52.96,51.96,52.85,1166132
2014-01-06 02:00:00,52.8,53.4,52.43,52.49,1263353
2014-01-07 02:00:00,52.82,53.06,52.49,52.994,1335857
2014-01-08 02:00:00,53.11,53.92,52.86,53.78,2296789
2014-01-09 02:00:00,53.8,54.17,52.76,53.23,1233943
2014-01-10 02:00:00,53.94,54.02,52.87,53.3,1669087
2014-01-13 02:00:00,53.62,53.775,52.39,52.64,1394366
2014-01-14 02:00:00,53.32,55.84,52.74,55.27,3485514
2014-01-15 02:00:00,55.68,57.175,55.52,56.97,2718684
2014-01-16 02:00:00,56.76,56.96,55.15,55.43,2408471
2014-01-17 02:00:00,55.26,56.42,55.23,56.14,3118119
2014-01-21 02:00:00,56.61,56.8199,55.88,56.11,1659657
2014-01-22 02:00:00,56.2,57.18,55.85,57.15,2552618
2014-01-23 02:00:00,56.73,57.15,55.74,56.05,1555430
2014-01-24 02:00:00,55.7,55.99,54.15,54.49,1771511
2014-01-27 02:00:00,54.45,55.25,53.74,54.45,2103330
2014-01-28 02:00:00,54.4,54.8,52.96,54.72,2522335
2014-01-29 02:00:00,53.94,55.94,53.37,54.07,2397391
2014-01-30 02:00:00,54.82,55.27,54.09,55.05,1198928
2014-01-31 02:00:00,54.42,55.29,53.83,54.6375,1578360
2014-02-03 02:00:00,54.8,55.17,52.96,53.26,1142148
2014-02-04 02:00:00,53.65,54.16,53.1,54.01,1348711
2014-02-05 02:00:00,53.72,54.73,53.19,53.98,901716
2014-02-06 02:00:00,53.99,55.87,53.62,55.2,1805338
2014-02-07 02:00:00,55.47,56.84,55.13,56.57,1706181
2014-02-10 02:00:00,56.19,56.4791,55.57,56.31,1234720
2014-02-11 02:00:00,56.2,58.16,56.19,58.07,1734398
2014-02-12 02:00:00,58.2,59.8,58.2,58.94,2586358
2014-02-13 02:00:00,57.43,59.51,57.38,59.08,2261428
2014-02-14 02:00:00,57.99,58.38,57.44,58.08,2818695
2014-02-18 02:00:00,58.51,58.51,57.73,58.37,1587195
2014-02-19 02:00:00,58.19,58.42,57.49,57.7,1460968
2014-02-20 02:00:00,58.04,59.03,57.7,59.0,2228184
2014-02-21 02:00:00,59.43,59.5,58.4,58.55,1799801
2014-02-24 02:00:00,58.51,59.99,58.51,59.57,2068904
2014-02-25 02:00:00,59.52,60.0,58.39,59.0,2696852
2014-02-26 02:00:00,60.61,63.49,59.97,61.9,4912497
2014-02-27 02:00:00,61.19,62.22,60.78,61.38,1646037
2014-02-28 02:00:00,61.15,61.9691,60.79,61.7,1523200
2014-03-03 02:00:00,61.15,62.472,60.851,61.74,1533985
2014-03-04 02:00:00,62.5,64.1,62.28,63.35,3677278
2014-03-05 02:00:00,63.16,64.23,62.94,63.08,2465624
2014-03-06 02:00:00,63.29,63.91,63.05,63.64,1216218
2014-03-07 02:00:00,63.95,63.95,62.45,62.75,1513253
2014-03-10 01:00:00,62.93,63.42,62.47,62.8,1351902
2014-03-11 01:00:00,62.98,63.65,61.805,62.02,1619098
2014-03-12 01:00:00,61.77,63.305,60.45,63.18,2359840
2014-03-13 01:00:00,63.4,64.5,62.04,62.68,3537691
2014-03-14 01:00:00,62.77,63.25,62.21,62.68,1393871
2014-03-17 01:00:00,63.03,63.99,62.76,63.41,1396772
2014-03-18 01:00:00,63.25,64.01,62.79,63.82,1310861
2014-03-19 01:00:00,64.01,64.88,63.79,64.41,1756159
2014-03-20 01:00:00,64.32,65.39,64.3,65.31,1996622
2014-03-21 01:00:00,65.64,65.83,63.64,63.9,2326690
2014-03-24 01:00:00,64.03,64.36,62.35,63.16,2481063
2014-03-25 01:00:00,63.69,64.98,63.28,64.0,1614529
2014-03-26 01:00:00,64.39,64.88,62.12,62.81,2841406
2014-03-27 01:00:00,62.77,63.105,61.84,62.78,2524687
2014-03-28 01:00:00,63.83,64.68,62.87,64.11,1432960
2014-03-31 01:00:00,64.5,65.33,64.24,64.41,1481904
2014-04-01 01:00:00,64.55,65.255,64.22,65.05,2196175
2014-04-02 01:00:00,64.74,65.31,63.84,64.64,2097949
2014-04-03 01:00:00,64.74,65.58,63.47,63.93,2159167
2014-04-04 01:00:00,64.56,64.74,60.04,61.8,3883006
2014-04-07 01:00:00,61.0,61.94,58.83,60.36,4327393
2014-04-08 01:00:00,60.62,60.98,60.05,60.17,2205525
2014-04-09 01:00:00,61.04,62.56,61.04,62.47,1925607
2014-04-10 01:00:00,62.55,62.55,59.62,59.85,2039551
2014-04-11 01:00:00,59.27,59.96,58.46,58.53,2190305
2014-04-14 01:00:00,58.45,59.57,58.11,58.82,1941884
2014-04-15 01:00:00,59.06,59.3599,57.27,58.94,2501390
2014-04-16 01:00:00,59.46,59.46,58.11,59.31,1791606
2014-04-17 01:00:00,59.34,61.66,58.92,60.89,1909201
2014-04-21 01:00:00,60.97,62.181,60.82,61.89,1255967
2014-04-22 01:00:00,61.61,63.79,61.61,63.44,2282974
2014-04-23 01:00:00,63.98,64.61,63.78,64.6,2698372
2014-04-24 01:00:00,65.43,65.48,63.54,65.38,2751882
2014-04-25 01:00:00,64.85,65.03,62.19,62.34,1926635
2014-04-28 01:00:00,62.91,62.92,60.32,60.78,3070773
2014-04-29 01:00:00,60.98,61.55,60.005,60.92,2165638
2014-04-30 01:00:00,61.1,63.67,60.37,63.5,2537540
2014-05-01 01:00:00,62.92,64.9,62.58,63.49,1886347
2014-05-02 01:00:00,64.72,64.989,63.18,64.27,1340669
2014-05-05 01:00:00,63.87,64.45,63.02,64.25,1354010
2014-05-06 01:00:00,67.93,68.08,66.25,67.34,12780271
2014-05-07 01:00:00,67.75,68.61,66.35,66.81,56027993
2014-05-08 01:00:00,66.98,68.93,66.71,67.95,5370283
2014-05-09 01:00:00,67.92,68.56,66.68,67.41,3869959
2014-05-12 01:00:00,67.93,69.18,67.41,69.13,2739419
2014-05-13 01:00:00,69.17,69.34,68.56,68.76,2302069
2014-05-14 01:00:00,68.54,69.6,67.55,68.51,3024327
2014-05-15 01:00:00,68.67,68.95,67.11,67.93,3209438
2014-05-16 01:00:00,68.09,68.93,67.32,68.48,5204415
2014-05-19 01:00:00,69.1,69.41,68.14,68.32,3778892
2014-05-20 01:00:00,68.36,68.38,66.92,67.52,2909031
2014-05-21 01:00:00,67.52,68.44,67.37,68.41,1689579
2014-05-22 01:00:00,68.43,69.22,67.88,68.68,1567937
2014-05-23 01:00:00,69.12,70.61,68.73,70.55,3201703
2014-05-27 01:00:00,71.03,71.28,70.32,70.93,3163703
2014-05-28 01:00:00,70.55,70.75,69.84,70.1,3492805
2014-05-29 01:00:00,70.48,70.8499,69.81,70.79,2759984
2014-05-30 01:00:00,71.85,72.0,69.41,70.67,3893605
