datetime,open,high,low,close,volume
2010-02-16 02:00:00,19.85,20.08,19.46,20.08,1987741
2010-02-17 02:00:00,20.01,20.85,20.01,20.71,1639046
2010-02-18 02:00:00,20.74,20.89,20.49,20.57,674518
2010-02-19 02:00:00,20.46,20.82,20.3105,20.45,663384
2010-02-22 02:00:00,20.45,20.73,20.24,20.73,914963
2010-02-23 02:00:00,20.5,20.73,20.15,20.22,616922
2010-02-24 02:00:00,20.55,20.55,19.93,20.05,1006087
2010-02-25 02:00:00,19.92,20.16,19.48,20.11,871098
2010-02-26 02:00:00,20.05,20.09,19.76,20.0,507822
2010-03-01 02:00:00,20.1,20.71,20.0,20.67,741699
2010-03-02 02:00:00,20.65,21.38,20.48,21.22,1727542
2010-03-03 02:00:00,21.29,21.57,21.11,21.45,864245
2010-03-04 02:00:00,21.5,21.7,21.34,21.67,959875
2010-03-05 02:00:00,21.55,22.08,21.52,22.04,940024
2010-03-08 02:00:00,22.09,22.37,22.0,22.36,1295586
2010-03-09 02:00:00,22.32,22.45,22.05,22.12,984164
2010-03-10 02:00:00,22.24,23.0,22.16,23.0,2062963
2010-03-11 02:00:00,22.99,23.865,22.91,23.81,2165942
2010-03-12 02:00:00,23.82,23.83,22.93,23.02,792462
2010-03-15 01:00:00,22.87,22.96,22.56,22.63,1087456
2010-03-16 01:00:00,22.81,23.0,22.68,22.92,516410
2010-03-17 01:00:00,23.0,23.0,22.63,22.68,591265
2010-03-18 01:00:00,22.64,22.79,22.42,22.67,460126
2010-03-19 01:00:00,22.54,22.851,22.52,22.6,976038
2010-03-22 01:00:00,22.56,22.97,22.32,22.78,485739
2010-03-23 01:00:00,22.72,22.96,22.64,22.95,514391
2010-03-24 01:00:00,22.84,23.2,22.71,23.0,926403
2010-03-25 01:00:00,23.3,24.99,23.3,23.66,6925597
2010-03-26 01:00:00,23.61,23.74,23.0,23.09,1011971
2010-03-29 01:00:00,23.11,23.4,23.09,23.28,830791
2010-03-30 01:00:00,23.3,23.46,22.98,23.07,1457078
2010-03-31 01:00:00,23.2,23.69,23.116,23.37,971088
2010-04-01 01:00:00,23.53,24.52,23.53,24.49,1836944
2010-04-05 01:00:00,24.51,24.8,24.48,24.71,763613
2010-04-06 01:00:00,24.57,24.82,24.52,24.69,421572
