datetime,open,high,low,close,volume
2010-02-18 02:00:00,29.1,29.7,29.1,29.7,1700
2010-02-22 02:00:00,29.1,29.72,29.1,29.7,19700
2010-02-25 02:00:00,29.5,29.7,29.5,29.5,2800
2010-02-26 02:00:00,29.25,29.75,29.25,29.75,2638
2010-03-01 02:00:00,29.75,30.1,29.75,30.1,24800
2010-03-02 02:00:00,30.1,30.4,30.0,30.4,29041
2010-03-03 02:00:00,30.5,30.75,30.5,30.75,131800
2010-03-04 02:00:00,31.0,31.5,30.75,31.02,16930
2010-03-05 02:00:00,31.25,31.75,31.25,31.75,48814
2010-03-08 02:00:00,31.5,31.75,31.4999,31.75,49071
2010-03-09 02:00:00,32.0,32.75,31.98,32.75,134900
2010-03-10 02:00:00,32.95,33.0,32.0,33.0,110979
2010-03-11 02:00:00,33.0,33.0,32.5,32.5,33080
2010-03-12 02:00:00,33.0,33.0,32.5,32.5,207565
2010-03-15 01:00:00,33.0,33.5,32.5,33.0,247042
2010-03-16 01:00:00,32.25,33.0,32.25,32.75,16493
2010-03-17 01:00:00,33.0,34.0,33.0,34.0,114916
2010-03-18 01:00:00,34.0,34.75,34.0,34.75,15310
2010-03-19 01:00:00,34.5,34.75,34.5,34.75,1250
2010-03-22 01:00:00,34.7499,34.75,34.25,34.43,5968
2010-03-23 01:00:00,34.25,35.25,34.25,35.0,53643
2010-03-24 01:00:00,35.0,35.0,35.0,35.0,1400
2010-03-25 01:00:00,34.75,35.0,34.5,34.5,90921
2010-03-26 01:00:00,35.0,35.0,34.75,34.75,57800
2010-03-29 01:00:00,34.5,35.0,34.4,34.5,205600
2010-03-30 01:00:00,34.5,34.52,34.45,34.45,43915
2010-03-31 01:00:00,34.5,34.5,34.25,34.5,91628
2010-04-01 01:00:00,34.5,35.0,34.35,35.0,59513
2010-04-05 01:00:00,34.5,35.0,34.5,35.0,45500
2010-04-06 01:00:00,35.0,35.0,34.55,34.55,1246
2010-04-07 01:00:00,34.55,35.0,34.55,34.55,51746
2010-04-09 01:00:00,34.55,34.7,34.55,34.7,50420
2010-04-12 01:00:00,34.75,35.25,34.75,35.0,190402
2010-04-14 01:00:00,35.25,35.75,35.25,35.75,35000
2010-04-15 01:00:00,35.45,36.0,35.3,36.0,11620
2010-04-16 01:00:00,36.1,36.1,36.0999,36.1,900
2010-04-19 01:00:00,36.0,36.05,36.0,36.01,36570
2010-04-21 01:00:00,35.51,35.51,35.51,35.51,100
2010-04-22 01:00:00,36.0,36.0,35.95,36.0,16400
2010-04-23 01:00:00,36.25,36.25,36.2499,36.25,2678
2010-04-26 01:00:00,36.27,36.5,36.27,36.5,3693
2010-04-27 01:00:00,36.4999,36.5,36.4999,36.5,1700
2010-04-28 01:00:00,36.5,36.5,36.33,36.5,16799
2010-04-29 01:00:00,36.5,37.25,36.5,37.25,50373
2010-04-30 01:00:00,37.5,38.0,37.25,37.9,130337
2010-05-03 01:00:00,38.5,39.5,38.5,39.5,26600
2010-05-04 01:00:00,39.5,39.99,39.0,39.75,9650
2010-05-05 01:00:00,39.5,39.75,39.0,39.5,82091
2010-05-06 01:00:00,39.0,39.0,37.0,38.35,43405
2010-05-07 01:00:00,37.8,38.0,37.5,37.85,4000
2010-05-10 01:00:00,37.5,38.25,37.5,37.75,40600
2010-05-11 01:00:00,37.75,38.0,37.75,38.0,2200
2010-05-12 01:00:00,38.0,38.0,37.9999,38.0,3200
2010-05-14 01:00:00,37.65,37.65,37.5,37.6,900
2010-05-17 01:00:00,37.6,38.0,37.6,38.0,4400
2010-05-18 01:00:00,37.0004,37.25,37.0,37.25,5968
2010-05-19 01:00:00,37.0,38.2,37.0,38.2,5800
2010-05-20 01:00:00,38.0,38.0,37.0,37.0,126600
