datetime,open,high,low,close,volume
2014-01-02 02:00:00,22.16,22.29,21.91,22.0,44387713
2014-01-03 02:00:00,22.09,22.12,21.83,21.98,36330724
2014-01-06 02:00:00,21.96,22.23,21.93,22.01,34160810
2014-01-07 02:00:00,22.26,22.41,22.15,22.31,37384888
2014-01-08 02:00:00,22.29,22.36,22.15,22.293,38363526
2014-01-09 02:00:00,22.29,22.31,21.92,22.09,31794896
2014-01-10 02:00:00,22.23,22.28,21.99,22.22,30321787
2014-01-13 02:00:00,22.39,22.82,22.14,22.19,59616556
2014-01-14 02:00:00,22.33,22.52,22.2,22.41,44303004
2014-01-15 02:00:00,22.5,23.0,22.42,22.78,61803332
2014-01-16 02:00:00,22.85,22.91,22.63,22.78,38925362
2014-01-17 02:00:00,22.58,22.78,22.58,22.74,44371925
2014-01-21 02:00:00,22.91,22.95,22.64,22.83,33424737
2014-01-22 02:00:00,22.91,22.95,22.78,22.84,30711027
2014-01-23 02:00:00,22.69,22.85,22.46,22.56,37030454
2014-01-24 02:00:00,22.4,22.54,22.17,22.2,41252882
2014-01-27 02:00:00,21.76,22.11,21.76,22.0,60539669
2014-01-28 02:00:00,21.82,22.0,21.7,21.75,41440550
2014-01-29 02:00:00,21.615,21.835,21.6,21.65,35410890
2014-01-30 02:00:00,21.77,21.99,21.63,21.976,42920860
2014-01-31 02:00:00,21.61,21.99,21.61,21.91,43341195
2014-02-03 02:00:00,21.93,21.95,21.455,21.55,60696033
2014-02-04 02:00:00,21.58,21.82,21.4,21.8,46628558
2014-02-05 02:00:00,21.69,22.07,21.575,21.98,46307515
2014-02-06 02:00:00,22.04,22.58,21.97,22.49,49598524
2014-02-07 02:00:00,22.52,22.72,22.3,22.67,54150067
2014-02-10 02:00:00,22.61,22.875,22.56,22.83,45305882
2014-02-11 02:00:00,22.77,22.88,22.67,22.71,46197556
2014-02-12 02:00:00,22.61,22.92,22.52,22.85,70052969
2014-02-13 02:00:00,21.99,22.27,21.675,22.27,153766720
2014-02-14 02:00:00,22.2234,22.77,22.2,22.56,64580952
2014-02-18 02:00:00,22.49,22.54,22.33,22.41,31033686
2014-02-19 02:00:00,22.33,22.56,22.22,22.28,29339087
2014-02-20 02:00:00,22.27,22.4,22.16,22.3,26215321
2014-02-21 02:00:00,22.367,22.45,22.13,22.13,31485147
2014-02-24 02:00:00,22.19,22.34,22.0,22.12,41861632
2014-02-25 02:00:00,22.15,22.22,21.76,21.84,45400603
2014-02-26 02:00:00,21.84,22.02,21.55,21.93,43575225
2014-02-27 02:00:00,21.88,22.05,21.86,21.92,25804236
2014-02-28 02:00:00,21.97,22.11,21.7,21.8,40870739
2014-03-03 02:00:00,21.62,21.82,21.44,21.57,37295927
2014-03-04 02:00:00,21.78,21.89,21.7,21.82,35709590
2014-03-05 02:00:00,21.81,22.05,21.81,21.87,28206193
2014-03-06 02:00:00,21.88,21.98,21.75,21.82,23573297
2014-03-07 02:00:00,21.92,21.94,21.66,21.73,33180970
2014-03-10 01:00:00,21.63,21.82,21.6,21.69,26164042
2014-03-11 01:00:00,21.86,21.93,21.58,21.61,34645658
2014-03-12 01:00:00,21.53,21.92,21.53,21.82,31855258
2014-03-13 01:00:00,21.89,21.92,21.5,21.52,42144410
2014-03-14 01:00:00,21.55,21.65,21.28,21.3499,38256705
2014-03-17 01:00:00,21.35,21.62,21.27,21.51,33221895
2014-03-18 01:00:00,21.34,21.71,21.29,21.63,45849610
2014-03-19 01:00:00,21.69,21.8,21.555,21.63,32674256
2014-03-20 01:00:00,21.59,22.0,21.59,21.83,34952767
2014-03-21 01:00:00,21.94,22.1,21.58,21.64,97377342
2014-03-24 01:00:00,21.65,21.79,21.465,21.57,32782091
2014-03-25 01:00:00,21.69,22.36,21.65,22.34,53374279
2014-03-26 01:00:00,22.44,22.69,22.32,22.32,67102413
2014-03-27 01:00:00,22.13,22.39,21.94,22.02,52152335
2014-03-28 01:00:00,22.09,22.54,22.05,22.33,49289378
2014-03-31 01:00:00,22.49,22.64,22.4,22.415,32887846
2014-04-01 01:00:00,22.33,23.31,22.3,23.1,80113826
2014-04-02 01:00:00,23.11,23.13,22.76,22.99,38363707
2014-04-03 01:00:00,23.05,23.295,23.0,23.09,30311153
2014-04-04 01:00:00,23.28,23.35,22.6,22.7117,49382348
2014-04-07 01:00:00,22.6,23.07,22.5,22.85,55317116
2014-04-08 01:00:00,22.64,22.97,22.6,22.94,37373940
2014-04-09 01:00:00,23.0,23.32,22.89,23.12,37888567
2014-04-10 01:00:00,23.17,23.26,22.5,22.65,53926961
2014-04-11 01:00:00,22.55,22.9901,22.43,22.46,47254044
2014-04-14 01:00:00,22.63,22.94,22.48,22.85,35804789
2014-04-15 01:00:00,22.84,23.0,22.61,22.89,29845393
2014-04-16 01:00:00,23.03,23.15,22.83,23.03,31451928
2014-04-17 01:00:00,23.03,23.29,22.78,23.21,47813602
2014-04-21 01:00:00,23.22,23.59,23.18,23.4,38796361
2014-04-22 01:00:00,23.43,23.61,23.4,23.52,28725094
2014-04-23 01:00:00,23.52,23.57,23.24,23.5,29973292
2014-04-24 01:00:00,23.64,23.64,23.24,23.33,33976746
2014-04-25 01:00:00,23.27,23.32,22.88,23.0,25087265
2014-04-28 01:00:00,23.15,23.24,22.79,23.02,36817120
2014-04-29 01:00:00,23.2,23.21,23.055,23.16,14582958
2014-04-30 01:00:00,23.08,23.14,22.92,23.1,23979302
2014-05-01 01:00:00,23.14,23.15,22.91,23.01,17463860
2014-05-02 01:00:00,23.11,23.12,22.9,22.94,18757383
2014-05-05 01:00:00,22.9,23.0,22.72,22.955,17859321
2014-05-06 01:00:00,22.84,22.89,22.63,22.72,21815152
2014-05-07 01:00:00,22.72,22.9,22.43,22.87,38895231
2014-05-08 01:00:00,22.9,23.17,22.76,23.018,32181435
2014-05-09 01:00:00,22.96,23.11,22.92,23.02,22593850
2014-05-12 01:00:00,23.04,23.335,23.0,23.19,40217552
2014-05-13 01:00:00,23.14,23.21,22.76,22.86,57933097
2014-05-14 01:00:00,22.97,23.0515,22.63,22.8099,59330114
2014-05-15 01:00:00,24.27,24.69,24.12,24.18,120944457
2014-05-16 01:00:00,24.14,24.445,24.06,24.37,40477610
2014-05-19 01:00:00,24.24,24.445,24.12,24.35,39392687
2014-05-20 01:00:00,24.26,24.39,24.02,24.12,56321957
2014-05-21 01:00:00,24.22,24.65,24.17,24.48,65262617
2014-05-22 01:00:00,24.41,24.54,24.29,24.38,26751009
2014-05-23 01:00:00,24.38,24.57,24.35,24.52,27778949
2014-05-27 01:00:00,24.74,24.88,24.63,24.71,32369061
2014-05-28 01:00:00,24.63,24.93,24.63,24.82,28651605
2014-05-29 01:00:00,24.85,24.92,24.56,24.68,21644415
2014-05-30 01:00:00,24.71,24.75,24.48,24.62,29381576
2014-06-02 01:00:00,24.64,24.8,24.56,24.78,20393395
2014-06-03 01:00:00,24.75,24.82,24.45,24.675,23339056
2014-06-04 01:00:00,24.61,24.65,24.4,24.5,20635113
2014-06-05 01:00:00,24.64,24.74,24.41,24.7,23320286
2014-06-06 01:00:00,24.73,24.95,24.71,24.83,22485479
2014-06-09 01:00:00,24.79,24.95,24.72,24.8,18819050
2014-06-10 01:00:00,24.73,25.1,24.6,25.0,36581952
2014-06-11 01:00:00,24.85,25.17,24.79,25.04,36173954
2014-06-12 01:00:00,24.95,25.01,24.62,24.66,26900429
2014-06-13 01:00:00,24.665,24.78,24.6,24.7,20947626
2014-06-16 01:00:00,24.52,24.73,24.45,24.53,19251335
2014-06-17 01:00:00,24.49,24.62,24.41,24.5,17972802
2014-06-18 01:00:00,24.7,24.75,24.46,24.63,24724403
2014-06-19 01:00:00,24.62,24.71,24.45,24.71,20646826
2014-06-20 01:00:00,24.63,24.9,24.61,24.83,39707996
2014-06-23 01:00:00,24.81,24.9,24.65,24.7,18752284
2014-06-24 01:00:00,24.62,24.74,24.52,24.53,24301971
2014-06-25 01:00:00,24.55,24.78,24.41,24.72,22584002
2014-06-26 01:00:00,24.66,24.805,24.48,24.65,19134751
2014-06-27 01:00:00,24.6,24.775,24.48,24.7,35000284
2014-06-30 01:00:00,24.67,24.9,24.62,24.85,23996086
2014-07-01 01:00:00,24.99,25.11,24.77,25.08,34613220
2014-07-02 01:00:00,24.97,25.14,24.87,25.03,30197226
2014-07-03 01:00:00,25.15,25.25,25.13,25.19,19598757
2014-07-07 01:00:00,24.99,25.25,24.97,25.23,21293566
2014-07-08 01:00:00,25.21,25.31,25.06,25.07,34622899
2014-07-09 01:00:00,25.22,25.5,25.14,25.44,35610460
2014-07-10 01:00:00,25.25,25.52,25.22,25.44,27278787
2014-07-11 01:00:00,25.52,25.65,25.44,25.52,20945929
2014-07-14 01:00:00,25.61,25.65,25.4,25.44,19244308
2014-07-15 01:00:00,25.38,25.68,25.36,25.67,29495978
2014-07-16 01:00:00,25.73,26.05,25.73,25.98,40476713
2014-07-17 01:00:00,25.84,26.0,25.575,25.63,29570341
2014-07-18 01:00:00,25.7,25.96,25.67,25.91,25465861
2014-07-21 01:00:00,25.87,25.95,25.72,25.85,20825966
2014-07-22 01:00:00,25.95,26.08,25.91,25.95,28735712
2014-07-23 01:00:00,25.72,25.79,25.55,25.68,28761335
2014-07-24 01:00:00,25.72,25.9,25.675,25.83,21876611
2014-07-25 01:00:00,25.8,26.02,25.68,25.97,28641293
2014-07-28 01:00:00,25.73,26.0,25.57,25.92,27686408
2014-07-29 01:00:00,25.88,26.01,25.69,25.71,22444236
2014-07-30 01:00:00,25.83,25.84,25.47,25.63,26124216
2014-07-31 01:00:00,25.48,25.5,25.17,25.23,28226460
2014-08-01 01:00:00,25.14,25.21,24.8,25.0,28609413
2014-08-04 01:00:00,24.93,25.22,24.86,25.165,17252442
2014-08-05 01:00:00,25.03,25.12,24.87,24.97,21176784
2014-08-06 01:00:00,24.93,25.21,24.85,24.93,20990550
2014-08-07 01:00:00,25.01,25.11,24.69,24.86,24123698
2014-08-08 01:00:00,24.87,25.06,24.74,25.03,21656527
2014-08-11 01:00:00,25.09,25.37,25.01,25.23,25956067
2014-08-12 01:00:00,25.18,25.27,25.0,25.15,21934971
2014-08-13 01:00:00,25.17,25.27,24.93,25.2,43708550
2014-08-14 01:00:00,24.94,24.94,24.32,24.54,63790214
2014-08-15 01:00:00,24.59,24.66,24.27,24.43,33625941
2014-08-18 01:00:00,24.49,24.66,24.43,24.63,27666914
2014-08-19 01:00:00,24.63,24.69,24.6,24.64,20348896
2014-08-20 01:00:00,24.55,24.75,24.52,24.71,20229017
2014-08-21 01:00:00,24.73,24.91,24.72,24.89,20881827
2014-08-22 01:00:00,24.87,24.97,24.64,24.65,22453672
2014-08-25 01:00:00,24.7,24.84,24.69,24.7,19356815
2014-08-26 01:00:00,24.72,24.93,24.67,24.81,17053449
2014-08-27 01:00:00,24.79,24.86,24.71,24.8,15753794
2014-08-28 01:00:00,24.73,24.9,24.64,24.85,15506352
2014-08-29 01:00:00,24.9,24.99,24.76,24.99,17972307
2014-09-02 01:00:00,24.94,24.995,24.75,24.88,19836085
2014-09-03 01:00:00,24.94,25.13,24.92,25.04,22043379
2014-09-04 01:00:00,25.08,25.14,24.83,24.91,20268911
2014-09-05 01:00:00,24.86,25.07,24.86,25.0,19865202
2014-09-08 01:00:00,24.92,25.0899,24.81,24.95,14189834
2014-09-09 01:00:00,24.88,24.97,24.6,24.86,19076594
2014-09-10 01:00:00,24.84,25.0,24.84,24.93,15738779
2014-09-11 01:00:00,24.92,25.2,24.85,25.18,22106436
2014-09-12 01:00:00,25.16,25.26,25.07,25.16,33197323
2014-09-15 01:00:00,24.95,25.09,24.87,25.06,33412035
2014-09-16 01:00:00,25.0,25.415,24.98,25.22,31902713
2014-09-17 01:00:00,25.14,25.31,25.07,25.205,25703284
2014-09-18 01:00:00,25.17,25.27,25.15,25.22,15939969
2014-09-19 01:00:00,25.21,25.3,25.01,25.2,47343687
2014-09-22 01:00:00,25.19,25.19,24.86,24.97,21346828
