datetime,open,high,low,close,volume
2010-02-16 02:00:00,18.57,19.06,18.47,19.06,2504575
2010-02-17 02:00:00,19.1,19.47,19.06,19.4,3219459
2010-02-18 02:00:00,19.45,19.85,19.38,19.63,3064935
2010-02-19 02:00:00,19.63,19.7,19.32,19.68,2853721
2010-02-22 02:00:00,19.71,19.97,19.52,19.84,4643326
2010-02-23 02:00:00,19.83,19.9,19.48,19.89,3590694
2010-02-24 02:00:00,20.0,20.05,19.77,19.96,3811555
2010-02-25 02:00:00,19.65,19.93,19.38,19.87,1921921
2010-02-26 02:00:00,19.8,20.04,19.75,19.97,3213131
2010-03-01 02:00:00,20.53,21.5,20.22,21.5,6359967
2010-03-02 02:00:00,21.5,21.69,21.19,21.29,2966586
2010-03-03 02:00:00,21.44,22.0,21.36,21.71,4018636
2010-03-04 02:00:00,21.76,22.13,19.91,20.59,15489454
2010-03-05 02:00:00,21.2393,21.4,20.92,21.18,9242754
2010-03-08 02:00:00,21.16,21.49,21.02,21.37,3527670
2010-03-09 02:00:00,21.34,21.7,21.24,21.54,2723678
2010-03-10 02:00:00,21.52,21.86,21.33,21.8,2339613
2010-03-11 02:00:00,21.83,21.97,21.61,21.79,2581559
2010-03-12 02:00:00,21.84,21.91,21.565,21.69,2197803
2010-03-15 01:00:00,21.67,21.78,21.43,21.66,1475880
2010-03-16 01:00:00,21.75,21.81,21.36,21.55,2319714
2010-03-17 01:00:00,21.54,21.6,21.22,21.31,2427810
2010-03-18 01:00:00,21.27,21.4,21.1895,21.32,2355972
2010-03-19 01:00:00,21.45,21.48,20.745,20.92,3661024
2010-03-22 01:00:00,20.87,20.97,20.55,20.95,3278501
2010-03-23 01:00:00,20.96,21.15,20.66,20.81,2521966
2010-03-24 01:00:00,21.04,21.04,20.52,20.67,2527481
2010-03-25 01:00:00,20.76,20.9,20.44,20.44,2274902
2010-03-26 01:00:00,20.57,20.69,20.29,20.46,2703355
2010-03-29 01:00:00,20.49,20.61,20.215,20.48,3100663
2010-03-30 01:00:00,20.41,20.61,20.25,20.57,1380258
2010-03-31 01:00:00,20.43,20.98,20.38,20.82,2378002
2010-04-01 01:00:00,20.65,21.17,20.55,20.73,2437542
2010-04-05 01:00:00,20.74,21.28,20.62,21.26,2428694
2010-04-06 01:00:00,21.24,22.06,21.031,22.01,4868213
2010-04-07 01:00:00,22.01,22.02,20.725,20.78,13319381
2010-04-08 01:00:00,20.72,21.12,20.72,21.03,3708197
2010-04-09 01:00:00,21.78,22.15,21.67,21.77,8177643
2010-04-12 01:00:00,21.8,21.89,21.375,21.62,3765461
2010-04-13 01:00:00,21.54,22.0,21.385,21.77,3699770
2010-04-14 01:00:00,21.77,21.85,21.48,21.73,3412474
2010-04-15 01:00:00,21.69,21.84,21.63,21.84,2738761
2010-04-16 01:00:00,21.77,22.09,21.48,21.52,4993167
2010-04-19 01:00:00,21.42,21.6025,21.27,21.5,2603470
2010-04-20 01:00:00,21.62,22.02,21.39,21.82,3943336
2010-04-21 01:00:00,21.77,21.93,21.53,21.62,2514342
2010-04-22 01:00:00,21.4,21.92,21.27,21.85,3714614
2010-04-23 01:00:00,21.79,22.53,21.6,22.49,3479808
2010-04-26 01:00:00,22.56,22.93,22.5,22.54,3674504
2010-04-27 01:00:00,22.55,22.67,21.9,22.01,3029626
2010-04-28 01:00:00,21.97,22.14,21.48,21.73,4196085
2010-04-29 01:00:00,21.74,22.36,21.65,22.23,3432052
2010-04-30 01:00:00,22.2,22.34,22.04,22.17,2448327
2010-05-03 01:00:00,22.52,23.06,22.17,22.91,2364098
2010-05-04 01:00:00,22.63,22.68,21.99,22.16,2620508
2010-05-05 01:00:00,22.02,22.16,21.66,21.82,3110970
2010-05-06 01:00:00,21.77,22.29,20.28,21.2,5841853
2010-05-07 01:00:00,21.08,21.8,20.6712,21.3,5584362
2010-05-10 01:00:00,21.95,22.66,21.52,21.88,4941337
2010-05-11 01:00:00,21.7575,22.26,21.625,21.79,3266185
2010-05-12 01:00:00,21.79,22.42,21.56,22.37,2729035
2010-05-13 01:00:00,22.3,22.5,21.8735,21.96,3089734
2010-05-14 01:00:00,21.81,24.16,21.425,22.9,11712871
2010-05-17 01:00:00,22.91,23.365,22.66,23.15,4345603
2010-05-18 01:00:00,23.28,23.31,22.32,22.47,3480235
2010-05-19 01:00:00,22.47,22.55,21.74,22.15,4876556
2010-05-20 01:00:00,21.67,21.73,20.74,20.81,6181731
2010-05-21 01:00:00,20.56,21.19,20.06,21.03,6307128
2010-05-24 01:00:00,20.85,21.34,20.71,20.73,2984676
2010-05-25 01:00:00,20.29,20.89,20.17,20.82,3884187
2010-05-26 01:00:00,20.89,21.49,20.39,20.85,5383381
2010-05-27 01:00:00,21.2,21.25,20.84,21.23,3983011
2010-05-28 01:00:00,21.11,21.24,20.67,20.85,3675758
2010-06-01 01:00:00,20.87,21.3,20.46,20.46,3102403
2010-06-02 01:00:00,20.49,21.05,20.36,20.94,2781998
2010-06-03 01:00:00,20.88,21.63,20.63,21.36,5096258
2010-06-04 01:00:00,20.84,21.2,20.28,20.345,3219875
2010-06-07 01:00:00,20.47,20.65,19.9,19.92,4337966
2010-06-08 01:00:00,19.92,20.38,19.62,19.97,5513826
2010-06-09 01:00:00,20.16,20.71,20.125,20.2,3655522
2010-06-10 01:00:00,20.47,20.971,20.47,20.97,2757347
2010-06-11 01:00:00,20.66,20.97,20.57,20.84,2017626
2010-06-14 01:00:00,20.96,21.5,20.77,21.17,2606892
2010-06-15 01:00:00,21.18,21.85,21.02,21.76,2842872
2010-06-16 01:00:00,21.61,21.85,21.515,21.61,2563800
2010-06-17 01:00:00,21.74,21.74,21.365,21.48,3633862
2010-06-18 01:00:00,21.41,21.55,21.25,21.31,2576763
2010-06-21 01:00:00,21.54,21.59,20.89,21.04,2119297
2010-06-22 01:00:00,21.09,21.23,20.21,20.25,4057501
2010-06-23 01:00:00,20.17,20.37,20.07,20.19,2538216
2010-06-24 01:00:00,20.19,20.74,20.07,20.26,4904147
2010-06-25 01:00:00,20.3,20.32,19.65,19.75,4584313
2010-06-28 01:00:00,19.84,19.91,19.58,19.7,2541508
2010-06-29 01:00:00,19.44,19.44,18.16,18.42,6849173
2010-06-30 01:00:00,18.33,18.63,17.98,18.15,5671034
2010-07-01 01:00:00,18.12,18.62,17.75,18.49,4871228
2010-07-02 01:00:00,18.54,18.57,17.8,17.94,3054486
2010-07-06 01:00:00,18.23,18.48,17.875,18.03,4334965
2010-07-07 01:00:00,18.13,18.76,18.01,18.74,3151252
2010-07-08 01:00:00,18.83,18.84,18.49,18.78,2410266
2010-07-09 01:00:00,18.84,18.98,18.37,18.91,2668874
2010-07-12 01:00:00,18.83,19.43,18.68,19.34,3252260
2010-07-13 01:00:00,19.53,19.79,19.43,19.67,2598981
2010-07-14 01:00:00,19.64,19.67,19.035,19.25,2827805
2010-07-15 01:00:00,19.29,19.43,18.92,19.4,2689973
2010-07-16 01:00:00,19.4,19.4,18.6,18.68,2396918
2010-07-19 01:00:00,18.74,19.17,18.74,19.16,2647052
2010-07-20 01:00:00,18.83,19.43,18.66,19.41,4613358
2010-07-21 01:00:00,19.4,19.49,19.09,19.23,3906795
2010-07-22 01:00:00,19.46,19.9,19.34,19.55,2406526
2010-07-23 01:00:00,19.41,19.99,19.41,19.81,1548141
2010-07-26 01:00:00,19.8,20.21,19.64,20.18,2776148
2010-07-27 01:00:00,20.21,20.31,19.9,20.14,1968176
2010-07-28 01:00:00,20.08,20.29,19.96,20.11,1347959
2010-07-29 01:00:00,20.16,20.54,19.7,19.89,1548974
2010-07-30 01:00:00,19.72,20.19,19.54,20.08,2119536
2010-08-02 01:00:00,20.5,20.85,20.36,20.71,3158705
2010-08-03 01:00:00,20.67,20.67,20.2,20.23,2034393
2010-08-04 01:00:00,20.32,20.48,20.05,20.28,2589425
2010-08-05 01:00:00,20.1,20.85,20.1,20.77,2711030
2010-08-06 01:00:00,20.54,20.93,20.43,20.84,3808160
2010-08-09 01:00:00,19.33,19.59,18.47,18.72,19232739
2010-08-10 01:00:00,18.52,18.67,18.28,18.36,6393468
2010-08-11 01:00:00,18.07,18.34,17.87,18.1,6105529
2010-08-12 01:00:00,17.81,18.01,17.67,17.87,4339383
2010-08-13 01:00:00,17.75,17.88,17.49,17.49,3404991
2010-08-16 01:00:00,17.5,18.0,17.42,17.86,3560454
2010-08-17 01:00:00,17.95,18.28,17.83,18.0,2591976
2010-08-18 01:00:00,17.96,18.37,17.8,18.12,2346289
2010-08-19 01:00:00,18.11,18.11,17.66,17.8,2667242
2010-08-20 01:00:00,17.76,17.91,17.53,17.88,5004962
2010-08-23 01:00:00,17.87,18.04,17.71,17.96,4382267
2010-08-24 01:00:00,17.81,17.85,17.42,17.44,4728414
2010-08-25 01:00:00,17.36,18.02,17.33,17.86,3925434
2010-08-26 01:00:00,17.94,18.06,17.75,17.77,2609010
2010-08-27 01:00:00,17.86,18.11,17.38,17.95,2423676
2010-08-30 01:00:00,17.86,18.14,17.76,17.78,1745097
2010-08-31 01:00:00,17.69,18.05,17.54,17.94,3000692
2010-09-01 01:00:00,18.21,18.57,18.14,18.35,2645565
2010-09-02 01:00:00,18.34,18.57,18.15,18.43,1967756
2010-09-03 01:00:00,18.55,18.7,18.2,18.46,2203425
2010-09-07 01:00:00,18.33,18.39,18.1,18.26,1710419
2010-09-08 01:00:00,18.28,18.58,18.25,18.37,3117179
2010-09-09 01:00:00,18.48,18.64,18.28,18.45,1759075
2010-09-10 01:00:00,18.48,18.78,18.48,18.65,1589412
2010-09-13 01:00:00,18.79,18.91,18.4,18.6,2797330
2010-09-14 01:00:00,18.59,18.74,18.35,18.58,1608557
