datetime,open,high,low,close,volume
2014-01-02 02:00:00,35.25,35.639,34.132,34.75,582833
2014-01-03 02:00:00,34.49,35.15,34.49,34.8,648516
2014-01-06 02:00:00,35.02,35.45,34.7001,35.005,637464
2014-01-07 02:00:00,34.81,35.583,34.81,35.47,507376
2014-01-08 02:00:00,35.5,35.58,35.21,35.48,652314
2014-01-09 02:00:00,35.47,36.69,35.27,36.64,727395
2014-01-10 02:00:00,36.71,37.2555,36.5,37.05,802347
2014-01-13 02:00:00,36.84,38.13,36.785,37.25,977737
2014-01-14 02:00:00,37.55,37.84,36.23,36.92,1020504
2014-01-15 02:00:00,37.18,37.38,36.51,37.07,624674
2014-01-16 02:00:00,37.1,37.8,36.99,37.63,593073
2014-01-17 02:00:00,37.7,37.716,36.92,37.36,762617
2014-01-21 02:00:00,37.44,38.0,37.12,37.68,431953
2014-01-22 02:00:00,37.82,38.204,37.13,37.2,445287
2014-01-23 02:00:00,37.15,37.15,36.26,36.77,407524
2014-01-24 02:00:00,37.08,37.25,35.86,36.68,507257
2014-01-27 02:00:00,36.75,37.27,36.14,36.15,959496
2014-01-28 02:00:00,36.07,37.35,36.0,37.1,593559
2014-01-29 02:00:00,36.72,37.83,36.53,37.56,791902
2014-01-30 02:00:00,37.9,39.26,37.86,39.25,905130
2014-01-31 02:00:00,38.76,40.52,38.76,40.46,879539
2014-02-03 02:00:00,40.47,41.2,38.92,38.98,870000
2014-02-04 02:00:00,41.03,42.16,38.68,38.86,1160587
2014-02-05 02:00:00,38.76,40.09,38.621,40.0,659906
2014-02-06 02:00:00,40.03,40.5,38.52,38.72,523656
2014-02-07 02:00:00,38.72,39.3476,37.28,37.71,1207629
2014-02-10 02:00:00,37.76,39.74,37.75,39.73,808462
2014-02-11 02:00:00,39.79,40.52,39.2801,40.25,585576
2014-02-12 02:00:00,40.38,41.3,40.266,41.1,457371
2014-02-13 02:00:00,41.1,42.85,40.88,42.56,949252
2014-02-14 02:00:00,42.63,43.59,42.075,43.42,999445
2014-02-18 02:00:00,43.5,44.2,43.1301,43.93,914539
2014-02-19 02:00:00,43.97,45.04,43.92,44.53,1103051
2014-02-20 02:00:00,44.34,44.34,42.04,43.43,1779599
2014-02-21 02:00:00,46.93,47.74,42.55,43.11,1827250
2014-02-24 02:00:00,43.25,45.53,43.25,44.96,1500172
2014-02-25 02:00:00,44.04,46.0,44.01,45.0,1338710
2014-02-26 02:00:00,44.81,46.16,44.72,45.46,891140
2014-02-27 02:00:00,45.32,46.46,45.12,46.24,566123
2014-02-28 02:00:00,46.44,47.1,44.69,45.1,1032670
2014-03-03 02:00:00,44.75,45.1999,43.6,45.08,833246
2014-03-04 02:00:00,45.71,47.62,45.51,46.89,1059207
2014-03-05 02:00:00,46.86,49.21,46.5001,49.13,1327980
2014-03-06 02:00:00,49.33,49.8299,47.02,47.54,875878
2014-03-07 02:00:00,47.74,47.869,46.28,47.42,573540
2014-03-10 01:00:00,47.64,47.64,45.422,46.14,981465
2014-03-11 01:00:00,45.98,47.56,45.38,45.72,1626436
2014-03-12 01:00:00,45.01,45.83,44.27,45.82,1066973
2014-03-13 01:00:00,45.75,46.99,44.64,45.05,894905
2014-03-14 01:00:00,44.8,45.36,43.88,44.7,1076335
2014-03-17 01:00:00,44.71,46.02,44.345,45.64,799359
2014-03-18 01:00:00,45.84,47.46,45.72,47.42,978485
2014-03-19 01:00:00,47.32,47.85,46.49,46.6,572892
2014-03-20 01:00:00,46.5,47.13,46.01,46.43,342266
2014-03-21 01:00:00,46.3,46.725,43.98,44.49,1088899
2014-03-24 01:00:00,44.53,44.95,41.54,43.09,1849139
2014-03-25 01:00:00,42.27,44.7199,42.21,43.05,1031021
2014-03-26 01:00:00,43.13,43.73,42.31,42.31,622128
2014-03-27 01:00:00,41.9,42.06,39.84,40.5,1303876
2014-03-28 01:00:00,40.37,41.1,39.71,40.04,710393
2014-03-31 01:00:00,40.35,41.64,39.6701,41.36,646436
2014-04-01 01:00:00,41.19,41.7499,40.82,41.29,794958
2014-04-02 01:00:00,41.52,42.29,40.665,41.95,1071438
2014-04-03 01:00:00,42.12,42.46,40.58,40.81,622842
2014-04-04 01:00:00,41.08,41.664,37.68,37.99,1438809
2014-04-07 01:00:00,37.71,37.84,34.93,35.68,1983459
2014-04-08 01:00:00,35.75,37.52,35.51,36.72,1248651
2014-04-09 01:00:00,36.76,38.37,36.4,38.28,963762
2014-04-10 01:00:00,39.32,39.48,36.02,36.05,1458747
2014-04-11 01:00:00,36.0,36.5075,34.59,35.62,1404821
2014-04-14 01:00:00,35.86,36.27,34.9,35.29,511195
2014-04-15 01:00:00,35.53,35.53,32.28,34.16,1737564
2014-04-16 01:00:00,34.18,36.38,34.18,36.03,1089072
2014-04-17 01:00:00,36.03,36.99,35.35,36.58,693073
2014-04-21 01:00:00,36.7,36.885,35.71,36.07,490246
2014-04-22 01:00:00,36.12,36.75,35.8303,36.12,545401
2014-04-23 01:00:00,36.02,36.3,35.59,36.01,580212
2014-04-24 01:00:00,36.29,37.0,34.02,34.68,1014898
2014-04-25 01:00:00,34.42,34.52,33.31,33.38,878240
2014-04-28 01:00:00,33.6,33.99,32.02,32.66,771812
2014-04-29 01:00:00,32.66,33.954,32.3,32.46,804802
2014-04-30 01:00:00,32.46,32.7899,31.74,32.44,771884
2014-05-01 01:00:00,32.25,33.04,31.87,32.75,1474714
2014-05-02 01:00:00,32.69,33.94,28.09,31.845,3337495
2014-05-05 01:00:00,31.01,31.92,30.9,31.49,1246049
2014-05-06 01:00:00,31.27,31.76,30.47,30.5,891600
2014-05-07 01:00:00,30.4,30.53,28.68,29.68,1435730
2014-05-08 01:00:00,29.67,30.8,29.36,30.1,1244590
2014-05-09 01:00:00,29.92,31.55,29.54,31.52,1156740
2014-05-12 01:00:00,31.52,32.66,31.42,32.09,953484
2014-05-13 01:00:00,32.12,32.66,31.48,31.86,865252
2014-05-14 01:00:00,31.7,32.75,31.49,31.81,838224
2014-05-15 01:00:00,31.55,31.84,30.78,31.75,797527
2014-05-16 01:00:00,31.73,32.63,31.55,32.42,1219751
2014-05-19 01:00:00,32.39,32.87,32.01,32.56,947618
2014-05-20 01:00:00,32.49,32.57,31.05,31.3,983895
2014-05-21 01:00:00,31.67,32.89,31.54,31.93,880149
2014-05-22 01:00:00,31.97,32.69,31.85,32.35,597375
2014-05-23 01:00:00,32.39,33.41,32.07,33.18,617123
2014-05-27 01:00:00,33.46,34.58,33.05,34.56,784895
2014-05-28 01:00:00,34.6,34.98,34.17,34.18,780361
2014-05-29 01:00:00,34.23,34.56,34.17,34.42,614801
2014-05-30 01:00:00,34.43,34.65,33.58,33.76,795997
2014-06-02 01:00:00,33.64,33.79,32.48,33.24,447891
2014-06-03 01:00:00,32.78,33.17,32.14,32.58,581053
2014-06-04 01:00:00,33.75,34.91,33.25,34.88,1144224
2014-06-05 01:00:00,35.54,36.48,35.5,36.13,890428
2014-06-06 01:00:00,36.6,36.73,36.04,36.72,663140
2014-06-09 01:00:00,36.55,37.48,36.37,37.38,838915
2014-06-10 01:00:00,37.16,37.52,36.51,37.08,662585
2014-06-11 01:00:00,36.84,36.955,35.91,36.23,453184
2014-06-12 01:00:00,36.13,36.49,35.46,36.01,555593
2014-06-13 01:00:00,36.19,37.0577,35.2901,36.0,518076
2014-06-16 01:00:00,36.15,37.87,36.038,37.83,817799
2014-06-17 01:00:00,37.95,39.98,37.244,39.215,1320233
2014-06-18 01:00:00,39.09,39.91,39.03,39.89,795479
2014-06-19 01:00:00,39.92,40.02,39.33,39.99,519531
2014-06-20 01:00:00,40.0,41.06,39.67,41.0,1022859
2014-06-23 01:00:00,40.97,41.55,40.525,40.91,788399
2014-06-24 01:00:00,40.61,41.59,40.59,40.74,643525
2014-06-25 01:00:00,40.49,40.98,40.2,40.81,519563
2014-06-26 01:00:00,40.88,40.9799,40.15,40.4,559629
