datetime,open,high,low,close,volume
2014-01-02 02:00:00,27.46,27.58,27.16,27.17,4983758
2014-01-03 02:00:00,26.9,26.97,26.45,26.62,10157328
2014-01-06 02:00:00,26.61,26.855,26.55,26.79,7421560
2014-01-07 02:00:00,26.97,27.0,26.69,26.93,7045515
2014-01-08 02:00:00,26.99,27.0901,26.76,26.87,5820157
2014-01-09 02:00:00,26.88,27.1,26.8,27.03,5646411
2014-01-10 02:00:00,27.16,27.59,27.1,27.17,5593009
2014-01-13 02:00:00,27.14,27.18,26.8799,26.98,4403118
2014-01-14 02:00:00,26.99,27.24,26.85,26.89,5425446
2014-01-15 02:00:00,26.89,27.075,26.72,26.77,4731040
2014-01-16 02:00:00,26.87,27.44,26.81,27.41,5249989
2014-01-17 02:00:00,27.48,27.55,27.06,27.2,4560881
2014-01-21 02:00:00,27.27,27.78,27.24,27.77,7407301
2014-01-22 02:00:00,27.7,28.17,27.66,28.13,7712254
2014-01-23 02:00:00,27.98,28.4,27.92,28.32,8749472
2014-01-24 02:00:00,28.21,29.16,28.2,28.27,13805769
2014-01-27 02:00:00,28.45,28.45,28.0801,28.2,8275201
2014-01-28 02:00:00,28.39,28.42,27.9,28.1,5938006
2014-01-29 02:00:00,28.06,28.26,27.9501,28.19,6116433
2014-01-30 02:00:00,28.3,29.075,28.24,28.99,9983226
2014-01-31 02:00:00,28.8,29.31,28.78,29.0,10412341
2014-02-03 02:00:00,29.12,29.4,28.7,28.97,14383308
2014-02-04 02:00:00,29.21,29.25,28.82,28.91,9383593
2014-02-05 02:00:00,28.77,29.08,28.57,28.86,9930753
2014-02-06 02:00:00,28.81,29.88,28.81,29.49,13763414
2014-02-07 02:00:00,29.7,29.7,29.08,29.44,9390546
2014-02-10 02:00:00,29.35,29.55,29.23,29.4,7130167
2014-02-11 02:00:00,29.33,29.62,29.14,29.47,7617930
2014-02-12 02:00:00,29.16,29.17,28.79,28.94,5453861
2014-02-13 02:00:00,28.88,29.59,28.85,29.4,9758902
2014-02-14 02:00:00,29.34,29.8,29.26,29.74,7361988
2014-02-18 02:00:00,29.76,30.18,29.635,30.05,8592493
