datetime,open,high,low,close,volume
2014-01-02 02:00:00,34.58,35.18,34.45,35.04,1978530
2014-01-03 02:00:00,35.08,35.12,34.63,34.66,1066731
2014-01-06 02:00:00,34.47,34.74,34.26,34.27,1660910
2014-01-07 02:00:00,34.29,34.65,34.26,34.37,1465564
2014-01-08 02:00:00,34.49,34.49,33.73,33.8,1549172
2014-01-09 02:00:00,32.57,33.05,32.45,32.59,16682972
2014-01-10 02:00:00,32.5,32.89,32.24,32.84,9104705
2014-01-13 02:00:00,32.51,32.83,31.82,31.93,8807964
2014-01-14 02:00:00,31.88,31.935,31.4,31.83,4435425
2014-01-15 02:00:00,31.79,32.33,31.63,31.98,6884168
2014-01-16 02:00:00,31.85,32.045,31.69,31.82,3888025
2014-01-17 02:00:00,31.64,31.83,31.4,31.46,4310008
2014-01-21 02:00:00,31.36,31.46,31.09,31.24,6552379
2014-01-22 02:00:00,31.15,31.67,31.1025,31.36,5141566
2014-01-23 02:00:00,31.04,31.305,30.94,31.03,4877361
2014-01-24 02:00:00,30.72,30.92,30.54,30.69,4141019
2014-01-27 02:00:00,30.6,30.83,30.32,30.55,3327744
2014-01-28 02:00:00,30.29,30.92,30.26,30.67,5160772
2014-01-29 02:00:00,30.17,30.73,30.02,30.21,5524326
2014-01-30 02:00:00,30.39,31.695,30.39,31.31,8395976
2014-01-31 02:00:00,30.76,31.51,30.75,31.24,7007619
2014-02-03 02:00:00,31.23,31.32,30.23,30.46,6073679
2014-02-04 02:00:00,30.59,31.31,30.53,31.04,5848006
2014-02-05 02:00:00,30.5,31.26,30.35,31.15,5213768
2014-02-06 02:00:00,30.87,32.12,30.63,31.57,5960021
2014-02-07 02:00:00,31.51,31.76,31.2592,31.57,4940528
2014-02-10 02:00:00,31.74,31.74,31.28,31.44,2695531
2014-02-11 02:00:00,31.23,31.68,31.16,31.51,3112726
2014-02-12 02:00:00,31.27,31.91,31.27,31.81,6833230
2014-02-13 02:00:00,31.66,32.03,31.44,31.58,4912059
2014-02-14 02:00:00,31.67,32.04,31.53,31.83,2598549
2014-02-18 02:00:00,32.12,32.35,31.91,32.14,4655702
2014-02-19 02:00:00,31.95,32.19,31.88,31.89,3972844
2014-02-20 02:00:00,31.85,31.98,31.45,31.8,4463007
2014-02-21 02:00:00,32.0,32.29,31.775,32.13,3234926
2014-02-24 02:00:00,32.05,32.68,32.05,32.3,2665487
2014-02-25 02:00:00,32.31,32.49,32.13,32.23,2675224
2014-02-26 02:00:00,32.34,32.37,31.935,31.95,3658230
2014-02-27 02:00:00,31.82,32.18,31.82,32.12,2685397
2014-02-28 02:00:00,32.32,32.74,32.19,32.55,3518003
2014-03-03 02:00:00,32.46,32.545,31.895,32.09,2074564
2014-03-04 02:00:00,32.5,32.86,32.335,32.76,3713154
2014-03-05 02:00:00,32.6,33.31,32.46,33.03,2505778
2014-03-06 02:00:00,33.21,33.67,33.016,33.46,3362722
2014-03-07 02:00:00,33.75,33.76,33.1,33.14,3241957
2014-03-10 01:00:00,33.02,33.22,32.72,32.94,2829974
2014-03-11 01:00:00,32.8,32.87,32.11,32.28,4401597
2014-03-12 01:00:00,32.24,32.305,31.94,32.06,3823838
2014-03-13 01:00:00,32.33,32.33,31.4,31.45,3271267
2014-03-14 01:00:00,31.51,31.79,31.35,31.64,2529711
2014-03-17 01:00:00,31.88,32.09,31.655,31.8,3332715
2014-03-18 01:00:00,31.81,32.41,31.66,32.24,3796416
2014-03-19 01:00:00,31.97,32.36,31.89,32.0,4756811
2014-03-20 01:00:00,31.85,32.065,31.64,31.8,6854610
2014-03-21 01:00:00,32.33,32.47,31.805,31.83,4422428
2014-03-24 01:00:00,32.01,32.01,31.35,31.481,2956683
2014-03-25 01:00:00,31.71,31.86,31.39,31.64,4081166
2014-03-26 01:00:00,31.86,32.08,31.3,31.3,2934203
2014-03-27 01:00:00,31.55,31.55,30.91,30.97,3967238
2014-03-28 01:00:00,30.89,31.14,30.5,30.72,5060627
2014-03-31 01:00:00,30.76,31.31,30.76,31.12,2933778
2014-04-01 01:00:00,31.25,32.08,31.06,32.05,8187068
