datetime,open,high,low,close,volume
2010-02-16 02:00:00,16.06,16.16,15.88,16.09,5324369
2010-02-17 02:00:00,16.13,16.17,15.93,16.07,4238018
2010-02-18 02:00:00,16.15,16.25,16.12,16.24,2663776
2010-02-19 02:00:00,16.28,16.3,16.03,16.11,3229019
2010-02-22 02:00:00,15.71,16.21,15.71,16.19,2493357
2010-02-23 02:00:00,16.18,16.29,16.04,16.16,4288559
2010-02-24 02:00:00,16.25,16.58,16.25,16.57,4370466
2010-02-25 02:00:00,16.38,17.02,16.35,16.93,7577210
2010-02-26 02:00:00,16.99,17.31,16.91,17.25,5054438
2010-03-01 02:00:00,17.35,17.6,17.28,17.35,5052026
2010-03-02 02:00:00,17.28,17.42,17.28,17.37,4155916
2010-03-03 02:00:00,17.4,17.44,17.14,17.15,3860191
2010-03-04 02:00:00,17.25,17.27,17.06,17.11,3044343
2010-03-05 02:00:00,17.09,17.45,17.06,17.41,2081573
2010-03-08 02:00:00,17.41,17.535,17.3,17.52,2332214
2010-03-09 02:00:00,17.39,17.56,17.335,17.42,1675400
2010-03-10 02:00:00,17.36,17.65,17.3,17.55,4134618
2010-03-11 02:00:00,17.47,19.56,17.402,19.28,23738710
2010-03-12 02:00:00,19.33,19.37,18.39,18.64,14793695
2010-03-15 01:00:00,18.64,19.42,18.61,19.38,7393823
2010-03-16 01:00:00,19.35,19.72,19.08,19.18,4136025
2010-03-17 01:00:00,19.3,19.45,18.99,19.07,3067690
2010-03-18 01:00:00,19.05,19.68,19.0,19.56,4777109
2010-03-19 01:00:00,19.63,19.65,18.63,18.67,8233826
2010-03-22 01:00:00,18.43,18.97,18.33,18.77,4738713
2010-03-23 01:00:00,18.8,19.01,18.56,18.83,3379497
2010-03-24 01:00:00,18.83,18.92,18.59,18.67,1797563
2010-03-25 01:00:00,18.84,18.87,18.5,18.52,3506700
2010-03-26 01:00:00,18.64,18.65,18.19,18.26,2268392
2010-03-29 01:00:00,18.62,18.62,18.22,18.41,2475383
2010-03-30 01:00:00,18.47,18.52,18.23,18.34,1767946
2010-03-31 01:00:00,18.34,18.84,18.3,18.54,4013153
2010-04-01 01:00:00,18.6,18.85,18.4,18.53,3163071
2010-04-05 01:00:00,18.54,18.65,18.31,18.34,3732988
2010-04-06 01:00:00,18.32,18.4199,17.99,18.03,6771795
2010-04-07 01:00:00,17.96,18.08,17.4905,17.57,5964146
2010-04-08 01:00:00,17.55,17.6,17.24,17.56,4854401
2010-04-09 01:00:00,17.51,17.88,17.5,17.75,3479793
2010-04-12 01:00:00,17.73,17.83,17.54,17.56,2359867
2010-04-13 01:00:00,17.55,17.83,17.42,17.78,5249075
2010-04-14 01:00:00,17.78,18.36,17.7,18.33,4529418
2010-04-15 01:00:00,18.33,18.39,18.17,18.27,3022529
2010-04-16 01:00:00,18.25,18.39,18.1,18.14,4239275
2010-04-19 01:00:00,18.04,18.22,17.9,18.11,3108408
2010-04-20 01:00:00,18.28,18.32,18.0,18.22,2990977
2010-04-21 01:00:00,18.33,18.33,17.99,18.16,2753967
2010-04-22 01:00:00,18.13,18.3,17.94,18.19,2417729
2010-04-23 01:00:00,18.25,18.38,18.04,18.28,2469470
2010-04-26 01:00:00,18.35,18.72,18.01,18.02,3457430
2010-04-27 01:00:00,18.02,18.57,17.93,17.94,3477866
2010-04-28 01:00:00,18.1,18.2,17.94,18.02,2415284
2010-04-29 01:00:00,18.04,18.13,17.7515,17.76,4540210
2010-04-30 01:00:00,17.92,18.21,17.77,17.88,3508847
2010-05-03 01:00:00,17.92,18.14,17.73,18.11,3284118
2010-05-04 01:00:00,17.14,17.14,15.89,16.01,13184559
2010-05-05 01:00:00,15.9,16.34,15.86,16.25,6225284
2010-05-06 01:00:00,16.39,16.66,15.25,16.01,6991447
2010-05-07 01:00:00,16.06,16.07,15.29,15.82,6663953
2010-05-10 01:00:00,16.42,16.54,16.05,16.21,4362509
2010-05-11 01:00:00,16.14,16.345,16.05,16.17,2853174
2010-05-12 01:00:00,16.13,16.43,16.03,16.4,2660228
2010-05-13 01:00:00,16.33,16.4,16.16,16.23,1769497
2010-05-14 01:00:00,16.15,16.28,15.69,15.78,2564668
2010-05-17 01:00:00,15.83,15.94,15.5,15.78,2849547
2010-05-18 01:00:00,15.87,15.96,15.52,15.63,3562097
2010-05-19 01:00:00,15.65,15.92,15.49,15.61,2992546
2010-05-20 01:00:00,15.33,15.41,14.83,14.84,4825290
2010-05-21 01:00:00,14.64,15.09,14.43,15.08,5861284
2010-05-24 01:00:00,14.95,15.29,14.4,15.0,3071384
2010-05-25 01:00:00,14.77,14.91,14.31,14.91,5190153
2010-05-26 01:00:00,14.93,15.24,14.58,14.92,5253318
2010-05-27 01:00:00,15.19,15.31,14.79,14.96,3809132
2010-05-28 01:00:00,14.72,15.0404,14.59,14.9,2256199
2010-06-01 01:00:00,14.9,15.1,14.63,14.63,2257156
2010-06-02 01:00:00,14.71,14.8,14.55,14.72,4184965
2010-06-03 01:00:00,15.03,15.34,14.865,15.27,7677987
2010-06-04 01:00:00,14.91,15.2,14.72,14.78,3223978
2010-06-07 01:00:00,14.8,14.94,14.4,14.41,2652950
2010-06-08 01:00:00,14.38,14.6,13.85,14.0,5599379
2010-06-09 01:00:00,14.15,14.37,13.98,14.01,4383846
2010-06-10 01:00:00,14.16,14.425,14.1201,14.195,5514387
2010-06-11 01:00:00,14.04,14.58,13.9719,14.57,5715278
2010-06-14 01:00:00,14.59,14.855,14.57,14.67,3233188
2010-06-15 01:00:00,14.81,14.91,14.7,14.8,3263278
2010-06-16 01:00:00,14.73,15.06,14.69,14.98,2787610
2010-06-17 01:00:00,14.97,15.03,14.83,14.99,2274874
2010-06-18 01:00:00,14.99,15.06,14.93,14.98,2859542
2010-06-21 01:00:00,15.1,15.25,14.95,15.01,2103897
2010-06-22 01:00:00,15.01,15.24,14.86,14.89,2409547
2010-06-23 01:00:00,14.81,14.865,14.53,14.63,2841711
2010-06-24 01:00:00,14.54,14.59,14.15,14.16,4073213
2010-06-25 01:00:00,14.18,14.36,14.02,14.24,6270393
2010-06-28 01:00:00,14.21,14.43,14.06,14.06,2997790
2010-06-29 01:00:00,13.84,13.95,13.58,13.63,3640995
2010-06-30 01:00:00,13.66,14.15,13.5,13.93,5253175
2010-07-01 01:00:00,13.88,13.93,13.47,13.73,3283284
2010-07-02 01:00:00,13.75,13.9025,13.53,13.64,2452865
2010-07-06 01:00:00,13.81,13.91,13.48,13.58,2388774
2010-07-07 01:00:00,13.58,14.03,13.49,14.02,1754784
2010-07-08 01:00:00,14.05,14.31,13.99,14.23,3328380
2010-07-09 01:00:00,14.0,14.11,13.735,13.99,3487247
2010-07-12 01:00:00,13.96,14.16,13.9,14.12,2398068
2010-07-13 01:00:00,14.25,14.53,14.22,14.31,2654670
