datetime,open,high,low,close,volume
2014-01-02 02:00:00,90.96,91.14,90.05,90.32,1744307
2014-01-03 02:00:00,90.49,90.96,90.3303,90.52,1472508
2014-01-06 02:00:00,90.95,91.26,90.4,90.43,1955877
2014-01-07 02:00:00,90.57,91.14,90.47,90.8,1573704
2014-01-08 02:00:00,90.07,90.8,89.92,90.44,2645316
2014-01-09 02:00:00,90.89,91.44,90.25,90.47,1812595
2014-01-10 02:00:00,90.67,90.81,89.76,90.16,2998751
2014-01-13 02:00:00,89.87,90.45,88.74,88.87,2477592
2014-01-14 02:00:00,89.27,89.49,88.12,89.39,2901444
2014-01-15 02:00:00,89.83,90.16,89.6,89.91,2471085
2014-01-16 02:00:00,89.86,90.26,89.74,90.05,1638726
2014-01-17 02:00:00,90.22,90.45,89.66,89.95,2600572
2014-01-21 02:00:00,90.61,91.03,89.85,90.59,2502821
2014-01-22 02:00:00,90.91,91.25,90.22,91.09,2736353
2014-01-23 02:00:00,90.36,90.71,89.2337,89.8,4180877
2014-01-24 02:00:00,89.55,90.91,88.43,88.47,5029640
2014-01-27 02:00:00,89.23,90.97,89.23,90.29,6587265
2014-01-28 02:00:00,90.26,91.19,90.14,90.45,2931117
2014-01-29 02:00:00,89.59,90.54,89.26,89.74,3965826
2014-01-30 02:00:00,90.69,91.871,90.45,91.7,3150751
2014-01-31 02:00:00,90.6,92.15,90.26,91.23,3706380
2014-02-03 02:00:00,91.23,91.96,88.66,88.75,4237210
2014-02-04 02:00:00,88.96,89.99,88.27,89.76,3935183
2014-02-05 02:00:00,89.2,89.95,88.51,89.59,4273182
2014-02-06 02:00:00,89.91,91.19,89.77,91.14,2185325
2014-02-07 02:00:00,91.69,93.29,91.47,93.16,4226280
2014-02-10 02:00:00,93.1,93.7997,92.5007,92.85,3281360
2014-02-11 02:00:00,93.1,94.55,92.94,94.16,2981832
2014-02-12 02:00:00,94.56,94.87,93.91,94.29,2477834
2014-02-13 02:00:00,93.48,94.6,93.26,94.53,2512748
2014-02-14 02:00:00,94.49,94.82,93.89,94.61,2559379
2014-02-18 02:00:00,94.41,94.72,93.8701,94.35,2340555
2014-02-19 02:00:00,93.98,95.07,92.83,92.95,4265531
2014-02-20 02:00:00,93.23,94.034,92.72,93.56,2297662
2014-02-21 02:00:00,93.84,94.44,93.71,93.93,3218648
2014-02-24 02:00:00,94.36,95.205,93.75,93.76,2959344
2014-02-25 02:00:00,93.63,94.29,93.23,93.87,3246467
2014-02-26 02:00:00,93.55,94.54,93.5,93.86,2620666
2014-02-27 02:00:00,93.62,94.5,93.44,94.37,2063932
2014-02-28 02:00:00,94.3,95.21,93.83,94.44,3211680
2014-03-03 02:00:00,92.71,94.07,92.57,93.59,2697174
2014-03-04 02:00:00,94.66,95.58,94.52,94.6,3903351
2014-03-05 02:00:00,95.38,95.85,94.56,94.66,4219068
2014-03-06 02:00:00,95.05,95.5,94.7,94.75,3742598
2014-03-07 02:00:00,95.48,95.905,95.22,95.44,4810384
2014-03-10 01:00:00,95.045,95.415,94.69,95.25,2526618
2014-03-11 01:00:00,95.13,95.27,93.925,94.11,2447017
2014-03-12 01:00:00,93.27,93.86,92.611,93.85,2649458
2014-03-13 01:00:00,94.34,94.49,92.63,92.85,3532930
2014-03-14 01:00:00,92.61,93.08,91.88,92.01,3284651
2014-03-17 01:00:00,92.51,93.82,92.47,93.4,3116467
2014-03-18 01:00:00,93.72,93.86,93.36,93.75,2320450
2014-03-19 01:00:00,93.79,94.02,92.21,92.89,2379352
2014-03-20 01:00:00,92.89,93.39,92.49,92.95,2389092
2014-03-21 01:00:00,94.05,94.78,92.96,92.99,4799451
2014-03-24 01:00:00,93.41,93.66,91.5114,91.97,3695107
2014-03-25 01:00:00,92.59,92.92,91.78,92.44,2367264
2014-03-26 01:00:00,92.86,93.07,90.83,90.84,3227441
2014-03-27 01:00:00,90.96,91.19,90.053,90.3,3325311
2014-03-28 01:00:00,90.5,91.54,90.4801,90.89,2474300
2014-03-31 01:00:00,91.66,92.92,91.42,92.76,3330424
2014-04-01 01:00:00,93.15,93.36,92.61,93.26,2240423
2014-04-02 01:00:00,93.43,94.19,93.14,93.88,2882368
2014-04-03 01:00:00,94.1,94.34,93.57,94.28,2321636
2014-04-04 01:00:00,94.55,95.16,93.29,93.33,3326898
2014-04-07 01:00:00,93.28,93.46,91.57,91.9,2827067
2014-04-08 01:00:00,93.44,93.44,91.17,91.97,2075203
2014-04-09 01:00:00,92.17,93.27,91.87,93.21,2745599
2014-04-10 01:00:00,93.2,93.4,91.34,91.34,2538074
2014-04-11 01:00:00,90.43,91.44,90.205,90.4,2750597
2014-04-14 01:00:00,91.18,91.31,90.02,90.92,1940039
2014-04-15 01:00:00,91.08,91.77,89.9631,91.71,3572291
2014-04-16 01:00:00,92.51,93.32,92.08,93.3,3462941
2014-04-17 01:00:00,93.61,93.94,92.22,93.1,3931456
2014-04-21 01:00:00,93.47,93.47,92.47,93.18,2647693
2014-04-22 01:00:00,93.24,93.99,92.985,93.34,2863710
2014-04-23 01:00:00,92.82,94.16,92.82,94.03,3454180
2014-04-24 01:00:00,94.54,94.57,93.41,93.63,2832457
2014-04-25 01:00:00,93.64,93.79,92.46,92.65,2970375
2014-04-28 01:00:00,92.86,93.3599,91.4,92.46,2806980
2014-04-29 01:00:00,92.66,92.91,91.98,92.47,2602917
2014-04-30 01:00:00,92.26,93.24,91.9,92.9,3424881
2014-05-01 01:00:00,92.83,93.17,91.98,92.24,2502486
2014-05-02 01:00:00,92.23,92.84,92.07,92.37,2829769
2014-05-05 01:00:00,92.17,92.89,91.82,92.61,3215182
2014-05-06 01:00:00,92.39,92.53,91.57,91.58,2571999
2014-05-07 01:00:00,91.93,92.97,91.53,92.92,2523724
2014-05-08 01:00:00,92.68,93.64,92.57,92.96,2219315
2014-05-09 01:00:00,92.76,92.99,92.3,92.8,1832034
2014-05-12 01:00:00,93.2,94.43,93.2,94.39,2383050
2014-05-13 01:00:00,94.5,94.77,94.05,94.22,2517046
2014-05-14 01:00:00,94.26,94.545,92.62,92.74,2636855
2014-05-15 01:00:00,92.45,92.62,91.0,91.16,4983034
2014-05-16 01:00:00,91.05,91.32,90.69,91.2,3543388
2014-05-19 01:00:00,91.01,91.94,90.94,91.89,2846286
2014-05-20 01:00:00,91.24,91.47,90.07,90.36,2762516
2014-05-21 01:00:00,90.8,91.41,90.71,91.26,2710249
2014-05-22 01:00:00,91.36,91.73,91.0,91.45,2380040
2014-05-23 01:00:00,91.26,92.09,91.26,91.97,1863659
2014-05-27 01:00:00,92.45,92.5,92.13,92.36,1800519
2014-05-28 01:00:00,92.28,92.89,92.265,92.51,2048119
