datetime,open,high,low,close,volume
2014-01-02 02:00:00,25.78,25.82,25.47,25.79,31843697
2014-01-03 02:00:00,25.86,25.9,25.6,25.78,27803865
2014-01-06 02:00:00,25.77,25.79,25.45,25.46,31831801
2014-01-07 02:00:00,25.54,25.73,25.465,25.585,19684835
2014-01-08 02:00:00,25.64,25.71,25.3,25.43,29685075
2014-01-09 02:00:00,25.42,25.55,25.25,25.31,20888496
2014-01-10 02:00:00,25.5,25.85,25.5,25.53,30620993
2014-01-13 02:00:00,25.63,25.99,25.42,25.5,40304830
2014-01-14 02:00:00,26.01,26.55,25.9,26.51,74158157
2014-01-15 02:00:00,26.72,27.1183,26.61,26.67,58315241
2014-01-16 02:00:00,26.64,26.74,26.325,26.54,49521751
2014-01-17 02:00:00,25.36,25.86,25.25,25.85,112538007
2014-01-21 02:00:00,25.79,25.8,25.27,25.59,42325495
2014-01-22 02:00:00,25.39,25.54,25.15,25.31,48797804
2014-01-23 02:00:00,25.17,25.25,24.9,25.13,40281051
2014-01-24 02:00:00,24.88,25.191,24.79,24.81,35200630
2014-01-27 02:00:00,24.76,24.99,24.66,24.72,32582499
2014-01-28 02:00:00,24.71,25.045,24.57,24.9,32485557
2014-01-29 02:00:00,24.78,24.96,24.63,24.68,27180053
2014-01-30 02:00:00,24.75,24.89,24.54,24.74,24624111
2014-01-31 02:00:00,24.45,24.65,24.4,24.54,28858179
2014-02-03 02:00:00,24.505,24.51,23.89,23.95,52928170
2014-02-04 02:00:00,23.99,24.035,23.58,23.82,50888089
2014-02-05 02:00:00,23.7,23.76,23.5,23.52,32484587
2014-02-06 02:00:00,23.6,24.08,23.55,23.99,28049363
2014-02-07 02:00:00,24.2,24.26,23.77,24.205,30885856
2014-02-10 02:00:00,24.11,24.37,24.06,24.29,24571791
2014-02-11 02:00:00,24.35,24.515,24.33,24.47,17947958
2014-02-12 02:00:00,24.51,24.69,24.37,24.55,25925263
2014-02-13 02:00:00,24.43,24.74,24.31,24.7,22940043
2014-02-14 02:00:00,24.575,24.76,24.41,24.755,20592672
2014-02-18 02:00:00,24.67,24.78,24.55,24.76,17749250
2014-02-19 02:00:00,24.66,24.72,24.42,24.5,25743616
2014-02-20 02:00:00,24.54,24.85,24.5,24.74,20230664
2014-02-21 02:00:00,24.95,24.96,24.35,24.42,30617671
2014-02-24 02:00:00,24.52,24.88,24.41,24.63,24173569
2014-02-25 02:00:00,24.67,24.71,24.46,24.62,21613463
2014-02-26 02:00:00,24.74,24.98,24.61,24.8,19820163
2014-02-27 02:00:00,24.76,24.8,24.51,24.76,20866873
2014-02-28 02:00:00,24.79,24.845,24.57,24.76,23483725
2014-03-03 02:00:00,24.55,24.59,24.3,24.5,25754580
2014-03-04 02:00:00,24.72,24.78,24.5,24.61,23714667
2014-03-05 02:00:00,24.68,24.71,24.4,24.5,21071351
2014-03-06 02:00:00,24.57,24.65,24.38,24.63,22416271
2014-03-07 02:00:00,24.7,24.8501,24.57,24.64,25380925
2014-03-10 01:00:00,24.6098,24.89,24.58,24.84,24945279
2014-03-11 01:00:00,24.79,24.851,24.61,24.73,26695627
2014-03-12 01:00:00,24.65,24.88,24.61,24.76,21259016
2014-03-13 01:00:00,24.8,24.995,24.43,24.57,26243253
2014-03-14 01:00:00,24.48,24.645,24.4,24.5,21807232
2014-03-17 01:00:00,24.64,24.82,24.49,24.7,18525794
2014-03-18 01:00:00,24.68,24.9,24.55,24.82,26344019
2014-03-19 01:00:00,24.85,25.25,24.7748,25.02,34229423
2014-03-20 01:00:00,25.0,25.59,24.94,25.425,37009068
2014-03-21 01:00:00,25.64,25.68,25.16,25.17,56864569
2014-03-24 01:00:00,25.2,25.38,24.92,25.12,36951569
2014-03-25 01:00:00,25.19,25.67,25.17,25.46,32317416
2014-03-26 01:00:00,25.59,25.74,25.32,25.3772,26442817
2014-03-27 01:00:00,25.36,25.75,25.29,25.31,27209145
2014-03-28 01:00:00,25.41,25.81,25.32,25.62,22884455
2014-03-31 01:00:00,25.65,26.06,25.62,25.814,29336281
2014-04-01 01:00:00,25.8,26.0,25.64,25.99,23779846
2014-04-02 01:00:00,25.96,26.05,25.64,25.89,22464708
2014-04-03 01:00:00,26.15,26.46,26.14,26.41,38581278
2014-04-04 01:00:00,26.49,26.73,26.105,26.16,47918021
2014-04-07 01:00:00,26.3,26.74,26.2,26.485,49813483
2014-04-08 01:00:00,26.36,26.98,26.35,26.91,56699485
2014-04-09 01:00:00,26.93,27.02,26.73,26.98,34481773
2014-04-10 01:00:00,27.01,27.09,26.36,26.425,40478238
2014-04-11 01:00:00,26.27,26.59,26.17,26.1799,36126904
2014-04-14 01:00:00,26.31,26.65,26.14,26.56,26958006
2014-04-15 01:00:00,26.51,26.83,26.36,26.77,45074434
2014-04-16 01:00:00,26.98,27.24,26.595,26.93,59037351
2014-04-17 01:00:00,26.84,27.155,26.79,27.04,38112609
2014-04-21 01:00:00,27.05,27.05,26.73,26.95,20399688
2014-04-22 01:00:00,26.91,26.98,26.66,26.84,29602313
2014-04-23 01:00:00,26.8,26.97,26.72,26.75,25581417
2014-04-24 01:00:00,26.81,26.96,26.64,26.75,25432837
2014-04-25 01:00:00,26.65,26.72,26.185,26.26,33617211
2014-04-28 01:00:00,26.17,26.39,26.01,26.33,33472820
2014-04-29 01:00:00,26.36,26.655,26.35,26.48,22146001
2014-04-30 01:00:00,26.32,26.7,26.22,26.69,25863926
2014-05-01 01:00:00,26.51,26.67,26.39,26.45,19755249
2014-05-02 01:00:00,26.56,26.64,26.4,26.41,24236459
2014-05-05 01:00:00,26.16,26.26,25.99,26.17,20738950
2014-05-06 01:00:00,26.16,26.38,26.0,26.2,21818282
2014-05-07 01:00:00,26.26,26.45,26.22,26.37,24693262
2014-05-08 01:00:00,26.32,26.53,26.22,26.34,24168530
2014-05-09 01:00:00,26.37,26.41,26.22,26.3,20324413
2014-05-12 01:00:00,26.41,26.54,26.3,26.37,20607769
2014-05-13 01:00:00,26.49,26.54,26.33,26.45,20524972
2014-05-14 01:00:00,26.49,26.52,26.33,26.33,17811913
2014-05-15 01:00:00,26.33,26.5,26.01,26.01,31752745
2014-05-16 01:00:00,26.06,26.07,25.74,25.82,30017576
2014-05-19 01:00:00,25.75,26.09,25.75,26.04,22680849
2014-05-20 01:00:00,26.02,26.17,25.875,26.04,22293213
2014-05-21 01:00:00,26.1,26.25,26.0,26.2,18721592
2014-05-22 01:00:00,26.21,26.27,26.08,26.15,15926522
2014-05-23 01:00:00,26.15,26.3,26.14,26.289,17178021
2014-05-27 01:00:00,26.33,26.74,26.18,26.71,27271940
2014-05-28 01:00:00,26.7,26.94,26.66,26.88,27150171
2014-05-29 01:00:00,26.91,26.962,26.7212,26.96,20640029
2014-05-30 01:00:00,26.94,27.32,26.93,27.32,43641005
