datetime,open,high,low,close,volume
2014-01-02 02:00:00,64.0,64.11,63.13,63.38,982745
2014-01-03 02:00:00,63.36,63.91,63.085,63.47,765993
2014-01-06 02:00:00,63.42,63.42,62.23,62.36,1067619
2014-01-07 02:00:00,62.44,62.78,62.08,62.33,1899866
2014-01-08 02:00:00,62.57,62.76,61.98,62.3,1444554
2014-01-09 02:00:00,62.5,63.4965,62.25,62.49,1917029
2014-01-10 02:00:00,62.78,63.775,62.24,63.62,996908
2014-01-13 02:00:00,63.97,64.0,62.17,62.31,1307770
2014-01-14 02:00:00,62.44,64.3,62.42,63.86,1802519
2014-01-15 02:00:00,63.75,64.22,63.6,63.88,1604911
2014-01-16 02:00:00,63.4,63.72,62.751,63.06,1065875
2014-01-17 02:00:00,62.84,63.0,62.34,62.74,1446080
2014-01-21 02:00:00,63.22,63.27,62.33,62.44,1101266
2014-01-22 02:00:00,62.56,63.79,62.53,63.66,1639867
2014-01-23 02:00:00,63.4,63.83,62.76,63.53,1872634
2014-01-24 02:00:00,63.47,63.47,61.55,62.07,2513834
2014-01-27 02:00:00,62.22,62.37,61.18,61.7,1392716
2014-01-28 02:00:00,61.69,62.3,61.2,61.61,1811769
2014-01-29 02:00:00,61.44,61.92,61.13,61.52,1389341
2014-01-30 02:00:00,62.14,62.37,61.25,61.68,1498139
2014-01-31 02:00:00,60.69,61.655,60.62,61.47,1638394
2014-02-03 02:00:00,60.23,60.92,59.51,59.73,2006484
2014-02-04 02:00:00,60.0,60.36,59.44,60.29,1669532
2014-02-05 02:00:00,60.16,61.36,59.85,60.93,1556621
2014-02-06 02:00:00,60.91,62.64,60.895,61.83,1742967
2014-02-07 02:00:00,62.01,62.36,61.51,62.24,893950
2014-02-10 02:00:00,62.01,62.38,61.88,62.33,924080
2014-02-11 02:00:00,62.26,63.79,62.26,63.61,1070980
2014-02-12 02:00:00,63.49,64.19,63.47,63.79,1123730
2014-02-13 02:00:00,62.73,64.45,62.64,64.44,1287538
2014-02-14 02:00:00,64.1,65.44,64.1,65.28,1411917
2014-02-18 02:00:00,65.22,65.49,64.43,64.49,1350323
2014-02-19 02:00:00,64.4,64.69,64.07,64.4,1433624
2014-02-20 02:00:00,64.6,64.97,64.364,64.65,1154604
2014-02-21 02:00:00,64.78,65.635,64.51,64.97,1639731
2014-02-24 02:00:00,65.5,66.0299,65.04,65.35,985415
2014-02-25 02:00:00,65.35,65.46,64.64,65.27,1081549
2014-02-26 02:00:00,65.55,66.12,65.05,65.24,870774
2014-02-27 02:00:00,65.07,65.36,64.5,64.97,871982
2014-02-28 02:00:00,65.12,65.58,64.57,65.15,1158627
2014-03-03 02:00:00,64.46,64.83,63.9,64.32,758124
