datetime,open,high,low,close,volume
2010-02-16 02:00:00,12.165,12.21,12.06,12.15,707654
2010-02-17 02:00:00,12.165,12.33,12.165,12.285,922288
2010-02-18 02:00:00,12.27,12.41,12.255,12.35,687316
2010-02-19 02:00:00,12.375,12.67,12.27,12.575,1057380
2010-02-22 02:00:00,12.7,13.155,12.5755,13.05,650958
2010-02-23 02:00:00,12.975,13.045,12.76,12.92,1002136
2010-02-24 02:00:00,12.895,13.16,12.81,13.15,899450
2010-02-25 02:00:00,13.065,13.07,12.43,12.91,591704
2010-02-26 02:00:00,12.855,13.46,12.845,13.235,962942
2010-03-01 02:00:00,13.155,13.485,13.15,13.455,1352988
2010-03-02 02:00:00,13.45,13.76005,13.45,13.585,1169772
2010-03-03 02:00:00,13.665,13.665,13.555,13.595,900584
2010-03-04 02:00:00,13.56,13.675,13.525,13.675,636618
2010-03-05 02:00:00,13.735,13.915,13.7,13.845,777310
2010-03-08 02:00:00,13.875,13.985,13.845,13.92,324516
2010-03-09 02:00:00,13.87,14.025,13.7855,13.93,404068
2010-03-10 02:00:00,13.905,14.055,13.89,13.99,445362
2010-03-11 02:00:00,13.805,14.115,13.805,14.045,512586
2010-03-12 02:00:00,14.065,14.08,13.92,13.97,440624
2010-03-15 01:00:00,13.915,14.01,13.75,13.86,480530
2010-03-16 01:00:00,13.845,14.03,13.845,13.9525,447470
2010-03-17 01:00:00,13.96,14.37,13.92,14.225,838676
2010-03-18 01:00:00,14.255,14.35,14.02,14.07,399284
2010-03-19 01:00:00,14.05,14.085,13.7,13.7,578362
2010-03-22 01:00:00,13.695,14.2,13.465,14.095,528536
2010-03-23 01:00:00,14.075,14.32,14.035,14.305,608844
2010-03-24 01:00:00,14.2,14.35,14.17,14.24,476240
2010-03-25 01:00:00,14.285,14.345,14.035,14.04,1003650
2010-03-26 01:00:00,14.0,14.165,13.77,14.125,658810
2010-03-29 01:00:00,14.115,14.23,14.11,14.175,306704
2010-03-30 01:00:00,14.125,14.51,14.125,14.4,422518
2010-03-31 01:00:00,14.415,14.525,14.255,14.445,412766
2010-04-01 01:00:00,14.53,14.675,14.4,14.525,393962
2010-04-05 01:00:00,14.545,14.645,14.47,14.64,366876
2010-04-06 01:00:00,14.555,14.63,14.49,14.575,355708
2010-04-07 01:00:00,14.525,14.61,14.315,14.44,429822
2010-04-08 01:00:00,14.355,14.475,14.195,14.3,482694
2010-04-09 01:00:00,14.355,14.59,14.26,14.525,299004
2010-04-12 01:00:00,14.485,14.74,14.46,14.7,320158
2010-04-13 01:00:00,14.645,14.73,14.435,14.47,413526
2010-04-14 01:00:00,14.47,14.78,14.385,14.69,412304
2010-04-15 01:00:00,14.715,14.715,14.52,14.605,350822
2010-04-16 01:00:00,14.57,14.63,14.255,14.315,591242
2010-04-19 01:00:00,14.235,14.41,14.09,14.19,391592
2010-04-20 01:00:00,14.2,14.5,14.16,14.39,503338
2010-04-21 01:00:00,14.335,14.695,14.335,14.55,433138
2010-04-22 01:00:00,14.475,14.6,14.305,14.565,303812
2010-04-23 01:00:00,14.57,14.595,14.415,14.575,340052
2010-04-26 01:00:00,14.515,14.625,14.155,14.19,508192
2010-04-27 01:00:00,14.18,14.195,13.43,13.675,1141442
2010-04-28 01:00:00,13.655,13.835,13.345,13.395,1073588
2010-04-29 01:00:00,13.41,13.755,13.41,13.625,638048
2010-04-30 01:00:00,13.655,13.755,13.475,13.54,603354
2010-05-03 01:00:00,13.515,13.805,13.515,13.78,745064
2010-05-04 01:00:00,13.55,13.635,13.41,13.55,891676
2010-05-05 01:00:00,13.525,13.525,12.975,13.025,873612
2010-05-06 01:00:00,12.975,13.045,11.915,12.57,945572
2010-05-07 01:00:00,12.62,12.705,11.715,11.905,1606134
2010-05-10 01:00:00,12.535,12.645,12.185,12.4,839362
2010-05-11 01:00:00,12.335,12.685,12.25,12.395,709344
2010-05-12 01:00:00,12.37,12.975,12.37,12.915,867564
2010-05-13 01:00:00,12.945,13.11,12.86,12.925,668168
2010-05-14 01:00:00,12.85,12.935,12.545,12.705,1023618
2010-05-17 01:00:00,12.725,12.935,12.405,12.73,1533898
2010-05-18 01:00:00,12.78,12.815,12.345,12.455,1032936
2010-05-19 01:00:00,12.415,12.47,12.115,12.405,1008294
2010-05-20 01:00:00,12.025,12.07,11.49,11.535,3311862
2010-05-21 01:00:00,11.44,11.825,11.375,11.745,2191548
2010-05-24 01:00:00,11.655,12.005,11.655,11.725,1463660
2010-05-25 01:00:00,11.435,12.035,11.285,12.035,1106236
2010-05-26 01:00:00,12.13,12.36,11.99,12.065,3584856
2010-05-27 01:00:00,12.39,12.805,12.36,12.805,1093330
2010-05-28 01:00:00,12.74,12.94,12.58,12.83,952494
2010-06-01 01:00:00,12.625,13.05,12.625,12.665,893436
