datetime,open,high,low,close,volume
2014-01-02 02:00:00,54.04,54.33,53.69,53.95,1052918
2014-01-03 02:00:00,53.95,54.28,53.65,53.94,891898
2014-01-06 02:00:00,53.8,53.9,53.08,53.25,1121624
2014-01-07 02:00:00,53.38,54.22,53.06,53.91,1348685
2014-01-08 02:00:00,53.88,54.4,53.61,54.18,1283855
2014-01-09 02:00:00,54.03,54.85,54.012,54.2,1260788
2014-01-10 02:00:00,54.43,54.99,54.274,54.88,1139434
2014-01-13 02:00:00,54.68,55.37,54.34,54.58,1953221
2014-01-14 02:00:00,54.7,56.0,54.7,55.89,2624907
2014-01-15 02:00:00,55.82,56.5225,55.555,55.95,2305817
2014-01-16 02:00:00,55.95,56.21,54.87,54.9,2002744
2014-01-17 02:00:00,54.85,55.1,54.05,54.23,1842983
2014-01-21 02:00:00,54.8,54.99,54.05,54.45,1212060
2014-01-22 02:00:00,54.99,55.5,54.5525,55.38,2330210
2014-01-23 02:00:00,55.26,55.3,53.96,54.04,2840099
2014-01-24 02:00:00,53.45,53.45,51.255,51.27,4543132
2014-01-27 02:00:00,51.32,51.5,50.33,50.96,3199212
2014-01-28 02:00:00,51.07,51.42,50.68,51.22,3070052
2014-01-29 02:00:00,51.01,51.58,50.71,51.25,3340176
2014-01-30 02:00:00,52.8,52.9,50.1675,51.26,5245820
2014-01-31 02:00:00,50.37,51.13,50.37,50.61,3127220
2014-02-03 02:00:00,49.85,50.03,48.45,48.58,4447815
2014-02-04 02:00:00,49.0,49.46,48.58,49.46,2821946
2014-02-05 02:00:00,49.36,50.3,48.96,49.95,2417296
2014-02-06 02:00:00,50.15,51.21,50.01,51.05,3855608
2014-02-07 02:00:00,51.3,51.93,50.7,51.85,2701633
2014-02-10 02:00:00,51.7,52.005,51.27,51.6,1567880
2014-02-11 02:00:00,51.79,52.97,51.53,52.64,2464713
2014-02-12 02:00:00,52.75,53.07,52.45,52.67,1522130
2014-02-13 02:00:00,51.74,52.06,50.35,51.91,3333917
2014-02-14 02:00:00,52.02,52.59,51.32,52.48,2482350
2014-02-18 02:00:00,52.66,52.6899,51.07,51.76,1928506
2014-02-19 02:00:00,51.64,52.18,51.56,51.99,2090671
2014-02-20 02:00:00,51.68,52.58,51.68,52.35,1425572
