datetime,open,high,low,close,volume
2018-12-07 02:00:00,22.0,22.75,18.51,18.6,12995569
2018-12-10 02:00:00,18.9,19.4388,18.0,18.8,4233345
2018-12-11 02:00:00,20.55,20.66,17.99,18.01,3435271
2018-12-12 02:00:00,18.55,19.48,18.02,18.68,2590873
2018-12-13 02:00:00,19.25,19.29,18.68,18.76,1608629
2018-12-14 02:00:00,18.75,18.8806,18.25,18.32,746412
2018-12-17 02:00:00,18.33,18.47,16.9,17.0,1581242
2018-12-18 02:00:00,17.1,17.25,16.25,17.0,1621904
2018-12-19 02:00:00,16.86,17.37,16.0,16.18,941528
2018-12-20 02:00:00,16.0,16.14,14.75,15.5,2365203
2018-12-21 02:00:00,15.4,15.5,13.95,14.47,2063235
2018-12-24 02:00:00,14.32,14.32,13.75,14.03,665427
2018-12-26 02:00:00,14.15,14.31,13.03,13.52,1817977
2018-12-27 02:00:00,13.49,14.95,13.27,14.65,1769545
2018-12-28 02:00:00,14.72,14.85,13.8184,14.15,929098
2018-12-31 02:00:00,14.24,15.3,14.2129,15.27,994726
