datetime,open,high,low,close,volume
2014-01-02 02:00:00,14.38,14.44,14.04,14.17,5272094
2014-01-03 02:00:00,14.16,14.25,14.06,14.16,2691358
2014-01-06 02:00:00,14.16,14.72,14.16,14.64,8749844
2014-01-07 02:00:00,14.65,15.12,14.65,14.7,12632460
2014-01-08 02:00:00,14.7,15.03,14.64,14.97,6496469
2014-01-09 02:00:00,15.11,15.3,15.035,15.15,6378140
2014-01-10 02:00:00,15.34,15.49,15.18,15.21,6934511
2014-01-13 02:00:00,15.16,15.29,15.1,15.23,4993333
2014-01-14 02:00:00,15.24,15.82,15.24,15.81,8447799
2014-01-15 02:00:00,15.58,15.75,15.28,15.52,11675041
2014-01-16 02:00:00,15.35,15.46,14.73,14.76,11260699
2014-01-17 02:00:00,14.73,14.96,14.57,14.68,6519446
2014-01-21 02:00:00,14.78,14.93,14.58,14.89,5426997
2014-01-22 02:00:00,14.9,15.35,14.89,15.33,6774431
2014-01-23 02:00:00,15.18,15.33,15.04,15.18,5288081
2014-01-24 02:00:00,15.05,15.1,14.755,14.76,5275588
2014-01-27 02:00:00,14.85,15.025,14.585,14.83,5180718
2014-01-28 02:00:00,14.76,14.94,14.54,14.93,5853603
2014-01-29 02:00:00,14.76,15.04,14.66,14.87,5181381
2014-01-30 02:00:00,15.03,15.15,14.91,15.03,3749241
2014-01-31 02:00:00,14.92,15.08,14.82,14.93,4202880
2014-02-03 02:00:00,14.98,14.99,14.4,14.45,5534335
2014-02-04 02:00:00,14.46,14.61,14.33,14.43,3380317
2014-02-05 02:00:00,14.41,14.64,14.35,14.53,3603941
2014-02-06 02:00:00,14.55,14.66,14.51,14.62,1999645
2014-02-07 02:00:00,14.65,14.96,14.6401,14.9,4527811
2014-02-10 02:00:00,14.83,14.93,14.69,14.86,3746620
2014-02-11 02:00:00,14.86,14.9,14.53,14.82,3832838
2014-02-12 02:00:00,14.88,15.26,14.859,15.25,5154599
2014-02-13 02:00:00,15.15,15.3,15.06,15.23,3508723
2014-02-14 02:00:00,15.32,15.4,15.055,15.32,3233859
2014-02-18 02:00:00,15.36,15.83,15.34,15.73,6531194
2014-02-19 02:00:00,15.76,15.94,15.63,15.77,6137134
2014-02-20 02:00:00,15.71,16.15,15.71,16.125,7730256
2014-02-21 02:00:00,16.02,16.62,15.28,15.6,11432726
2014-02-24 02:00:00,15.56,15.88,15.4,15.42,7359503
2014-02-25 02:00:00,15.4,15.438,15.025,15.11,6855860
2014-02-26 02:00:00,15.1,15.42,15.09,15.28,3184497
2014-02-27 02:00:00,15.26,15.45,15.131,15.32,4979544
2014-02-28 02:00:00,15.35,15.49,15.2,15.29,3158055
2014-03-03 02:00:00,15.09,15.475,14.84,15.43,3938282
2014-03-04 02:00:00,15.5,15.7,15.5,15.67,3966919
2014-03-05 02:00:00,15.6,15.84,15.57,15.73,3322289
2014-03-06 02:00:00,15.79,15.915,15.72,15.865,4043855
2014-03-07 02:00:00,15.84,15.95,15.79,15.87,2941354
2014-03-10 01:00:00,15.8,15.89,15.52,15.59,2546379
2014-03-11 01:00:00,15.58,15.95,15.54,15.85,7231651
2014-03-12 01:00:00,15.73,15.92,15.68,15.89,6247838
2014-03-13 01:00:00,15.96,15.98,15.56,15.73,3688089
2014-03-14 01:00:00,15.65,15.89,15.63,15.81,4098233
2014-03-17 01:00:00,15.7,15.86,15.66,15.67,3440430
2014-03-18 01:00:00,15.62,15.95,15.6,15.83,4621279
2014-03-19 01:00:00,15.87,16.015,15.7,15.93,4595165
2014-03-20 01:00:00,15.93,16.21,15.9,16.18,4730432
2014-03-21 01:00:00,16.2,16.36,16.141,16.19,7935244
2014-03-24 01:00:00,16.25,16.25,15.87,15.895,4326187
2014-03-25 01:00:00,15.9,15.94,15.69,15.76,4371785
2014-03-26 01:00:00,15.85,15.89,15.29,15.295,4568910
2014-03-27 01:00:00,15.31,15.54,15.2,15.31,2980853
2014-03-28 01:00:00,15.49,15.53,15.36,15.43,2012511
2014-03-31 01:00:00,15.54,15.75,15.46,15.75,4956424
2014-04-01 01:00:00,16.31,16.65,16.14,16.205,13113708
2014-04-02 01:00:00,16.16,16.2768,16.03,16.23,5157896
2014-04-03 01:00:00,16.2,16.34,15.88,15.88,4907705
2014-04-04 01:00:00,15.99,16.19,15.79,15.94,7439081
2014-04-07 01:00:00,15.85,16.07,15.75,15.81,4832058
2014-04-08 01:00:00,15.91,16.1,15.71,16.02,6393603
2014-04-09 01:00:00,16.04,16.19,15.89,15.94,3647457
2014-04-10 01:00:00,15.9,15.94,15.27,15.27,4228171
2014-04-11 01:00:00,15.24,15.42,14.92,14.94,3241429
2014-04-14 01:00:00,15.01,15.17,14.83,15.16,5282541
2014-04-15 01:00:00,15.23,15.29,14.965,15.22,3486831
2014-04-16 01:00:00,15.35,15.35,14.99,15.275,2595621
