datetime,open,high,low,close,volume
2015-11-19 02:00:00,11.5,12.89,10.63,12.7,26921614
2015-11-20 02:00:00,13.28,14.17,12.37,13.2,7389560
2015-11-23 02:00:00,13.96,13.98,12.06,12.37,3233534
2015-11-24 02:00:00,12.29,13.1,11.62,12.22,2253886
2015-11-25 02:00:00,12.05,12.64,12.05,12.41,1109916
2015-11-27 02:00:00,12.6,12.8,12.32,12.62,507185
2015-11-30 02:00:00,12.93,12.9305,12.0,12.48,1492227
2015-12-01 02:00:00,12.53,12.53,11.9,12.23,915357
2015-12-02 02:00:00,12.02,12.1999,12.0,12.1,461838
2015-12-03 02:00:00,11.99,12.12,11.0,11.05,1674764
2015-12-04 02:00:00,11.05,11.26,10.82,11.11,1414753
2015-12-07 02:00:00,11.39,11.48,11.0,11.25,663556
2015-12-08 02:00:00,11.0,11.4,11.0,11.38,629984
2015-12-09 02:00:00,11.3,11.84,11.14,11.55,715622
2015-12-10 02:00:00,11.93,12.0,11.45,11.92,1247018
2015-12-11 02:00:00,11.65,11.99,11.53,11.84,1020404
2015-12-14 02:00:00,11.52,11.87,11.38,11.63,1582890
2015-12-15 02:00:00,11.76,12.5,11.57,12.08,1208575
2015-12-16 02:00:00,12.5,12.74,12.205,12.68,1351642
2015-12-17 02:00:00,12.83,12.95,12.23,12.28,737646
2015-12-18 02:00:00,12.28,12.58,11.96,12.33,3261785
2015-12-21 02:00:00,12.42,12.4499,11.48,11.9,851868
2015-12-22 02:00:00,11.59,12.18,11.56,11.91,388415
2015-12-23 02:00:00,12.16,12.16,11.64,12.03,636125
2015-12-24 02:00:00,11.97,12.295,11.72,12.09,346245
2015-12-28 02:00:00,12.19,12.37,11.55,11.73,655092
2015-12-29 02:00:00,11.94,11.97,11.5,11.77,772712
2015-12-30 02:00:00,11.81,11.89,11.54,11.6,736298
2015-12-31 02:00:00,11.67,11.74,11.52,11.55,411306
2016-01-04 02:00:00,11.43,11.49,11.04,11.36,1771433
2016-01-05 02:00:00,11.44,11.98,11.36,11.67,1307220
2016-01-06 02:00:00,11.6,12.25,11.58,11.92,1661583
2016-01-07 02:00:00,11.62,11.911,11.16,11.51,1210668
2016-01-08 02:00:00,11.55,11.85,11.55,11.59,512197
2016-01-11 02:00:00,11.6,12.13,11.49,11.73,597140
2016-01-12 02:00:00,11.84,12.14,11.25,11.56,844904
2016-01-13 02:00:00,11.78,11.83,11.0,11.295,972470
2016-01-14 02:00:00,11.49,11.6,10.75,11.06,1792287
2016-01-15 02:00:00,10.75,11.09,10.13,10.96,1589684
2016-01-19 02:00:00,11.0,11.33,10.11,10.51,1457834
2016-01-20 02:00:00,10.21,10.25,9.45,9.95,1526663
2016-01-21 02:00:00,10.06,10.2499,9.64,9.94,600851
2016-01-22 02:00:00,10.46,10.46,9.88,10.22,1130506
2016-01-25 02:00:00,10.57,10.77,9.83,9.97,546374
2016-01-26 02:00:00,9.99,10.47,9.81,10.14,495785
2016-01-27 02:00:00,10.27,10.5,9.83,9.96,462224
2016-01-28 02:00:00,9.87,10.61,9.5,10.47,1065110
2016-01-29 02:00:00,10.28,10.69,10.11,10.55,934978
2016-02-01 02:00:00,10.11,10.95,10.03,10.79,1062579
2016-02-02 02:00:00,10.72,10.825,10.0,10.19,2017304
2016-02-03 02:00:00,7.98,8.82,7.17,8.66,6600425
2016-02-04 02:00:00,8.21,8.55,6.75,7.76,5495462
2016-02-05 02:00:00,7.78,7.99,7.29,7.3,1426001
2016-02-08 02:00:00,7.03,7.75,7.0,7.19,885935
2016-02-09 02:00:00,7.0,7.26,6.41,7.12,1866588
2016-02-10 02:00:00,7.1,7.47,6.84,7.4,636059
2016-02-11 02:00:00,7.21,7.95,7.0501,7.7,1255085
2016-02-12 02:00:00,7.6,8.0,7.44,7.82,1044865
2016-02-16 02:00:00,8.11,8.5,7.85,8.19,1029744
2016-02-17 02:00:00,8.18,8.71,8.06,8.11,1216382
2016-02-18 02:00:00,8.18,8.77,7.93,8.44,964679
2016-02-19 02:00:00,8.42,8.62,8.17,8.5,682695
2016-02-22 02:00:00,8.49,8.73,8.38,8.47,801012
2016-02-23 02:00:00,8.26,8.69,8.26,8.35,759946
2016-02-24 02:00:00,8.49,8.65,8.115,8.58,558567
2016-02-25 02:00:00,8.63,8.75,8.51,8.64,374535
2016-02-26 02:00:00,8.65,8.7,8.5,8.61,407016
2016-02-29 02:00:00,8.74,9.07,8.56,8.89,1029909
2016-03-01 02:00:00,9.06,9.66,8.81,9.39,1073267
2016-03-02 02:00:00,9.63,9.97,9.39,9.74,923162
2016-03-03 02:00:00,9.81,10.3,9.72,9.97,1099689
2016-03-04 02:00:00,10.15,10.18,9.49,9.52,619971
2016-03-07 02:00:00,9.55,10.0,9.5,10.0,955001
2016-03-08 02:00:00,9.93,10.05,9.38,9.53,856429
2016-03-09 02:00:00,9.58,9.72,8.81,9.45,819651
2016-03-10 02:00:00,9.54,9.71,9.185,9.29,405385
2016-03-11 02:00:00,9.43,9.62,9.21,9.43,553366
2016-03-14 01:00:00,9.45,9.68,9.18,9.24,1053719
2016-03-15 01:00:00,9.14,9.31,8.7401,9.16,640386
2016-03-16 01:00:00,9.12,9.38,8.92,9.34,647498
2016-03-17 01:00:00,9.33,9.48,9.01,9.2,1141595
2016-03-18 01:00:00,9.29,9.4,8.48,8.66,3545333
2016-03-21 01:00:00,8.69,8.92,8.537,8.9,745683
2016-03-22 01:00:00,8.82,9.07,8.57,8.94,557245
2016-03-23 01:00:00,8.9,9.0,8.56,8.72,445082
2016-03-24 01:00:00,8.76,9.15,8.64,9.03,906561
2016-03-28 01:00:00,9.13,9.18,8.75,8.87,546260
2016-03-29 01:00:00,8.82,8.93,8.58,8.86,413780
2016-03-30 01:00:00,9.0,9.22,8.81,8.93,738205
2016-03-31 01:00:00,8.94,9.38,8.81,9.06,675094
2016-04-01 01:00:00,9.02,9.64,8.84,9.58,1630245
2016-04-04 01:00:00,9.52,9.7,9.06,9.35,974077
2016-04-05 01:00:00,9.29,9.33,9.04,9.16,1292894
2016-04-06 01:00:00,9.2,9.44,9.0832,9.39,809306
2016-04-07 01:00:00,9.35,9.38,8.91,8.97,958360
2016-04-08 01:00:00,9.03,9.1799,8.4,8.44,765584
2016-04-11 01:00:00,8.48,8.5799,8.11,8.24,833927
2016-04-12 01:00:00,8.29,8.4,8.06,8.3,854143
2016-04-13 01:00:00,8.43,8.65,8.23,8.62,530379
2016-04-14 01:00:00,8.64,8.88,8.49,8.84,523318
2016-04-15 01:00:00,8.85,9.6,8.7701,9.34,2162227
2016-04-18 01:00:00,9.75,9.83,9.29,9.64,1057394
2016-04-19 01:00:00,9.85,9.85,9.37,9.485,768368
2016-04-20 01:00:00,9.68,9.97,9.5,9.745,1060527
2016-04-21 01:00:00,9.89,9.93,9.53,9.75,741707
2016-04-22 01:00:00,9.96,9.9699,9.32,9.73,891758
2016-04-25 01:00:00,9.9,9.9,9.5,9.67,454043
2016-04-26 01:00:00,9.75,9.9,9.56,9.7,432855
2016-04-27 01:00:00,9.78,9.781,9.434,9.57,755986
2016-04-28 01:00:00,9.75,9.77,9.4,9.44,349397
2016-04-29 01:00:00,9.55,9.57,9.3,9.4,801226
2016-05-02 01:00:00,9.5,9.531,9.14,9.29,1649341
2016-05-03 01:00:00,9.52,9.52,8.72,9.16,1691523
2016-05-04 01:00:00,10.01,12.19,10.0,10.81,5670434
2016-05-05 01:00:00,10.99,11.58,10.4,10.88,991767
2016-05-06 01:00:00,11.0,11.41,10.5,10.55,866125
2016-05-09 01:00:00,10.74,11.43,10.7,11.19,1123758
2016-05-10 01:00:00,11.44,12.48,11.2,12.25,1225432
2016-05-11 01:00:00,12.5,12.66,12.0,12.54,829391
2016-05-12 01:00:00,12.9,13.4,12.5,12.55,1328155
2016-05-13 01:00:00,12.71,12.75,12.04,12.41,1181553
2016-05-16 01:00:00,12.84,12.87,12.25,12.3,810668
2016-05-17 01:00:00,12.64,12.7699,12.3,12.49,537946
2016-05-18 01:00:00,12.49,12.5799,11.6301,11.81,884991
2016-05-19 01:00:00,11.75,11.96,11.07,11.44,868829
2016-05-20 01:00:00,11.65,11.94,11.33,11.94,826362
2016-05-23 01:00:00,11.9,12.19,11.74,12.05,1010126
2016-05-24 01:00:00,12.18,12.2,11.86,12.04,480034
2016-05-25 01:00:00,12.14,12.4499,12.02,12.25,644697
2016-05-26 01:00:00,12.33,12.3344,11.522,11.64,666177
2016-05-27 01:00:00,11.66,12.13,11.6,11.93,484283
2016-05-31 01:00:00,12.12,12.14,11.7001,12.0,1326407
2016-06-01 01:00:00,12.0,12.1,11.31,11.45,687377
2016-06-02 01:00:00,11.51,11.725,11.15,11.54,886827
2016-06-03 01:00:00,11.53,11.58,11.15,11.21,1159517
2016-06-06 01:00:00,11.3,11.87,11.23,11.41,519273
2016-06-07 01:00:00,11.35,11.99,11.28,11.8,902183
2016-06-08 01:00:00,11.95,12.32,11.75,11.99,1745197
2016-06-09 01:00:00,12.0,12.8,11.87,12.71,1454786
2016-06-10 01:00:00,12.63,12.78,12.3,12.54,964448
2016-06-13 01:00:00,12.5,12.63,12.09,12.22,885110
2016-06-14 01:00:00,12.07,14.09,12.04,13.86,2555046
2016-06-15 01:00:00,13.86,14.1,13.32,13.48,1697473
2016-06-16 01:00:00,13.4,13.48,12.75,12.9,1773688
2016-06-17 01:00:00,12.92,13.09,12.5,12.8,1612860
2016-06-20 01:00:00,13.08,13.6,12.67,12.77,938611
2016-06-21 01:00:00,12.8,13.38,12.73,13.14,587309
2016-06-22 01:00:00,13.21,13.34,12.95,13.31,434345
2016-06-23 01:00:00,13.22,13.78,13.15,13.6,1371213
2016-06-24 01:00:00,12.91,13.23,12.45,12.6,1743916
2016-06-27 01:00:00,12.36,12.39,11.55,12.06,1223574
2016-06-28 01:00:00,12.28,12.55,11.92,12.16,620017
2016-06-29 01:00:00,12.7,12.72,12.26,12.57,411344
2016-06-30 01:00:00,12.53,13.11,12.33,13.075,623236
2016-07-01 01:00:00,13.12,13.74,13.04,13.54,973634
2016-07-05 01:00:00,13.57,13.6,12.73,12.99,615566
2016-07-06 01:00:00,13.27,13.29,12.75,13.11,599075
2016-07-07 01:00:00,12.83,12.91,12.28,12.81,1954098
2016-07-08 01:00:00,12.92,13.2105,12.82,12.85,1179865
2016-07-11 01:00:00,13.05,13.19,12.96,13.01,467716
2016-07-12 01:00:00,13.13,14.34,13.1,13.69,2049943
2016-07-13 01:00:00,13.71,14.42,13.61,13.75,1215562
2016-07-14 01:00:00,13.74,13.8699,13.3522,13.73,525402
2016-07-15 01:00:00,13.84,14.34,13.74,14.19,1303600
2016-07-18 01:00:00,14.4,14.63,14.11,14.43,952244
2016-07-19 01:00:00,14.43,14.99,14.43,14.93,1326024
2016-07-20 01:00:00,15.0,15.0,14.189,14.36,1423216
2016-07-21 01:00:00,14.43,14.57,13.93,14.09,880335
2016-07-22 01:00:00,14.1,14.31,13.45,13.98,1083466
2016-07-25 01:00:00,13.96,14.19,13.82,14.03,595323
2016-07-26 01:00:00,13.96,14.71,13.95,14.64,1882560
2016-07-27 01:00:00,13.57,13.84,13.0,13.68,3839225
2016-07-28 01:00:00,14.18,14.22,13.04,13.07,2738056
2016-07-29 01:00:00,12.96,13.75,12.7,13.75,1808582
2016-08-01 01:00:00,13.75,14.37,13.6,14.0,1831246
2016-08-02 01:00:00,13.95,13.95,13.33,13.37,853494
2016-08-03 01:00:00,13.32,13.78,13.14,13.57,627387
2016-08-04 01:00:00,13.5,13.91,13.46,13.69,1079432
2016-08-05 01:00:00,13.73,14.05,13.7,13.91,741055
2016-08-08 01:00:00,13.98,14.47,13.91,14.25,1242878
2016-08-09 01:00:00,14.25,14.95,14.1,14.5,2030689
2016-08-10 01:00:00,14.56,14.88,14.42,14.84,2835921
2016-08-11 01:00:00,14.86,14.99,14.25,14.29,1392588
2016-08-12 01:00:00,14.33,14.41,13.91,14.02,2068068
2016-08-15 01:00:00,13.94,14.19,13.75,13.89,951501
2016-08-16 01:00:00,13.78,13.98,13.21,13.26,905958
2016-08-17 01:00:00,13.18,13.42,12.71,12.95,800368
2016-08-18 01:00:00,13.0,13.14,12.5,12.73,1307295
2016-08-19 01:00:00,12.7,13.98,12.32,13.89,2865058
2016-08-22 01:00:00,14.16,14.2,13.75,14.0,1202651
2016-08-23 01:00:00,14.1,14.1299,13.72,13.8,654449
2016-08-24 01:00:00,13.91,13.975,13.6,13.67,591707
2016-08-25 01:00:00,13.74,13.835,13.63,13.67,393963
2016-08-26 01:00:00,13.72,13.92,12.88,13.1,1651251
2016-08-29 01:00:00,13.4,13.89,13.17,13.58,959043
2016-08-30 01:00:00,13.75,14.14,13.6,13.85,887224
2016-08-31 01:00:00,13.86,14.23,13.8,14.19,1062297
2016-09-01 01:00:00,14.24,14.25,13.82,13.88,552507
2016-09-02 01:00:00,13.88,14.1346,13.77,14.04,575289
2016-09-06 01:00:00,14.22,14.78,14.12,14.18,1473610
2016-09-07 01:00:00,14.3,14.49,14.0,14.13,714059
2016-09-08 01:00:00,13.95,14.09,13.5,13.8,655013
2016-09-09 01:00:00,13.7,13.78,13.13,13.22,1255581
2016-09-12 01:00:00,13.06,13.63,13.05,13.56,696585
2016-09-13 01:00:00,13.52,13.55,13.12,13.49,474086
2016-09-14 01:00:00,13.47,13.75,13.39,13.61,364579
2016-09-15 01:00:00,13.61,13.9,13.55,13.67,687121
2016-09-16 01:00:00,13.72,13.93,13.51,13.79,837353
2016-09-19 01:00:00,14.17,14.17,13.61,13.77,763750
2016-09-20 01:00:00,13.91,14.04,13.74,13.96,649228
2016-09-21 01:00:00,14.33,14.74,14.0,14.64,1132336
2016-09-22 01:00:00,14.78,15.86,14.7033,15.62,3075904
2016-09-23 01:00:00,15.79,16.13,15.435,15.59,1397013
2016-09-26 01:00:00,15.48,15.86,15.3011,15.67,1586928
2016-09-27 01:00:00,15.77,16.04,15.34,15.69,2196450
2016-09-28 01:00:00,15.8,15.97,15.471,15.67,1472024
2016-09-29 01:00:00,15.75,16.2,15.66,15.76,1413061
2016-09-30 01:00:00,15.95,15.95,15.51,15.79,1239060
2016-10-03 01:00:00,15.8,16.0,15.45,15.69,674055
2016-10-04 01:00:00,15.68,15.8499,15.13,15.24,1174222
2016-10-05 01:00:00,15.36,15.77,15.1701,15.62,989296
2016-10-06 01:00:00,15.63,15.66,15.1392,15.47,770615
2016-10-07 01:00:00,15.42,15.47,14.96,15.22,814008
2016-10-10 01:00:00,15.64,15.891,15.3,15.73,764388
2016-10-11 01:00:00,15.85,16.0,15.3182,15.54,705867
2016-10-12 01:00:00,15.6,15.94,15.4,15.66,850312
2016-10-13 01:00:00,15.55,15.79,15.36,15.74,581376
2016-10-14 01:00:00,15.9,16.21,15.64,15.88,1081740
2016-10-17 01:00:00,16.08,16.08,15.74,15.95,768756
2016-10-18 01:00:00,16.34,16.87,16.1142,16.64,1866356
2016-10-19 01:00:00,16.75,17.31,16.5087,17.25,2272868
2016-10-20 01:00:00,17.28,17.4799,16.68,17.22,913527
2016-10-21 01:00:00,17.02,17.64,16.98,17.4,1070574
2016-10-24 01:00:00,17.72,17.74,17.17,17.39,1034781
2016-10-25 01:00:00,17.5,17.55,16.94,17.12,1013646
2016-10-26 01:00:00,17.0,17.3,16.62,16.7,662307
2016-10-27 01:00:00,16.71,16.97,16.12,16.33,900155
2016-10-28 01:00:00,16.17,16.69,16.17,16.44,1120415
2016-10-31 01:00:00,16.44,16.5753,15.9,16.06,940613
2016-11-01 01:00:00,16.15,16.25,15.7,15.86,1612049
2016-11-02 01:00:00,15.2,15.64,13.08,13.7,6314864
2016-11-03 01:00:00,13.65,13.97,13.24,13.26,2748158
2016-11-04 01:00:00,13.23,13.85,13.23,13.5,1442128
2016-11-07 02:00:00,14.09,14.88,14.06,14.7,1867325
2016-11-08 02:00:00,14.42,15.27,14.26,15.16,1117173
2016-11-09 02:00:00,14.13,15.62,14.0159,15.4,1575941
2016-11-10 02:00:00,15.98,15.98,14.65,15.4,1141166
2016-11-11 02:00:00,15.37,16.035,15.17,15.95,1026491
2016-11-14 02:00:00,16.85,16.85,15.28,15.49,2044950
2016-11-15 02:00:00,15.92,15.99,15.11,15.16,1281730
2016-11-16 02:00:00,15.74,15.74,15.17,15.28,555767
2016-11-17 02:00:00,15.37,15.9,15.15,15.79,526006
2016-11-18 02:00:00,16.11,16.19,15.7001,15.92,544403
2016-11-21 02:00:00,16.0,16.33,15.77,15.79,1036480
2016-11-22 02:00:00,15.81,16.13,15.765,15.98,727556
2016-11-23 02:00:00,15.86,16.04,15.72,15.97,437348
2016-11-25 02:00:00,15.92,16.062,15.5,15.55,568242
2016-11-28 02:00:00,15.64,15.97,15.5201,15.95,596177
2016-11-29 02:00:00,15.89,16.9699,15.73,16.81,2831428
2016-11-30 02:00:00,16.15,16.9399,15.33,15.98,1937389
2016-12-01 02:00:00,15.9,16.0499,14.71,14.95,1942081
2016-12-02 02:00:00,14.95,15.22,14.57,15.11,1254836
2016-12-05 02:00:00,15.25,15.87,15.15,15.56,1018688
2016-12-06 02:00:00,15.82,15.82,15.41,15.6,560373
2016-12-07 02:00:00,15.6,16.225,15.4,16.2,743382
2016-12-08 02:00:00,16.25,16.7399,16.24,16.38,621359
2016-12-09 02:00:00,16.47,16.69,16.025,16.16,771725
2016-12-12 02:00:00,16.23,16.4899,15.7,15.93,665230
2016-12-13 02:00:00,15.95,16.27,15.61,16.18,944871
2016-12-14 02:00:00,16.2,16.25,15.75,15.82,550299
2016-12-15 02:00:00,15.83,15.925,15.47,15.61,652770
