datetime,open,high,low,close,volume
2010-02-16 02:00:00,4.6,5.12,4.58,5.09,7827769
2010-02-17 02:00:00,5.07,5.2,4.83,4.94,9752540
2010-02-18 02:00:00,5.12,5.14,4.8,5.12,7889436
2010-02-19 02:00:00,4.92,5.25,4.92,5.17,6340573
2010-02-22 02:00:00,5.27,5.27,4.815,4.88,18500859
2010-02-23 02:00:00,4.94,4.94,4.61,4.64,15558280
2010-02-24 02:00:00,4.75,4.87,4.45,4.52,23826760
2010-02-25 02:00:00,4.31,4.59,4.13,4.54,20631521
2010-02-26 02:00:00,4.6,4.66,4.34,4.55,14737635
2010-03-01 02:00:00,4.55,4.76,4.48,4.68,13099912
2010-03-02 02:00:00,4.8,4.845,4.56,4.57,12286579
2010-03-03 02:00:00,4.58,4.79,4.58,4.66,9501041
2010-03-04 02:00:00,4.86,4.86,4.51,4.73,9526515
2010-03-05 02:00:00,4.89,5.0,4.77,4.97,10331985
2010-03-08 02:00:00,4.92,4.99,4.82,4.9,6986291
2010-03-09 02:00:00,4.92,5.2967,4.76,5.2,11990655
2010-03-10 02:00:00,5.05,5.49,5.0,5.45,16531795
2010-03-11 02:00:00,5.36,5.45,5.24,5.38,8798238
2010-03-12 02:00:00,5.37,5.52,5.27,5.47,7423254
2010-03-15 01:00:00,5.48,5.5,5.2,5.38,6733678
2010-03-16 01:00:00,5.37,5.48,5.17,5.28,8323090
2010-03-17 01:00:00,5.34,5.34,5.02,5.12,14226789
2010-03-18 01:00:00,5.16,5.5,5.12,5.46,18478893
2010-03-19 01:00:00,5.43,5.57,5.11,5.19,34974766
2010-03-22 01:00:00,5.15,5.25,5.1,5.17,20275002
2010-03-23 01:00:00,5.15,5.17,4.92,5.0475,14694719
2010-03-24 01:00:00,4.99,5.05,4.83,4.97,23960543
2010-03-25 01:00:00,5.24,5.24,4.91,5.03,16333264
2010-03-26 01:00:00,5.1,5.1,4.76,4.84,10025222
2010-03-29 01:00:00,4.89,4.99,4.84,4.95,9327149
2010-03-30 01:00:00,4.97,5.09,4.91,5.05,9888096
2010-03-31 01:00:00,5.01,5.05,4.8,4.9275,7016714
2010-04-01 01:00:00,4.97,5.09,4.71,4.77,9827460
2010-04-05 01:00:00,4.78,4.88,4.72,4.83,11390263
2010-04-06 01:00:00,4.7,4.76,4.53,4.73,12867791
2010-04-07 01:00:00,4.72,4.86,4.64,4.69,11047678
2010-04-08 01:00:00,4.77,4.79,4.55,4.68,9664348
2010-04-09 01:00:00,4.65,5.1,4.58,5.08,13996674
2010-04-12 01:00:00,5.03,5.23,5.03,5.16,9189043
2010-04-13 01:00:00,5.12,5.16,4.66,4.71,20761143
2010-04-14 01:00:00,4.75,5.13,4.67,5.09,19852017
2010-04-15 01:00:00,4.85,5.17,4.74,4.98,17760868
2010-04-16 01:00:00,4.97,5.04,4.67,4.68,17463412
2010-04-19 01:00:00,4.71,4.87,4.56,4.81,10603553
2010-04-20 01:00:00,4.95,5.13,4.87,5.07,12541158
