datetime,open,high,low,close,volume
2014-01-02 02:00:00,3.98,3.995,3.93,3.965,26009184
2014-01-03 02:00:00,3.9725,3.980025,3.905,3.9175,25933152
2014-01-06 02:00:00,3.9575,4.0,3.92,3.97,40949668
2014-01-07 02:00:00,4.01,4.05,3.98125,4.035,33328680
2014-01-08 02:00:00,4.05,4.11,4.035,4.09,30819920
2014-01-09 02:00:00,4.0275,4.035,3.925,3.9375,29220316
2014-01-10 02:00:00,3.95,3.9775,3.8975,3.9325,21849336
2014-01-13 02:00:00,3.9325,3.95625,3.8325,3.84,24333196
2014-01-14 02:00:00,3.86,3.9675,3.8425,3.96,24182652
2014-01-15 02:00:00,3.9775,4.01625,3.96,4.0025,17504284
2014-01-16 02:00:00,4.0025,4.0225,3.985025,4.015,22065596
2014-01-17 02:00:00,4.015,4.0625,3.9725,3.9975,34040076
2014-01-21 02:00:00,4.0025,4.0375,3.97,4.0125,24607664
2014-01-22 02:00:00,4.02,4.025,3.96,4.0075,33793980
2014-01-23 02:00:00,3.995,4.0375,3.9625,3.9925,18502688
2014-01-24 02:00:00,3.96,3.975,3.89,3.89,24824748
2014-01-27 02:00:00,3.89,3.945,3.8425,3.865,23381240
2014-01-28 02:00:00,3.8575,3.905,3.8425,3.9025,16799404
2014-01-29 02:00:00,3.8875,3.91,3.8625,3.865,15852152
2014-01-30 02:00:00,3.8875,3.9375,3.875,3.93,20289424
2014-01-31 02:00:00,3.875,3.9475,3.8725,3.925,33534640
2014-02-03 02:00:00,3.9525,3.9575,3.8575,3.8725,43172760
2014-02-04 02:00:00,3.87,3.9025,3.85,3.895,28069348
2014-02-05 02:00:00,3.8675,3.88,3.83,3.86,21467728
2014-02-06 02:00:00,3.865,3.92,3.86,3.91,16838164
2014-02-07 02:00:00,3.92,3.9725,3.885,3.9675,15736624
2014-02-10 02:00:00,3.9625,4.0325,3.95875,3.98,32437348
2014-02-11 02:00:00,4.0025,4.0725,3.982525,4.0625,23549092
2014-02-12 02:00:00,4.075,4.2375,4.075,4.2075,74563004
2014-02-13 02:00:00,4.3125,4.365,4.2375,4.34,90289620
2014-02-14 02:00:00,4.3,4.4875,4.2975,4.4775,81769812
2014-02-18 02:00:00,4.48,4.495,4.4375,4.475,42909500
2014-02-19 02:00:00,4.475,4.575,4.455,4.535,45046060
2014-02-20 02:00:00,4.545,4.70375,4.5375,4.695,39809180
2014-02-21 02:00:00,4.6875,4.7475,4.63,4.66,45105304
2014-02-24 02:00:00,4.6925,4.7625,4.6075,4.7275,40325840
2014-02-25 02:00:00,4.7,4.72,4.635,4.685,24252132
2014-02-26 02:00:00,4.675,4.745,4.6625,4.6775,36089744
2014-02-27 02:00:00,4.6775,4.725,4.6125,4.625,38884672
2014-02-28 02:00:00,4.6,4.645,4.5286,4.595,32169072
2014-03-03 02:00:00,4.4925,4.5725,4.4525,4.5725,37594692
2014-03-04 02:00:00,4.595,4.65,4.5875,4.62,26051712
2014-03-05 02:00:00,4.615,4.6625,4.595,4.66,24149392
2014-03-06 02:00:00,4.6675,4.6925,4.5875,4.595,29014372
2014-03-07 02:00:00,4.615,4.6225,4.55375,4.59,26845524
2014-03-10 01:00:00,4.575,4.595,4.5025,4.5225,30089396
2014-03-11 01:00:00,4.545,4.6075,4.53,4.5675,29733908
2014-03-12 01:00:00,4.545,4.6075,4.5275,4.58,23953740
2014-03-13 01:00:00,4.59,4.6075,4.4125,4.435,38517212
2014-03-14 01:00:00,4.39,4.495,4.39,4.455,46004604
2014-03-17 01:00:00,4.4675,4.5,4.45,4.455,29971240
2014-03-18 01:00:00,4.4725,4.59,4.4525,4.56,29390464
2014-03-19 01:00:00,4.5925,4.7275,4.5825,4.63875,36616656
2014-03-20 01:00:00,4.615,4.6825,4.595,4.6425,19180140
2014-03-21 01:00:00,4.6825,4.72,4.61,4.635,56611704
2014-03-24 01:00:00,4.6375,4.675,4.545,4.6125,30609544
2014-03-25 01:00:00,4.6625,4.6675,4.5775,4.6125,30442420
2014-03-26 01:00:00,4.655,4.7425,4.4675,4.5075,55777756
2014-03-27 01:00:00,4.4975,4.535,4.39625,4.4475,54073512
2014-03-28 01:00:00,4.44,4.5025,4.4275,4.475,39882948
2014-03-31 01:00:00,4.4825,4.5225,4.45125,4.4775,27340232
2014-04-01 01:00:00,4.62,4.7175,4.565,4.6625,65632232
2014-04-02 01:00:00,4.6625,4.6725,4.6125,4.6325,23994664
2014-04-03 01:00:00,4.6425,4.79625,4.64,4.6825,59966404
2014-04-04 01:00:00,4.7075,4.735,4.51625,4.5375,36803304
2014-04-07 01:00:00,4.54,4.64,4.515,4.5525,42857628
2014-04-08 01:00:00,4.5525,4.7275,4.545075,4.715,47069368
2014-04-09 01:00:00,4.7375,4.7775,4.6725,4.71,42196768
2014-04-10 01:00:00,4.69,4.755,4.58,4.595,37287520
2014-04-11 01:00:00,4.56,4.63,4.47,4.53,35311164
2014-04-14 01:00:00,4.56,4.5975,4.53,4.58,29018592
2014-04-15 01:00:00,4.585,4.6375,4.54,4.6125,30463684
2014-04-16 01:00:00,4.635,4.64,4.56375,4.6225,23513732
2014-04-17 01:00:00,4.605,4.6825,4.595,4.64,15353300
2014-04-21 01:00:00,4.6425,4.69,4.6125,4.6775,11700340
2014-04-22 01:00:00,4.685,4.7475,4.66,4.7175,25516240
2014-04-23 01:00:00,4.725,4.785,4.7175,4.7725,26158432
2014-04-24 01:00:00,4.805,4.865,4.805,4.815,39150012
2014-04-25 01:00:00,4.805,4.85,4.6725,4.6825,31360048
2014-04-28 01:00:00,4.72,4.745,4.605,4.6625,22678796
2014-04-29 01:00:00,4.68,4.68925,4.62,4.6725,17131976
2014-04-30 01:00:00,4.665,4.67,4.6075,4.615,30577896
2014-05-01 01:00:00,4.6875,4.6975,4.605,4.6425,19810756
2014-05-02 01:00:00,4.665,4.665,4.58,4.6075,15637512
2014-05-05 01:00:00,4.6025,4.6925,4.5975,4.6575,23925828
2014-05-06 01:00:00,4.7025,4.7425,4.55,4.5625,41618968
2014-05-07 01:00:00,4.5625,4.605,4.5175,4.56875,29401760
2014-05-08 01:00:00,4.55,4.6975,4.5275,4.625,43273960
2014-05-09 01:00:00,4.485,4.5275,4.4275,4.5125,53953040
2014-05-12 01:00:00,4.5225,4.655,4.52,4.645,29985412
2014-05-13 01:00:00,4.5825,4.6575,4.555,4.57,22110388
2014-05-14 01:00:00,4.5725,4.59,4.5225,4.525,21432136
2014-05-15 01:00:00,4.515,4.54,4.455,4.5,32591448
2014-05-16 01:00:00,4.465,4.5225,4.465,4.49,28395832
2014-05-19 01:00:00,4.5375,4.66,4.5175,4.635,36008104
2014-05-20 01:00:00,4.615,4.6275,4.5375,4.56,25620020
2014-05-21 01:00:00,4.5775,4.61625,4.53125,4.56,21671100
2014-05-22 01:00:00,4.55,4.605,4.55,4.58,13038352
2014-05-23 01:00:00,4.605,4.645,4.5775,4.6225,18265752
2014-05-27 01:00:00,4.65,4.705,4.635,4.705,20968020
2014-05-28 01:00:00,4.7225,4.775,4.6775,4.745,22471408
2014-05-29 01:00:00,4.7425,4.7825,4.7275,4.7375,17188320
2014-05-30 01:00:00,4.7375,4.7625,4.7125,4.75,23911652
2014-06-02 01:00:00,4.765,4.795,4.695,4.735,18149884
2014-06-03 01:00:00,4.745,4.75,4.6525,4.715,24321036
2014-06-04 01:00:00,4.7025,4.755,4.7,4.72,16123432
2014-06-05 01:00:00,4.7275,4.755,4.7,4.74,18869496
2014-06-06 01:00:00,4.7625,4.8,4.745,4.7575,16105076
2014-06-09 01:00:00,4.7525,4.8075,4.72,4.7625,24745424
2014-06-10 01:00:00,4.745,4.81,4.725,4.7875,21760648
2014-06-11 01:00:00,4.77,4.86125,4.77,4.85,26623092
2014-06-12 01:00:00,4.85,4.9025,4.8075,4.88,33716188
2014-06-13 01:00:00,4.93,4.9325,4.8375,4.885,22785124
2014-06-16 01:00:00,4.8625,4.9025,4.8275,4.87,19861888
2014-06-17 01:00:00,4.875,4.9225,4.85,4.9025,15761412
2014-06-18 01:00:00,4.89,4.92,4.845,4.8975,21553524
2014-06-19 01:00:00,4.8075,4.8325,4.75,4.7845,47459288
2014-06-20 01:00:00,4.7975,4.81375,4.695,4.7325,35314632
2014-06-23 01:00:00,4.67,4.68,4.615,4.6775,41420128
2014-06-24 01:00:00,4.67,4.7075,4.585,4.605,27577920
2014-06-25 01:00:00,4.6175,4.655,4.575,4.6525,21541956
2014-06-26 01:00:00,4.6525,4.655,4.575,4.59,25690684
2014-06-27 01:00:00,4.585,4.6225,4.5575,4.595,30282064
2014-06-30 01:00:00,4.5775,4.6475,4.5775,4.635,18056736
2014-07-01 01:00:00,4.63,4.71375,4.615,4.6875,32118500
2014-07-02 01:00:00,4.67,4.69,4.6425,4.670625,17928384
2014-07-03 01:00:00,4.6275,4.725,4.6275,4.7125,13689024
2014-07-07 01:00:00,4.72,4.7225,4.6675,4.675,12749932
2014-07-08 01:00:00,4.6625,4.6825,4.5925,4.6375,22200140
2014-07-09 01:00:00,4.6775,4.7975,4.6425,4.7775,38767060
2014-07-10 01:00:00,4.6875,4.7725,4.65,4.75125,26630956
2014-07-11 01:00:00,4.7575,4.7775,4.74,4.7625,19121672
2014-07-14 01:00:00,4.7825,4.835,4.765,4.8225,27263468
2014-07-15 01:00:00,4.83,4.855,4.7975,4.8425,39543924
2014-07-16 01:00:00,4.8625,4.9,4.81,4.8375,31972840
2014-07-17 01:00:00,4.7825,4.875,4.7825,4.825,32491680
2014-07-18 01:00:00,4.725,4.7625,4.6025,4.61,56785668
2014-07-21 01:00:00,4.5925,4.67,4.5925,4.6375,24336892
2014-07-22 01:00:00,4.6725,4.6975,4.6075,4.6175,29881680
2014-07-23 01:00:00,4.62,4.6225,4.515,4.52,29735180
2014-07-24 01:00:00,4.545,4.5575,4.495,4.5275,25457732
2014-07-25 01:00:00,4.5125,4.5225,4.44,4.4475,26613468
2014-07-28 01:00:00,4.4675,4.4675,4.35375,4.43,33035396
2014-07-29 01:00:00,4.4325,4.505,4.43,4.445,21797308
2014-07-30 01:00:00,4.4725,4.5325,4.46,4.52,24620292
2014-07-31 01:00:00,4.465,4.5,4.36625,4.375,40191668
2014-08-01 01:00:00,4.375,4.4475,4.36,4.4225,21988240
2014-08-04 01:00:00,4.4175,4.455,4.39,4.4125,24174216
2014-08-05 01:00:00,4.4,4.48,4.3625,4.415,29833736
2014-08-06 01:00:00,4.385,4.465,4.3525,4.41,22345880
2014-08-07 01:00:00,4.4475,4.4875,4.335,4.365,40801380
2014-08-08 01:00:00,4.555,4.775,4.555,4.75,89464324
2014-08-11 01:00:00,4.755,4.775,4.7125,4.725,34462228
2014-08-12 01:00:00,4.7225,4.75,4.6725,4.725,29615136
2014-08-13 01:00:00,4.7325,4.7925,4.7025,4.7525,25659496
2014-08-14 01:00:00,4.77,4.77,4.68,4.7,25599124
2014-08-15 01:00:00,4.715,4.78625,4.67,4.76,36997532
2014-08-18 01:00:00,4.78,4.83,4.7325,4.825,28411580
2014-08-19 01:00:00,4.805,4.8675,4.7875,4.8425,24825996
2014-08-20 01:00:00,4.825,4.8475,4.80125,4.8125,22146984
2014-08-21 01:00:00,4.8,4.825,4.76,4.7675,27279528
2014-08-22 01:00:00,4.7625,4.81,4.7325,4.77,25122328
2014-08-25 01:00:00,4.79,4.8225,4.7675,4.7775,15337816
2014-08-26 01:00:00,4.79,4.8725,4.7725,4.86375,26963832
2014-08-27 01:00:00,4.8325,4.86875,4.8,4.8075,18297344
2014-08-28 01:00:00,4.7975,4.8575,4.7825,4.8475,17970512
2014-08-29 01:00:00,4.865,4.8725,4.8125,4.8625,20795044
2014-09-02 01:00:00,4.875,4.875,4.82875,4.87375,19263532
2014-09-03 01:00:00,4.8975,4.9375,4.8675,4.92125,25945716
2014-09-04 01:00:00,4.9125,5.0375,4.91,5.0075,49183220
2014-09-05 01:00:00,5.0025,5.025,4.96,4.9925,25379584
2014-09-08 01:00:00,4.9875,4.9975,4.9275,4.9475,31928980
2014-09-09 01:00:00,4.925,4.9575,4.88,4.885,19859224
2014-09-10 01:00:00,4.9125,4.92125,4.85625,4.9025,17237740
2014-09-11 01:00:00,4.8675,4.885,4.8,4.8525,25071944
2014-09-12 01:00:00,4.8825,4.8825,4.77375,4.78,26253636
2014-09-15 01:00:00,4.795,4.8025,4.695,4.715,29415608
2014-09-16 01:00:00,4.7025,4.81,4.6875,4.78375,21993908
2014-09-17 01:00:00,4.7725,4.8325,4.75,4.7875,17358404
2014-09-18 01:00:00,4.8175,4.865,4.8025,4.86,21960480
2014-09-19 01:00:00,4.875,4.88,4.7625,4.77,60133696
2014-09-22 01:00:00,4.8675,4.8675,4.7175,4.7225,22146392
2014-09-23 01:00:00,4.6975,4.755,4.68,4.7025,19614416
2014-09-24 01:00:00,4.7,4.745,4.695,4.73,15959844
2014-09-25 01:00:00,4.725,4.7375,4.6175,4.6275,29843976
2014-09-26 01:00:00,4.6425,4.6725,4.6225,4.63625,24118808
2014-09-29 01:00:00,4.6,4.6625,4.5559,4.62875,20854340
2014-09-30 01:00:00,4.61,4.645,4.557525,4.6125,27720520
2014-10-01 01:00:00,4.62,4.6525,4.555,4.5675,35100484
2014-10-02 01:00:00,4.56,4.5825,4.4425,4.5475,28899444
2014-10-03 01:00:00,4.575,4.6375,4.5575,4.5575,23913896
2014-10-06 01:00:00,4.575,4.6125,4.5,4.53,19903108
2014-10-07 01:00:00,4.51,4.55375,4.47625,4.48125,30189756
