datetime,open,high,low,close,volume
2014-01-02 02:00:00,44.7,44.7,43.62,43.92,3772668
2014-01-03 02:00:00,44.11,44.34,43.08,43.56,3634226
2014-01-06 02:00:00,43.93,44.0,42.77,43.12,2579983
2014-01-07 02:00:00,43.29,43.575,42.68,42.97,3207235
2014-01-08 02:00:00,43.15,43.92,42.9,43.83,2239017
2014-01-09 02:00:00,43.95,44.21,42.9,43.06,3616990
2014-01-10 02:00:00,43.32,43.45,42.7,43.0,4832245
2014-01-13 02:00:00,43.06,43.49,42.42,42.94,4311478
2014-01-14 02:00:00,43.21,44.21,43.0,44.12,6310286
2014-01-15 02:00:00,44.64,45.67,44.42,45.39,2820659
2014-01-16 02:00:00,45.54,46.06,45.12,46.0,2141971
2014-01-17 02:00:00,45.85,47.2,45.85,46.72,3245253
2014-01-21 02:00:00,47.75,47.8,46.355,46.66,2398482
2014-01-22 02:00:00,46.62,47.875,46.5,47.85,1876381
2014-01-23 02:00:00,47.32,47.9,47.091,47.85,2816323
2014-01-24 02:00:00,47.79,47.85,45.38,45.58,3633769
2014-01-27 02:00:00,45.93,46.42,45.46,46.0,3347333
2014-01-28 02:00:00,46.0,47.15,45.68,46.69,2218487
2014-01-29 02:00:00,46.75,47.94,46.67,47.26,3643086
2014-01-30 02:00:00,47.76,48.35,47.46,47.85,1695869
2014-01-31 02:00:00,47.5,48.549,47.14,48.35,2619609
2014-02-03 02:00:00,48.63,48.645,45.2172,45.82,3867874
2014-02-04 02:00:00,46.72,47.02,45.7,47.0,2372598
2014-02-05 02:00:00,46.63,47.12,46.2975,47.0,4924690
2014-02-06 02:00:00,47.26,49.88,46.56,49.6,6893918
2014-02-07 02:00:00,49.18,52.06,49.18,52.05,6754683
2014-02-10 02:00:00,51.38,52.4451,51.31,52.24,4084872
2014-02-11 02:00:00,52.42,52.59,51.99,52.08,2586449
2014-02-12 02:00:00,52.08,53.17,52.08,52.63,2734259
2014-02-13 02:00:00,52.2,54.07,52.1,53.62,5198416
2014-02-14 02:00:00,55.0,56.24,54.18,55.6,6879944
2014-02-18 02:00:00,56.0,56.88,55.27,56.79,4098169
2014-02-19 02:00:00,56.93,57.38,56.57,56.79,3591303
2014-02-20 02:00:00,57.1,57.8,56.58,56.74,4482064
2014-02-21 02:00:00,57.16,57.17,55.55,56.151,3420087
2014-02-24 02:00:00,56.44,56.76,55.54,55.55,2983965
2014-02-25 02:00:00,55.92,56.1,55.07,56.02,2730183
2014-02-26 02:00:00,56.1,56.77,55.44,55.55,3704225
2014-02-27 02:00:00,55.75,56.7699,55.44,56.6,2547930
2014-02-28 02:00:00,56.7,56.83,55.8,56.23,2293867
