datetime,open,high,low,close,volume
2014-01-02 02:00:00,52.44,52.5,51.72,52.01,1077979
2014-01-03 02:00:00,52.11,52.54,51.785,52.13,1076446
2014-01-06 02:00:00,53.17,53.67,52.41,52.66,3502134
2014-01-07 02:00:00,52.65,52.87,52.3,52.62,1555475
2014-01-08 02:00:00,52.62,52.74,51.93,52.47,1780806
2014-01-09 02:00:00,52.59,52.74,51.74,52.5,1054496
2014-01-10 02:00:00,52.62,52.7,51.99,52.69,1234158
2014-01-13 02:00:00,52.36,52.77,51.68,51.9,1455477
2014-01-14 02:00:00,51.97,52.235,51.54,52.12,1592803
2014-01-15 02:00:00,52.2,52.815,51.87,52.39,1368870
2014-01-16 02:00:00,52.5,52.7525,52.2,52.75,1130755
2014-01-17 02:00:00,52.68,53.23,52.5,53.03,1700051
2014-01-21 02:00:00,53.33,53.5,52.48,52.85,1205139
2014-01-22 02:00:00,52.88,53.11,52.405,52.48,1099996
2014-01-23 02:00:00,51.85,52.32,51.7,51.75,1719228
2014-01-24 02:00:00,51.44,51.44,49.71,49.74,2461489
2014-01-27 02:00:00,49.57,50.75,49.14,50.05,2091086
2014-01-28 02:00:00,50.09,50.63,49.5465,50.3,1313682
2014-01-29 02:00:00,49.7,50.78,49.38,50.04,1775027
2014-01-30 02:00:00,50.56,51.25,49.852,50.95,2129037
2014-01-31 02:00:00,48.84,50.5,48.6201,49.5,3482067
2014-02-03 02:00:00,49.17,50.998,47.35,47.5,2992114
2014-02-04 02:00:00,47.97,48.86,47.09,48.56,4733689
2014-02-05 02:00:00,49.52,50.47,48.95,50.4,6092212
2014-02-06 02:00:00,50.31,52.34,50.22,52.13,3101628
2014-02-07 02:00:00,52.28,53.08,52.09,52.65,2272537
2014-02-10 02:00:00,52.43,52.58,51.73,51.99,1584766
2014-02-11 02:00:00,51.96,52.97,51.87,52.69,1393083
2014-02-12 02:00:00,52.79,53.24,52.49,52.73,1650325
2014-02-13 02:00:00,52.26,53.4,51.85,53.35,2040405
2014-02-14 02:00:00,52.98,55.165,52.97,55.04,3775646
2014-02-18 02:00:00,55.25,56.29,55.2,55.79,2677907
2014-02-19 02:00:00,55.5,56.09,55.18,55.31,2310491
2014-02-20 02:00:00,55.45,55.79,55.15,55.5,1402644
2014-02-21 02:00:00,58.44,58.59,55.34,55.87,2058482
2014-02-24 02:00:00,56.2,58.86,56.03,57.69,4335421
2014-02-25 02:00:00,57.43,58.32,56.96,58.16,2481513
2014-02-26 02:00:00,58.44,58.63,57.6,57.95,1647797
2014-02-27 02:00:00,58.99,59.0,57.7,58.49,1657256
2014-02-28 02:00:00,58.79,59.96,58.31,59.34,2614772
2014-03-03 02:00:00,58.53,58.96,58.2001,58.58,1819180
2014-03-04 02:00:00,59.4,59.65,58.85,59.41,2480131
2014-03-05 02:00:00,59.38,59.88,58.55,58.81,2018540
2014-03-06 02:00:00,59.19,59.4482,58.876,59.39,1226753
2014-03-07 02:00:00,59.42,59.94,59.12,59.43,1278318
2014-03-10 01:00:00,59.15,59.47,58.57,59.06,993120
2014-03-11 01:00:00,58.65,59.99,58.65,59.28,1456436
2014-03-12 01:00:00,58.89,59.89,58.67,59.85,1488378
2014-03-13 01:00:00,60.13,60.13,58.31,58.8,2170830
2014-03-14 01:00:00,58.49,59.08,58.31,58.5,1796457
2014-03-17 01:00:00,59.17,60.42,59.08,60.01,1695701
2014-03-18 01:00:00,59.98,60.91,59.669,60.75,1707944
2014-03-19 01:00:00,60.53,60.884,59.53,60.19,1591175
2014-03-20 01:00:00,59.74,60.68,59.61,60.445,1076599
2014-03-21 01:00:00,60.65,61.61,60.43,60.89,3210382
2014-03-24 01:00:00,60.86,61.08,59.48,60.13,2017566
2014-03-25 01:00:00,61.94,62.31,60.56,61.15,3014154
2014-03-26 01:00:00,61.32,61.71,60.0,60.02,1760432
2014-03-27 01:00:00,60.02,60.17,59.09,59.42,2137808
2014-03-28 01:00:00,59.63,60.59,59.48,60.06,1501730
2014-03-31 01:00:00,60.53,61.87,60.33,60.94,2602020
2014-04-01 01:00:00,61.5,61.6,60.96,61.31,2322157
2014-04-02 01:00:00,61.52,61.87,61.28,61.77,1697157
2014-04-03 01:00:00,61.64,61.75,60.66,60.91,2120368
2014-04-04 01:00:00,61.61,61.875,58.93,59.23,3352575
2014-04-07 01:00:00,59.25,59.41,58.02,58.355,2081135
2014-04-08 01:00:00,58.31,59.46,58.082,59.07,1799454
2014-04-09 01:00:00,59.54,60.56,59.17,60.19,2059670
2014-04-10 01:00:00,60.1,60.188,58.26,58.46,2522521
2014-04-11 01:00:00,58.38,58.77,57.36,57.63,2430551
2014-04-14 01:00:00,58.15,58.48,57.376,57.79,1950909
2014-04-15 01:00:00,58.0,58.57,56.98,58.05,1560021
2014-04-16 01:00:00,59.07,59.42,58.16,59.18,1391271
2014-04-17 01:00:00,59.04,59.36,58.69,58.88,1332564
2014-04-21 01:00:00,59.03,59.53,58.68,59.39,997914
2014-04-22 01:00:00,59.31,59.75,59.14,59.37,1159457
2014-04-23 01:00:00,59.45,59.79,59.26,59.52,843432
2014-04-24 01:00:00,59.57,60.255,59.57,59.79,1321441
2014-04-25 01:00:00,58.77,59.89,58.77,59.16,1572389
2014-04-28 01:00:00,59.67,60.28,58.3,59.31,2463674
2014-04-29 01:00:00,57.02,58.45,56.54,57.0,4180444
2014-04-30 01:00:00,56.84,57.51,56.32,57.48,3261599
2014-05-01 01:00:00,57.23,57.9334,57.2,57.59,1680608
2014-05-02 01:00:00,57.96,58.02,56.6501,56.79,2212907
2014-05-05 01:00:00,56.16,57.19,56.02,56.88,1973674
2014-05-06 01:00:00,56.58,56.98,56.06,56.24,1267814
2014-05-07 01:00:00,56.47,56.68,55.67,56.38,1218238
2014-05-08 01:00:00,57.01,57.16,55.9,56.5,1654849
2014-05-09 01:00:00,56.52,56.66,55.75,56.07,1608120
2014-05-12 01:00:00,56.59,57.38,56.38,57.32,1240008
2014-05-13 01:00:00,57.22,57.46,56.73,56.89,1282123
2014-05-14 01:00:00,56.75,56.86,55.385,55.6,2030370
2014-05-15 01:00:00,55.5,55.5,53.94,54.71,2496737
2014-05-16 01:00:00,54.84,54.935,53.71,54.88,1553600
2014-05-19 01:00:00,54.87,55.7,54.56,55.65,2254224
2014-05-20 01:00:00,55.32,55.67,54.61,54.91,1882234
2014-05-21 01:00:00,55.18,55.8,55.0,55.68,1327529
2014-05-22 01:00:00,55.57,56.15,55.44,55.83,1082594
2014-05-23 01:00:00,56.07,56.5,55.73,56.45,1074885
2014-05-27 01:00:00,57.09,58.24,56.75,57.52,1716400
2014-05-28 01:00:00,57.52,57.63,57.095,57.36,1202020
2014-05-29 01:00:00,57.36,57.38,56.69,56.92,1537118
2014-05-30 01:00:00,57.09,57.09,56.56,56.86,1203508
2014-06-02 01:00:00,56.87,57.07,56.13,56.7,1090968
