datetime,open,high,low,close,volume
2014-01-02 02:00:00,82.93,82.99,81.82,82.1,3276752
2014-01-03 02:00:00,82.12,82.87,82.12,82.24,3288547
2014-01-06 02:00:00,82.2,82.61,82.08,82.28,3888671
2014-01-07 02:00:00,82.62,83.99,82.61,83.48,6334320
2014-01-08 02:00:00,83.33,83.62,82.8074,83.24,5653400
2014-01-09 02:00:00,83.34,83.39,82.37,82.85,4565939
2014-01-10 02:00:00,83.2,83.64,82.75,83.5,3712915
2014-01-13 02:00:00,83.06,83.57,82.32,82.37,4487238
2014-01-14 02:00:00,82.63,82.86,82.26,82.37,4389269
2014-01-15 02:00:00,82.48,83.195,82.28,82.89,4190224
2014-01-16 02:00:00,82.68,83.17,82.3,82.86,3724717
2014-01-17 02:00:00,82.94,82.9799,82.04,82.2,6281006
2014-01-21 02:00:00,82.21,83.065,82.15,82.92,4790747
2014-01-22 02:00:00,82.83,83.0,82.47,82.85,3920420
2014-01-23 02:00:00,82.85,82.85,81.87,82.43,5429063
2014-01-24 02:00:00,82.07,82.63,81.43,81.43,5920924
2014-01-27 02:00:00,81.43,82.77,81.42,82.06,5814988
2014-01-28 02:00:00,82.39,82.67,81.71,82.32,3867847
2014-01-29 02:00:00,81.87,81.87,80.1,80.22,7545185
2014-01-30 02:00:00,80.62,81.36,80.55,81.08,4589057
2014-01-31 02:00:00,80.2,80.82,79.9,80.36,6729456
2014-02-03 02:00:00,80.35,80.51,78.52,78.57,7076924
2014-02-04 02:00:00,78.97,79.17,78.28,78.82,5431834
2014-02-05 02:00:00,78.57,79.62,78.44,79.42,4829740
2014-02-06 02:00:00,80.19,80.2,78.85,79.39,6115224
2014-02-07 02:00:00,79.68,80.26,79.26,80.22,4578150
2014-02-10 02:00:00,80.17,80.72,80.16,80.6,4742012
2014-02-11 02:00:00,80.48,81.33,80.33,81.25,5077734
2014-02-12 02:00:00,81.48,81.85,80.98,81.49,4471389
2014-02-13 02:00:00,80.77,80.87,78.36,79.69,11205919
2014-02-14 02:00:00,79.76,79.82,78.0599,78.09,13254694
2014-02-18 02:00:00,78.63,78.63,77.78,78.18,9843869
2014-02-19 02:00:00,78.04,78.43,77.01,77.1,10353796
2014-02-20 02:00:00,77.43,78.87,77.37,78.01,9580424
2014-02-21 02:00:00,78.01,78.91,77.9,78.22,7531842
2014-02-24 02:00:00,78.31,79.5915,78.31,78.88,7751126
2014-02-25 02:00:00,79.02,79.75,78.93,79.23,7513012
2014-02-26 02:00:00,79.5,79.88,78.57,78.65,6586262
2014-02-27 02:00:00,78.65,79.46,78.4,79.07,7809766
2014-02-28 02:00:00,79.09,80.4,78.85,80.07,9871334
2014-03-03 02:00:00,79.17,79.71,79.1,79.52,5767278
2014-03-04 02:00:00,79.81,80.925,79.8,80.85,7518090
2014-03-05 02:00:00,80.39,81.47,80.31,81.11,6402186
2014-03-06 02:00:00,81.17,81.44,80.96,81.33,5880029
2014-03-07 02:00:00,81.51,81.63,81.03,81.56,4033468
2014-03-10 01:00:00,81.55,81.83,81.2101,81.73,4313497
2014-03-11 01:00:00,81.84,82.98,81.79,82.81,5850404
2014-03-12 01:00:00,82.2,82.55,81.86,82.15,5674517
2014-03-13 01:00:00,82.21,82.71,81.63,81.8,6119011
2014-03-14 01:00:00,81.73,82.19,80.86,81.0,7766887
2014-03-17 01:00:00,81.47,82.14,81.29,82.05,7762000
2014-03-18 01:00:00,82.02,82.215,81.59,81.95,3488298
2014-03-19 01:00:00,81.98,81.99,81.19,81.37,5106038
2014-03-20 01:00:00,81.36,81.91,81.25,81.86,3241077
2014-03-21 01:00:00,82.22,82.57,81.5,82.14,9206706
2014-03-24 01:00:00,82.325,82.57,81.53,81.89,5253623
2014-03-25 01:00:00,81.9,82.495,81.9,82.4,4170490
2014-03-26 01:00:00,82.57,83.74,82.49,82.87,6392588
2014-03-27 01:00:00,82.85,83.21,82.5,82.54,4352011
2014-03-28 01:00:00,82.7,83.21,82.695,82.95,4078089
2014-03-31 01:00:00,83.74,83.8,83.17,83.5,6620876
2014-04-01 01:00:00,83.07,83.27,82.73,82.88,4676900
2014-04-02 01:00:00,82.82,82.95,82.44,82.73,4919224
2014-04-03 01:00:00,82.92,83.1,82.6,82.91,3369428
2014-04-04 01:00:00,83.17,83.18,82.58,82.59,4404054
2014-04-07 01:00:00,82.37,84.23,82.3,83.91,8976454
2014-04-08 01:00:00,83.93,84.0,83.15,83.47,6552745
2014-04-09 01:00:00,83.47,84.0,83.28,83.91,4926477
2014-04-10 01:00:00,83.85,84.82,83.6,83.62,7673439
2014-04-11 01:00:00,81.99,84.22,81.99,83.15,6703801
2014-04-14 01:00:00,83.57,83.91,83.05,83.55,4617753
2014-04-15 01:00:00,83.97,84.04,83.54,83.96,5673788
2014-04-16 01:00:00,84.42,84.98,84.37,84.77,5578425
2014-04-17 01:00:00,85.9,85.94,84.49,85.55,11168516
2014-04-21 01:00:00,85.21,85.95,85.01,85.91,4889839
2014-04-22 01:00:00,85.83,85.83,85.14,85.14,4483316
2014-04-23 01:00:00,85.27,85.7,85.063,85.41,4805297
2014-04-24 01:00:00,85.38,85.67,85.0,85.52,3749740
2014-04-25 01:00:00,85.46,85.79,85.11,85.25,3749360
2014-04-28 01:00:00,85.54,87.0,85.45,86.82,5978549
2014-04-29 01:00:00,86.93,86.9413,85.76,85.76,4869119
2014-04-30 01:00:00,85.73,86.07,85.43,85.89,4387510
2014-05-01 01:00:00,86.0,86.134,84.945,85.57,3848907
2014-05-02 01:00:00,85.35,85.86,85.1,85.52,3437979
2014-05-05 01:00:00,85.17,86.08,85.14,85.91,2990077
2014-05-06 01:00:00,85.49,85.98,85.32,85.37,3141190
2014-05-07 01:00:00,85.31,87.12,85.31,86.8,5500617
2014-05-08 01:00:00,86.79,87.09,86.42,86.66,3507934
2014-05-09 01:00:00,86.57,87.245,86.42,87.17,3330116
2014-05-12 01:00:00,87.32,87.68,86.63,86.93,3218644
2014-05-13 01:00:00,86.95,87.44,86.81,87.23,2259404
2014-05-14 01:00:00,87.24,87.44,86.78,86.84,2726366
2014-05-15 01:00:00,86.84,86.9,85.69,85.74,3877132
2014-05-16 01:00:00,85.59,86.62,85.57,86.54,3672615
2014-05-19 01:00:00,85.94,86.2,85.45,86.1,4201543
2014-05-20 01:00:00,85.96,86.24,85.36,85.65,4510187
2014-05-21 01:00:00,85.78,86.1461,85.53,86.1,2647076
2014-05-22 01:00:00,86.06,86.1,85.4,85.58,2970589
2014-05-23 01:00:00,85.36,86.05,85.36,85.83,2750733
2014-05-27 01:00:00,85.81,86.63,85.645,86.53,4403590
2014-05-28 01:00:00,86.35,87.16,86.34,87.07,4031007
2014-05-29 01:00:00,86.99,87.84,86.88,87.73,4647284
2014-05-30 01:00:00,87.61,88.48,87.41,88.33,5181053
2014-06-02 01:00:00,88.12,88.39,87.76,87.87,2876121
2014-06-03 01:00:00,87.44,88.24,87.31,88.22,5174666
2014-06-04 01:00:00,87.52,88.05,87.34,87.43,3872433
2014-06-05 01:00:00,87.79,87.92,87.22,87.76,2937780
2014-06-06 01:00:00,87.86,88.07,87.53,87.91,3675394
2014-06-09 01:00:00,87.82,88.325,87.82,88.0,2284090
2014-06-10 01:00:00,87.84,88.72,87.67,88.42,3420577
2014-06-11 01:00:00,88.15,88.5,87.74,87.78,3747601
2014-06-12 01:00:00,87.59,87.71,86.95,87.22,3856222
2014-06-13 01:00:00,87.15,87.36,86.82,87.19,3047461
2014-06-16 01:00:00,86.87,87.74,86.71,87.55,3894528
2014-06-17 01:00:00,87.65,87.97,87.07,87.28,3393090
2014-06-18 01:00:00,87.34,88.97,87.11,88.9,5314413
2014-06-19 01:00:00,88.96,90.1,88.92,90.1,5380438
2014-06-20 01:00:00,90.14,90.24,89.1,89.1,5702448
2014-06-23 01:00:00,89.2,89.26,87.74,88.39,4187739
2014-06-24 01:00:00,88.23,88.57,87.835,88.05,4309683
2014-06-25 01:00:00,87.98,88.72,87.9,88.58,3965262
2014-06-26 01:00:00,89.09,89.14,87.99,88.61,3539347
2014-06-27 01:00:00,88.44,88.92,88.36,88.76,3646143
2014-06-30 01:00:00,88.46,89.5,88.35,89.34,4473412
2014-07-01 01:00:00,89.12,89.28,88.83,89.13,3540986
2014-07-02 01:00:00,89.29,89.69,89.01,89.67,2829646
2014-07-03 01:00:00,89.9,90.14,89.53,90.02,2216760
2014-07-07 01:00:00,89.61,89.94,89.48,89.86,2534638
2014-07-08 01:00:00,90.06,90.079,89.475,89.73,3133783
2014-07-09 01:00:00,89.9,90.1,89.62,89.77,2603283
2014-07-10 01:00:00,89.23,90.22,89.15,90.1,3145616
2014-07-11 01:00:00,89.93,90.2135,89.45,89.85,3655304
2014-07-14 01:00:00,90.2,91.39,90.07,91.08,4500210
2014-07-15 01:00:00,90.31,90.95,90.18,90.34,3959381
2014-07-16 01:00:00,90.63,90.88,90.06,90.5,5125287
2014-07-17 01:00:00,90.15,90.67,89.97,89.99,2823794
2014-07-18 01:00:00,90.13,90.28,89.69,90.09,5273225
2014-07-21 01:00:00,89.62,90.14,89.38,89.91,3024119
2014-07-22 01:00:00,89.61,89.64,89.01,89.17,5304613
2014-07-23 01:00:00,91.26,93.09,90.76,90.82,10958209
2014-07-24 01:00:00,91.62,92.34,91.36,91.91,5614738
2014-07-25 01:00:00,91.98,92.15,91.29,91.55,2925074
2014-07-28 01:00:00,91.55,91.8,90.64,90.97,4653893
2014-07-29 01:00:00,90.91,90.97,90.14,90.14,4268628
2014-07-30 01:00:00,90.49,90.55,88.72,88.91,4254648
