datetime,open,high,low,close,volume
2014-01-02 02:00:00,73.61,73.77,73.255,73.32,10110167
2014-01-03 02:00:00,73.33,73.48,72.44,72.89,7970403
2014-01-06 02:00:00,73.08,73.2,72.55,72.7,7696670
2014-01-07 02:00:00,72.8,73.31,72.6,73.24,5902741
2014-01-08 02:00:00,73.15,73.68,72.68,73.68,8997301
2014-01-09 02:00:00,73.98,74.1,73.68,73.91,9276238
2014-01-10 02:00:00,74.26,74.5,73.17,73.87,8877926
2014-01-13 02:00:00,73.78,74.27,72.83,73.22,8576302
2014-01-14 02:00:00,72.37,73.7,72.37,73.39,9924640
2014-01-15 02:00:00,73.47,74.69,73.4,74.51,10002212
2014-01-16 02:00:00,74.46,74.88,74.01,74.72,10270124
2014-01-17 02:00:00,74.62,74.98,74.43,74.73,12355954
2014-01-21 02:00:00,75.0,75.57,74.86,75.46,8806816
2014-01-22 02:00:00,75.5,75.86,75.12,75.78,7270174
2014-01-23 02:00:00,75.5,75.9,75.16,75.87,8084877
2014-01-24 02:00:00,75.29,75.44,74.06,74.08,12014630
2014-01-27 02:00:00,74.01,74.36,72.74,73.2,12669803
2014-01-28 02:00:00,72.0,73.14,71.75,71.99,18191271
2014-01-29 02:00:00,71.4,72.08,70.98,71.12,16638871
2014-01-30 02:00:00,72.64,73.395,71.97,73.26,17743735
2014-01-31 02:00:00,72.68,74.49,72.62,74.22,15421279
2014-02-03 02:00:00,73.67,73.95,72.93,73.32,15940060
2014-02-04 02:00:00,73.45,73.45,72.275,72.51,11708002
2014-02-05 02:00:00,72.1,72.66,72.03,72.37,10488791
2014-02-06 02:00:00,72.7,73.33,72.324,73.24,8178699
2014-02-07 02:00:00,73.4,74.47,73.2,74.41,9005085
2014-02-10 02:00:00,74.13,74.73,73.8902,74.69,7599653
2014-02-11 02:00:00,74.77,75.73,74.53,75.62,8948317
2014-02-12 02:00:00,75.73,76.65,75.66,76.42,11498577
2014-02-13 02:00:00,76.0,76.75,76.0,76.44,9047172
2014-02-14 02:00:00,76.01,76.42,75.82,76.28,8342325
2014-02-18 02:00:00,76.25,76.25,75.53,75.6,8855041
2014-02-19 02:00:00,75.37,75.985,75.11,75.77,8535909
2014-02-20 02:00:00,75.96,76.2,75.68,75.95,7194165
2014-02-21 02:00:00,76.18,76.545,75.57,75.61,8740159
2014-02-24 02:00:00,75.97,75.99,75.3923,75.43,9191882
2014-02-25 02:00:00,75.61,75.88,74.74,74.91,6999268
2014-02-26 02:00:00,75.15,75.5,74.9,75.05,5551595
2014-02-27 02:00:00,74.89,75.26,74.5,75.19,9465155
2014-02-28 02:00:00,75.41,75.43,74.85,75.29,9451958
2014-03-03 02:00:00,74.6,74.64,73.04,73.63,11401470
2014-03-04 02:00:00,75.69,76.79,75.35,76.11,13528165
2014-03-05 02:00:00,76.44,76.96,75.79,76.67,6786176
2014-03-06 02:00:00,77.0,77.18,76.5411,77.0,7757672
2014-03-07 02:00:00,77.1,77.2,76.44,76.79,7284997
2014-03-10 01:00:00,76.79,77.07,76.55,77.07,7704915
2014-03-11 01:00:00,77.09,77.2,76.58,76.71,8272877
2014-03-12 01:00:00,76.33,77.14,76.31,76.97,6897278
2014-03-13 01:00:00,77.0,77.12,75.385,75.63,8956118
2014-03-14 01:00:00,75.23,75.91,74.5,74.74,10513381
2014-03-17 01:00:00,75.53,77.31,75.53,77.02,13851487
2014-03-18 01:00:00,77.0,77.75,76.9,77.45,7932128
2014-03-19 01:00:00,77.22,77.57,76.415,76.805,7808222
2014-03-20 01:00:00,76.78,78.37,76.7,78.1,10264175
2014-03-21 01:00:00,79.03,79.03,77.51,78.19,27476101
2014-03-24 01:00:00,78.44,78.7,77.31,77.74,11314015
2014-03-25 01:00:00,78.13,78.76,77.99,78.56,8131874
2014-03-26 01:00:00,78.82,79.62,78.31,78.31,14203416
2014-03-27 01:00:00,78.42,79.72,78.31,79.05,10373216
2014-03-28 01:00:00,79.5,79.5,78.1,79.28,8550917
2014-03-31 01:00:00,79.4,79.61,78.81,78.86,7769891
