datetime,open,high,low,close,volume
2010-02-16 02:00:00,33.94,34.38,33.79,34.33,1147157
2010-02-17 02:00:00,34.29,34.54,34.15,34.33,1138750
2010-02-18 02:00:00,34.41,34.48,34.13,34.45,1981255
2010-02-19 02:00:00,34.38,34.98,34.31,34.78,1170162
2010-02-22 02:00:00,34.75,34.75,34.1275,34.22,1840618
2010-02-23 02:00:00,34.31,34.41,33.89,34.38,1803334
2010-02-24 02:00:00,34.33,34.89,34.22,34.89,1749159
2010-02-25 02:00:00,34.41,35.6,34.32,35.44,2432002
2010-02-26 02:00:00,35.59,35.59,33.57,35.36,2250328
2010-03-01 02:00:00,35.69,36.04,35.4,35.54,1257802
2010-03-02 02:00:00,35.49,35.93,35.27,35.42,1701221
2010-03-03 02:00:00,35.5,35.95,35.42,35.65,846748
2010-03-04 02:00:00,35.77,35.98,35.489,35.71,2482824
2010-03-05 02:00:00,35.75,35.98,35.56,35.72,2223311
2010-03-08 02:00:00,35.29,35.95,35.23,35.35,1617931
2010-03-09 02:00:00,35.2,36.45,35.2,36.26,1537491
2010-03-10 02:00:00,36.4,36.92,36.25,36.67,1059070
2010-03-11 02:00:00,36.6,36.71,36.36,36.49,866955
2010-03-12 02:00:00,36.51,36.74,36.23,36.26,1166258
2010-03-15 01:00:00,36.22,36.36,35.28,35.61,2188350
2010-03-16 01:00:00,35.62,36.5,35.5301,36.375,1413803
2010-03-17 01:00:00,36.3,36.5,36.19,36.34,742693
2010-03-18 01:00:00,36.2,36.46,35.72,35.9,1221202
2010-03-19 01:00:00,36.0,36.04,35.23,35.27,1021528
2010-03-22 01:00:00,35.06,36.03,34.86,35.79,980317
2010-03-23 01:00:00,35.69,36.5,35.61,36.3,1558235
2010-03-24 01:00:00,36.07,36.22,35.51,35.69,1043992
2010-03-25 01:00:00,35.9,36.118,34.57,34.81,2673834
2010-03-26 01:00:00,35.04,35.23,34.57,34.83,1906836
2010-03-29 01:00:00,35.19,36.35,35.19,35.63,1833716
2010-03-30 01:00:00,35.79,36.52,35.75,36.25,1360098
2010-03-31 01:00:00,36.29,36.56,36.02,36.07,976199
2010-04-01 01:00:00,36.26,36.95,36.26,36.62,1308529
2010-04-05 01:00:00,36.67,37.03,36.64,36.97,1217255
2010-04-06 01:00:00,36.62,36.97,36.37,36.62,893677
2010-04-07 01:00:00,36.71,36.77,35.59,35.83,1287726
2010-04-08 01:00:00,35.56,36.05,35.56,35.93,1330560
2010-04-09 01:00:00,36.09,36.59,35.97,36.24,1262247
2010-04-12 01:00:00,36.45,36.67,35.69,36.17,2550707
2010-04-13 01:00:00,36.01,36.01,35.12,35.55,2011733
2010-04-14 01:00:00,35.62,35.69,34.91,35.39,1715492
2010-04-15 01:00:00,35.14,35.2,34.77,35.1,1768370
2010-04-16 01:00:00,34.86,35.14,34.45,34.82,1045817
2010-04-19 01:00:00,34.57,34.695,33.529,34.25,2294791
2010-04-20 01:00:00,34.48,35.3,34.26,35.18,1953787
2010-04-21 01:00:00,35.25,35.46,35.055,35.35,1809467
2010-04-22 01:00:00,35.2,35.94,34.75,35.79,1521219
2010-04-23 01:00:00,35.6625,36.1,35.51,35.76,1909991
2010-04-26 01:00:00,35.81,35.99,35.3,35.8,1363033
2010-04-27 01:00:00,35.76,35.91,35.005,35.21,1672061
2010-04-28 01:00:00,35.38,35.58,34.54,34.75,1371051
2010-04-29 01:00:00,35.26,35.63,35.12,35.5,1178775
2010-04-30 01:00:00,35.62,36.1,35.31,35.34,935260
2010-05-03 01:00:00,35.41,35.99,35.32,35.8,1104625
2010-05-04 01:00:00,35.45,35.5,34.15,34.73,2252020
2010-05-05 01:00:00,34.22,34.41,33.21,33.68,2321797
2010-05-06 01:00:00,33.66,33.75,31.01,32.81,3709526
2010-05-07 01:00:00,32.36,32.88,31.65,32.6105,3689646
2010-05-10 01:00:00,34.6,34.62,33.425,33.78,3321254
2010-05-11 01:00:00,33.66,33.85,33.24,33.42,2168379
2010-05-12 01:00:00,33.48,34.18,33.45,34.11,1489671
2010-05-13 01:00:00,34.06,34.65,33.86,34.29,1107333
2010-05-14 01:00:00,34.17,34.2,33.32,33.98,1583783
2010-05-17 01:00:00,33.85,34.45,33.21,33.97,2018517
2010-05-18 01:00:00,34.07,34.32,33.5,33.58,1122364
2010-05-19 01:00:00,33.34,33.54,32.445,32.84,1845884
2010-05-20 01:00:00,32.33,32.5,31.285,31.5425,2588221
2010-05-21 01:00:00,31.21,32.24,31.0,32.03,1745163
2010-05-24 01:00:00,31.83,32.19,31.64,31.66,1000788
2010-05-25 01:00:00,31.02,32.07,30.47,31.9,2433889
2010-05-26 01:00:00,32.27,32.82,32.11,32.33,4374546
2010-05-27 01:00:00,32.88,33.75,32.6,33.74,1395985
2010-05-28 01:00:00,33.68,33.905,32.69,33.03,1299232
2010-06-01 01:00:00,32.86,33.42,32.08,32.1,1231867
2010-06-02 01:00:00,32.13,33.18,32.13,33.18,2321891
2010-06-03 01:00:00,33.0,34.32,32.99,34.3,2504201
2010-06-04 01:00:00,33.63,34.12,32.63,32.79,2374277
2010-06-07 01:00:00,32.79,33.19,32.33,32.44,1256618
2010-06-08 01:00:00,32.45,32.73,31.62,32.26,1474679
2010-06-09 01:00:00,32.42,32.99,32.11,32.2,1039251
2010-06-10 01:00:00,32.73,33.97,32.56,33.97,1522280
2010-06-11 01:00:00,33.66,34.99,33.55,34.96,1639836
2010-06-14 01:00:00,35.01,35.59,34.56,34.6,1116391
2010-06-15 01:00:00,34.78,35.63,34.47,35.59,1354732
2010-06-16 01:00:00,35.39,35.62,35.19,35.37,986072
2010-06-17 01:00:00,35.35,35.61,34.66,35.07,1122683
2010-06-18 01:00:00,34.99,35.37,34.75,35.33,2228789
2010-06-21 01:00:00,35.75,35.94,35.0,35.14,1306358
2010-06-22 01:00:00,35.05,35.58,34.515,34.63,1433170
2010-06-23 01:00:00,34.61,35.15,33.91,35.07,1399627
2010-06-24 01:00:00,34.83,34.95,34.31,34.42,1457759
2010-06-25 01:00:00,34.55,35.1,34.25,34.76,968974
2010-06-28 01:00:00,34.9,35.32,34.822,35.19,1251377
2010-06-29 01:00:00,34.69,34.695,33.85,34.06,1327227
2010-06-30 01:00:00,34.16,34.48,33.88,34.01,1067579
2010-07-01 01:00:00,33.94,34.21,33.12,33.45,1834719
2010-07-02 01:00:00,33.51,33.71,33.06,33.23,598346
2010-07-06 01:00:00,33.71,34.395,33.23,33.5,1936244
2010-07-07 01:00:00,33.81,35.13,33.44,35.12,1800857
2010-07-08 01:00:00,35.35,35.78,35.11,35.67,1523646
2010-07-09 01:00:00,35.72,35.93,35.12,35.35,982502
2010-07-12 01:00:00,35.18,35.47,34.37,34.43,1015708
2010-07-13 01:00:00,34.73,35.13,34.72,34.86,901760
2010-07-14 01:00:00,34.75,35.09,34.45,35.07,1312734
2010-07-15 01:00:00,35.15,35.22,34.62,34.91,1275571
2010-07-16 01:00:00,34.7,34.72,33.93,34.01,1323230
2010-07-19 01:00:00,34.24,34.37,33.81,34.3,695627
2010-07-20 01:00:00,34.42,35.97,34.42,35.9,3813761
2010-07-21 01:00:00,36.08,36.25,35.17,35.48,1193474
2010-07-22 01:00:00,35.75,36.0,35.2,35.81,1353516
2010-07-23 01:00:00,35.53,36.45,35.18,36.42,1052091
2010-07-26 01:00:00,36.44,36.45,35.77,36.04,857425
2010-07-27 01:00:00,36.2,36.4,35.27,35.5,1362088
2010-07-28 01:00:00,35.38,35.87,35.21,35.53,742589
2010-07-29 01:00:00,35.77,35.88,34.58,35.34,1136741
2010-07-30 01:00:00,34.91,36.28,34.73,36.18,1171507
2010-08-02 01:00:00,36.49,37.23,36.21,37.15,1774148
2010-08-03 01:00:00,36.28,37.11,35.91,36.03,2004290
2010-08-04 01:00:00,36.3,36.83,36.27,36.68,1399521
2010-08-05 01:00:00,36.51,36.68,36.09,36.6,1353122
2010-08-06 01:00:00,36.35,36.91,35.6,35.99,1028017
2010-08-09 01:00:00,36.22,36.45,35.89,36.3,604179
2010-08-10 01:00:00,35.86,36.58,35.7,36.4,824447
2010-08-11 01:00:00,35.69,35.94,35.25,35.51,1292960
2010-08-12 01:00:00,35.01,36.025,34.94,35.82,998171
2010-08-13 01:00:00,35.81,36.34,35.7,36.0,775970
2010-08-16 01:00:00,35.73,36.3,35.73,36.19,644819
2010-08-17 01:00:00,36.48,37.22,36.395,36.95,1398976
2010-08-18 01:00:00,37.09,37.32,36.68,36.99,1208385
2010-08-19 01:00:00,36.74,36.89,36.32,36.55,597079
2010-08-20 01:00:00,36.47,36.73,36.06,36.73,691231
2010-08-23 01:00:00,36.84,37.17,35.92,36.78,736316
2010-08-24 01:00:00,36.28,36.65,36.14,36.26,1378936
2010-08-25 01:00:00,35.91,36.88,35.91,36.74,1409063
2010-08-26 01:00:00,36.74,37.08,36.39,36.535,1090217
2010-08-27 01:00:00,36.82,36.99,36.15,36.6,1240413
2010-08-30 01:00:00,36.4,36.75,35.69,35.69,928727
2010-08-31 01:00:00,35.49,36.29,35.45,35.8,1120734
2010-09-01 01:00:00,36.32,36.46,35.91,36.0,1506715
2010-09-02 01:00:00,36.03,36.31,35.95,36.21,1196572
2010-09-03 01:00:00,36.5,36.93,36.2,36.89,1126571
2010-09-07 01:00:00,36.88,37.35,36.58,37.28,874398
2010-09-08 01:00:00,37.2,38.25,37.07,37.75,1678331
2010-09-09 01:00:00,38.23,38.23,37.25,37.57,1031181
2010-09-10 01:00:00,37.74,38.25,37.64,38.14,1519615
2010-09-13 01:00:00,38.38,38.88,38.28,38.58,1116956
2010-09-14 01:00:00,38.65,38.89,38.13,38.2,936619
2010-09-15 01:00:00,37.98,38.52,37.93,38.44,646992
2010-09-16 01:00:00,38.36,38.56,37.6456,37.86,684131
2010-09-17 01:00:00,37.87,38.21,37.64,38.15,539956
2010-09-20 01:00:00,38.33,39.1,38.23,38.98,942121
2010-09-21 01:00:00,39.07,39.395,38.65,39.34,1322250
2010-09-22 01:00:00,39.08,39.6,38.49,38.88,1528183
2010-09-23 01:00:00,38.66,39.24,38.48,38.93,762712
2010-09-24 01:00:00,39.29,39.94,38.96,39.85,953303
2010-09-27 01:00:00,39.81,40.0,39.38,39.4,887572
2010-09-28 01:00:00,39.49,40.02,39.05,39.94,928892
2010-09-29 01:00:00,39.75,40.42,39.5811,40.3,1289262
2010-09-30 01:00:00,40.48,40.6,39.845,40.3,1335440
2010-10-01 01:00:00,40.44,40.6,40.09,40.28,2181659
2010-10-04 01:00:00,40.3,40.75,39.91,40.22,937227
2010-10-05 01:00:00,40.47,41.27,40.4,40.77,1356018
2010-10-06 01:00:00,40.77,40.9,39.97,40.53,1135856
2010-10-07 01:00:00,40.8,40.91,40.0,40.81,1181757
2010-10-08 01:00:00,40.58,40.97,40.08,40.96,1698665
2010-10-11 01:00:00,40.79,41.14,40.65,40.88,1465052
2010-10-12 01:00:00,40.84,40.92,40.38,40.72,891604
2010-10-13 01:00:00,40.96,41.07,40.84,40.93,1176723
2010-10-14 01:00:00,40.74,41.29,40.365,40.54,1259516
2010-10-15 01:00:00,40.7,40.805,39.58,39.89,1186364
2010-10-18 01:00:00,39.75,39.99,39.2,39.49,582479
2010-10-19 01:00:00,39.09,39.53,38.89,39.12,740387
2010-10-20 01:00:00,39.2,39.53,39.04,39.5,1432583
2010-10-21 01:00:00,39.71,39.9,38.37,38.96,1568490
2010-10-22 01:00:00,39.15,39.25,38.8515,39.0,1090790
2010-10-25 01:00:00,39.22,39.42,38.97,39.25,774323
2010-10-26 01:00:00,39.2,39.86,38.92,39.48,940869
2010-10-27 01:00:00,39.43,39.73,38.76,39.2,1951178
2010-10-28 01:00:00,39.42,40.09,39.05,40.04,3076678
2010-10-29 01:00:00,40.4,40.4,38.77,39.26,1676023
2010-11-01 01:00:00,39.52,39.93,39.29,39.4,995049
