datetime,open,high,low,close,volume
2014-01-02 02:00:00,39.9,40.22,39.05,40.18,589262
2014-01-03 02:00:00,40.15,40.56,39.16,39.24,732316
2014-01-06 02:00:00,39.35,39.35,38.35,38.57,1089209
2014-01-07 02:00:00,38.85,40.34,38.85,40.0,817916
2014-01-08 02:00:00,40.15,41.13,39.7,41.04,795062
2014-01-09 02:00:00,41.28,42.1299,40.71,41.35,633312
2014-01-10 02:00:00,41.36,43.0,40.6,42.97,879300
2014-01-13 02:00:00,43.09,44.39,41.071,41.62,1074243
2014-01-14 02:00:00,41.65,43.87,41.51,43.79,715903
2014-01-15 02:00:00,44.0,44.05,42.69,43.89,875041
2014-01-16 02:00:00,43.8,46.46,43.51,46.42,1360631
2014-01-17 02:00:00,47.0,48.36,46.46,47.95,1699017
2014-01-21 02:00:00,48.5,49.45,46.81,47.95,1047898
2014-01-22 02:00:00,47.95,47.98,46.85,47.97,688414
2014-01-23 02:00:00,47.31,47.795,46.45,47.59,765645
2014-01-24 02:00:00,46.91,46.98,45.31,45.45,1189518
2014-01-27 02:00:00,45.21,45.74,42.85,44.94,1036424
2014-01-28 02:00:00,44.98,46.13,44.54,45.19,873093
2014-01-29 02:00:00,44.51,46.02,43.75,45.29,820973
2014-01-30 02:00:00,45.89,46.952,44.98,46.21,1020260
2014-01-31 02:00:00,45.5,45.99,44.82,44.86,860129
2014-02-03 02:00:00,44.76,45.23,43.06,43.3,1538367
2014-02-04 02:00:00,43.71,44.58,43.416,43.9,876674
2014-02-05 02:00:00,43.83,44.23,41.7,42.7,1002888
2014-02-06 02:00:00,42.75,43.13,41.513,41.65,849559
2014-02-07 02:00:00,41.83,43.99,41.75,43.93,576415
2014-02-10 02:00:00,44.02,44.94,43.535,44.83,804933
2014-02-11 02:00:00,44.97,45.98,44.64,45.6,1049886
2014-02-12 02:00:00,47.74,51.97,45.6,50.49,4026294
2014-02-13 02:00:00,49.35,51.13,49.2225,51.05,981717
2014-02-14 02:00:00,50.56,51.51,49.08,50.12,929357
2014-02-18 02:00:00,50.43,52.85,50.35,52.12,1290503
2014-02-19 02:00:00,52.01,52.66,51.1225,51.47,954361
2014-02-20 02:00:00,51.63,53.54,51.15,53.22,1074594
2014-02-21 02:00:00,53.46,55.86,53.26,54.92,1347501
2014-02-24 02:00:00,52.16,54.45,52.12,54.33,1399911
2014-02-25 02:00:00,54.4,55.0,52.55,54.24,1265173
2014-02-26 02:00:00,54.28,54.59,53.31,53.86,772590
2014-02-27 02:00:00,53.97,55.63,53.02,55.14,1029379
2014-02-28 02:00:00,54.55,55.99,51.8,52.59,1293502
2014-03-03 02:00:00,51.79,52.48,51.01,52.27,1154306
2014-03-04 02:00:00,52.8,53.76,52.18,52.99,1227272
2014-03-05 02:00:00,53.02,53.76,52.25,53.37,780380
2014-03-06 02:00:00,53.48,53.69,51.2,51.29,1046485
2014-03-07 02:00:00,51.45,51.9245,50.25,51.78,1306698
2014-03-10 01:00:00,52.36,52.91,50.4,51.61,718461
2014-03-11 01:00:00,51.71,52.7,50.69,51.23,685337
2014-03-12 01:00:00,50.74,52.23,50.5776,52.02,782874
2014-03-13 01:00:00,52.32,52.41,49.42,50.02,1316775
2014-03-14 01:00:00,50.0,51.42,49.06,50.29,655761
2014-03-17 01:00:00,50.78,51.965,50.23,50.79,867888
2014-03-18 01:00:00,50.97,53.569,50.725,53.45,1088439
2014-03-19 01:00:00,53.82,55.46,53.15,53.57,1583165
2014-03-20 01:00:00,53.68,54.165,52.5,53.21,1013572
2014-03-21 01:00:00,53.56,53.9839,50.0,50.19,1823614
2014-03-24 01:00:00,50.17,50.8,46.71,48.379,1497694
2014-03-25 01:00:00,48.5,49.22,45.8,46.97,1692735
2014-03-26 01:00:00,47.25,47.99,45.41,45.97,963426
2014-03-27 01:00:00,45.79,46.865,44.95,46.22,796673
2014-03-28 01:00:00,46.56,46.85,43.6,44.2,1214247
2014-03-31 01:00:00,44.41,46.14,44.41,45.56,921349
2014-04-01 01:00:00,45.71,47.67,45.69,46.79,1057040
2014-04-02 01:00:00,46.78,47.39,43.76,43.91,1535831
2014-04-03 01:00:00,44.05,44.6,41.13,41.81,2208886
2014-04-04 01:00:00,42.28,42.7999,39.28,40.2,1757267
2014-04-07 01:00:00,40.0,41.4005,39.0,40.45,1411658
2014-04-08 01:00:00,40.17,42.1439,39.88,41.09,1668091
2014-04-09 01:00:00,41.19,42.62,41.14,42.27,1326950
2014-04-10 01:00:00,42.43,42.43,38.86,39.37,1287873
2014-04-11 01:00:00,38.34,40.42,36.54,37.17,1843094
2014-04-14 01:00:00,37.78,38.9699,35.89,36.98,886793
2014-04-15 01:00:00,37.14,38.13,34.91,37.02,1413258
2014-04-16 01:00:00,37.25,39.2,36.8001,38.57,1256077
2014-04-17 01:00:00,38.42,40.24,38.0,38.84,1319190
2014-04-21 01:00:00,38.82,39.85,38.38,39.49,762810
2014-04-22 01:00:00,39.8,41.6965,39.71,40.87,1038384
2014-04-23 01:00:00,40.92,41.03,38.99,39.78,809076
2014-04-24 01:00:00,39.99,40.16,37.71,39.33,780793
2014-04-25 01:00:00,39.01,39.7,37.06,37.45,900944
2014-04-28 01:00:00,37.62,38.63,35.865,37.27,753413
2014-04-29 01:00:00,37.29,39.5391,37.051,38.84,775204
2014-04-30 01:00:00,38.66,39.21,37.5,38.49,982273
2014-05-01 01:00:00,38.42,39.22,37.61,38.87,1173328
2014-05-02 01:00:00,37.5,37.5,34.02,34.5,3677578
2014-05-05 01:00:00,34.22,35.55,33.5,35.1,1175743
2014-05-06 01:00:00,35.99,36.16,33.94,34.11,1146833
2014-05-07 01:00:00,34.2,34.51,32.6101,34.21,1005946
2014-05-08 01:00:00,34.02,35.09,33.4,33.69,980224
2014-05-09 01:00:00,33.55,35.46,33.1,35.35,1224263
2014-05-12 01:00:00,36.68,38.5,36.19,36.98,1479972
2014-05-13 01:00:00,36.99,37.15,35.15,35.19,730497
2014-05-14 01:00:00,35.2,36.65,34.65,35.96,753992
2014-05-15 01:00:00,35.2,35.61,33.75,35.16,959250
2014-05-16 01:00:00,35.0,35.125,33.59,34.25,1141526
2014-05-19 01:00:00,34.41,35.2764,34.09,34.36,991317
2014-05-20 01:00:00,34.43,34.43,33.303,33.39,754319
2014-05-21 01:00:00,33.42,34.14,32.63,32.82,1056070
2014-05-22 01:00:00,32.72,34.6,32.55,33.42,1125327
2014-05-23 01:00:00,33.52,34.44,32.35,33.16,889941
2014-05-27 01:00:00,33.36,35.24,33.16,35.16,1337154
2014-05-28 01:00:00,35.5,35.51,34.08,34.43,904744
2014-05-29 01:00:00,34.6,35.17,34.15,34.53,1053944
2014-05-30 01:00:00,34.6,34.66,33.0,33.37,1243769
2014-06-02 01:00:00,33.5,34.7,33.06,34.37,1069165
2014-06-03 01:00:00,34.2,35.72,33.92,35.52,1460549
2014-06-04 01:00:00,35.53,36.48,34.9245,36.41,1010640
2014-06-05 01:00:00,36.9,38.395,36.53,37.59,1211588
2014-06-06 01:00:00,37.62,38.15,37.01,37.46,796565
2014-06-09 01:00:00,37.79,39.29,37.56,38.62,1162179
2014-06-10 01:00:00,39.91,40.5698,39.565,40.08,1484773
2014-06-11 01:00:00,39.84,42.31,39.6,40.12,1688229
