datetime,open,high,low,close,volume
2014-01-02 02:00:00,28.3,28.34,27.2,27.4,3534856
2014-01-03 02:00:00,27.4,27.75,27.4,27.72,1974176
2014-01-06 02:00:00,27.87,27.926,27.35,27.63,2180925
2014-01-07 02:00:00,27.65,28.0,27.61,27.79,1799073
2014-01-08 02:00:00,27.95,28.04,27.755,27.92,2729946
2014-01-09 02:00:00,28.06,28.06,27.53,27.72,2920379
2014-01-10 02:00:00,27.66,27.84,27.4,27.75,1956470
2014-01-13 02:00:00,28.38,29.21,28.14,28.44,4978289
2014-01-14 02:00:00,28.64,29.17,28.61,28.92,2492653
2014-01-15 02:00:00,29.14,29.3,28.9,29.11,2792672
2014-01-16 02:00:00,29.11,29.15,28.375,28.62,6670100
2014-01-17 02:00:00,31.55,31.8,30.27,30.53,13657239
2014-01-21 02:00:00,30.61,31.32,30.56,31.22,6948187
2014-01-22 02:00:00,31.37,31.69,31.319,31.59,4008836
2014-01-23 02:00:00,31.55,31.67,31.02,31.43,3103281
2014-01-24 02:00:00,31.27,31.35,30.655,30.77,3002899
2014-01-27 02:00:00,30.98,31.155,30.22,30.38,3038835
2014-01-28 02:00:00,29.51,30.11,29.02,30.05,6464453
2014-01-29 02:00:00,29.95,30.276,29.61,30.14,4446423
2014-01-30 02:00:00,30.64,30.69,30.15,30.56,1865349
2014-01-31 02:00:00,30.21,30.68,30.2,30.25,1936671
2014-02-03 02:00:00,30.15,30.29,29.285,29.57,4866445
2014-02-04 02:00:00,29.76,29.84,29.34,29.71,2782035
2014-02-05 02:00:00,29.6,30.14,29.25,29.86,2348289
2014-02-06 02:00:00,30.11,30.73,30.0,30.26,2566549
2014-02-07 02:00:00,30.41,30.69,30.345,30.47,1617969
2014-02-10 02:00:00,30.57,31.06,30.5,30.7,2131702
2014-02-11 02:00:00,30.84,31.585,30.66,31.09,3382245
2014-02-12 02:00:00,31.31,32.135,31.3,32.12,3846157
2014-02-13 02:00:00,31.99,32.189,31.75,32.11,2927643
2014-02-14 02:00:00,32.1,32.2,31.83,32.0,1813355
2014-02-18 02:00:00,32.14,32.145,31.57,31.8,2682262
2014-02-19 02:00:00,31.68,31.8,31.27,31.32,2468019
2014-02-20 02:00:00,32.0,33.4,31.9,33.32,8262415
2014-02-21 02:00:00,33.44,33.44,32.69,32.72,3552614
2014-02-24 02:00:00,33.7,34.45,33.3,34.4,7786308
2014-02-25 02:00:00,34.49,34.6,33.58,33.76,4152612
2014-02-26 02:00:00,33.7,35.05,33.7,35.02,4803711
2014-02-27 02:00:00,34.88,35.13,34.5,34.95,3528286
2014-02-28 02:00:00,34.84,35.98,34.83,35.46,5197808
2014-03-03 02:00:00,35.31,36.3,34.86,36.2,5168855
2014-03-04 02:00:00,36.62,36.98,36.08,36.75,5712677
2014-03-05 02:00:00,36.61,36.965,36.54,36.8,2752521
2014-03-06 02:00:00,37.03,37.315,36.8299,37.0,3119122
2014-03-07 02:00:00,37.22,37.24,36.41,36.65,2843498
2014-03-10 01:00:00,36.43,36.95,36.12,36.5,1871986
2014-03-11 01:00:00,36.75,36.77,36.03,36.23,2538653
2014-03-12 01:00:00,36.22,37.48,36.0515,37.32,4157962
2014-03-13 01:00:00,37.43,37.69,36.52,36.83,3270414
2014-03-14 01:00:00,36.6,37.05,36.6,36.68,2514402
2014-03-17 01:00:00,36.82,37.08,36.68,36.88,1963417
2014-03-18 01:00:00,37.2,37.59,36.88,37.49,1714287
2014-03-19 01:00:00,37.42,38.14,37.31,37.69,2169628
2014-03-20 01:00:00,37.69,39.335,37.6,39.27,4667520
2014-03-21 01:00:00,39.22,39.33,37.48,37.55,5640475
2014-03-24 01:00:00,37.84,38.16,37.04,37.38,3035209
2014-03-25 01:00:00,37.81,38.261,37.58,37.72,1975840
2014-03-26 01:00:00,37.88,38.2,36.67,36.74,3192969
2014-03-27 01:00:00,37.42,37.44,36.54,36.91,2440143
2014-03-28 01:00:00,37.14,37.24,36.7775,36.94,1812796
2014-03-31 01:00:00,37.32,37.98,37.3,37.52,2785048
2014-04-01 01:00:00,37.52,37.83,36.94,37.61,3787234
2014-04-02 01:00:00,37.73,37.82,37.13,37.58,2693996
2014-04-03 01:00:00,37.58,38.3,37.44,37.67,2066564
2014-04-04 01:00:00,38.08,38.15,35.77,35.9,3838952
2014-04-07 01:00:00,35.6001,36.47,35.1,35.72,3544654
2014-04-08 01:00:00,35.78,36.38,35.48,36.02,2235906
2014-04-09 01:00:00,36.54,37.05,36.28,36.89,2312380
2014-04-10 01:00:00,36.82,36.97,35.44,35.51,2378207
2014-04-11 01:00:00,34.8,35.76,34.3004,34.9,2377328
2014-04-14 01:00:00,35.23,35.675,34.9,35.33,2351889
2014-04-15 01:00:00,35.36,35.915,34.98,35.76,2958499
2014-04-16 01:00:00,35.92,35.92,34.96,35.81,3119216
2014-04-17 01:00:00,35.57,36.52,35.56,36.08,2833617
2014-04-21 01:00:00,36.53,37.13,36.19,37.02,3951377
2014-04-22 01:00:00,37.21,37.97,36.87,37.96,6631585
2014-04-23 01:00:00,41.5,41.97,40.36,41.5,11148717
2014-04-24 01:00:00,41.63,42.49,41.23,42.16,4799562
2014-04-25 01:00:00,41.51,42.15,41.0,41.46,3114614
2014-04-28 01:00:00,41.9,42.3,40.35,41.38,4050108
2014-04-29 01:00:00,41.63,41.8508,40.97,41.03,3520438
2014-04-30 01:00:00,41.03,41.47,40.86,41.05,3254496
2014-05-01 01:00:00,41.2,41.93,40.95,41.25,2442381
2014-05-02 01:00:00,41.45,41.65,40.91,41.43,1953575
2014-05-05 01:00:00,41.38,42.15,41.01,41.97,2196893
2014-05-06 01:00:00,42.06,42.16,41.27,41.37,2325364
2014-05-07 01:00:00,41.51,41.54,39.95,41.05,3137177
2014-05-08 01:00:00,40.99,42.45,40.6702,41.44,3117955
2014-05-09 01:00:00,41.14,41.49,40.69,41.35,1862706
2014-05-12 01:00:00,41.58,42.97,41.55,42.72,3196714
2014-05-13 01:00:00,43.0,44.17,42.42,42.52,3509529
2014-05-14 01:00:00,42.5,42.6,41.84,41.92,2482165
2014-05-15 01:00:00,41.84,41.99,40.08,40.84,4787559
2014-05-16 01:00:00,40.76,40.87,40.141,40.75,2621110
2014-05-19 01:00:00,40.7,41.54,40.66,41.11,2447902
2014-05-20 01:00:00,41.0,41.075,40.25,40.53,2646638
2014-05-21 01:00:00,40.77,41.39,40.6901,41.26,1865272
2014-05-22 01:00:00,41.53,41.88,41.21,41.24,1911199
2014-05-23 01:00:00,41.23,41.97,40.94,41.79,2126215
2014-05-27 01:00:00,42.18,42.38,41.85,42.175,1909177
2014-05-28 01:00:00,42.32,42.45,41.8,42.24,2506740
2014-05-29 01:00:00,42.41,43.2,42.33,42.91,2733521
2014-05-30 01:00:00,43.0,43.63,42.868,43.31,3096294
2014-06-02 01:00:00,43.91,44.78,42.9,43.07,2506762
2014-06-03 01:00:00,44.65,45.89,44.25,45.65,7168596
2014-06-04 01:00:00,45.5,46.79,45.5,46.76,4015422
2014-06-05 01:00:00,46.84,46.97,46.03,46.48,3104414
2014-06-06 01:00:00,46.69,46.94,46.16,46.81,2775590
2014-06-09 01:00:00,47.06,47.36,46.6,46.69,2906150
2014-06-10 01:00:00,46.71,46.96,45.88,46.88,3484252
2014-06-11 01:00:00,46.98,48.32,46.93,47.81,4093497
2014-06-12 01:00:00,47.63,48.168,46.69,46.92,3414745
2014-06-13 01:00:00,47.2,47.85,47.03,47.19,2360592
2014-06-16 01:00:00,47.05,47.61,46.77,47.37,2527479
2014-06-17 01:00:00,47.24,48.57,47.16,47.947,3381834
2014-06-18 01:00:00,47.88,48.14,47.33,47.53,2010630
2014-06-19 01:00:00,47.57,47.9,46.93,47.48,2137859
2014-06-20 01:00:00,47.66,48.5,47.46,48.34,2892213
2014-06-23 01:00:00,48.86,49.1,47.68,47.89,2608553
2014-06-24 01:00:00,48.04,48.15,46.42,46.81,3670546
2014-06-25 01:00:00,46.8,46.93,45.26,46.79,4192373
2014-06-26 01:00:00,47.13,47.15,45.75,46.36,2553975
2014-06-27 01:00:00,46.16,46.33,45.76,46.06,4653795
2014-06-30 01:00:00,46.29,47.05,46.29,46.96,3070434
2014-07-01 01:00:00,47.27,48.28,47.27,47.73,3675217
2014-07-02 01:00:00,47.55,48.0,47.2337,47.62,1997338
2014-07-03 01:00:00,47.9,48.21,47.59,48.09,1522151
2014-07-07 01:00:00,48.0,48.59,47.31,47.39,2684081
2014-07-08 01:00:00,47.2,47.3799,46.0,47.17,3412843
2014-07-09 01:00:00,47.04,47.79,46.63,47.67,2450494
2014-07-10 01:00:00,46.15,47.26,45.5,46.85,3531075
2014-07-11 01:00:00,46.64,47.35,46.588,47.23,1977148
2014-07-14 01:00:00,47.57,47.86,47.11,47.46,1908114
2014-07-15 01:00:00,47.51,47.75,46.83,47.55,2587995
2014-07-16 01:00:00,47.81,48.2,47.41,47.78,3490544
2014-07-17 01:00:00,47.66,47.87,46.21,46.34,6421808
2014-07-18 01:00:00,50.11,53.45,49.67,52.87,18366515
2014-07-21 01:00:00,52.7,54.5,52.6175,54.24,6952279
2014-07-22 01:00:00,54.3,54.4,53.56,54.22,4442134
2014-07-23 01:00:00,54.24,54.26,53.41,53.45,3669862
2014-07-24 01:00:00,53.4,53.76,52.41,52.65,3867006
2014-07-25 01:00:00,52.68,52.7,51.36,51.44,4108830
2014-07-28 01:00:00,51.67,52.34,50.75,52.18,3611630
2014-07-29 01:00:00,52.26,52.97,52.06,52.14,2960757
2014-07-30 01:00:00,52.41,52.76,51.6801,52.17,2416987
2014-07-31 01:00:00,51.5,51.76,50.27,50.76,3666913
2014-08-01 01:00:00,50.29,52.34,50.27,52.07,3999719
2014-08-04 01:00:00,52.37,52.53,51.4247,52.12,2720376
2014-08-05 01:00:00,51.67,52.204,51.32,51.89,2505464
2014-08-06 01:00:00,51.75,52.49,51.73,52.15,2417052
2014-08-07 01:00:00,52.4,52.75,50.88,51.13,3037512
2014-08-08 01:00:00,51.12,51.35,50.47,51.27,3131870
2014-08-11 01:00:00,51.99,52.72,51.6,52.12,2425577
2014-08-12 01:00:00,52.6,52.655,51.51,52.41,2215899
2014-08-13 01:00:00,52.75,54.05,52.36,54.01,3865534
2014-08-14 01:00:00,54.12,54.311,53.12,53.5,2771597
2014-08-15 01:00:00,53.97,54.88,53.5,54.39,2909570
2014-08-18 01:00:00,54.68,54.78,53.5,54.3,2754939
2014-08-19 01:00:00,54.32,55.64,54.3,55.38,2574483
2014-08-20 01:00:00,55.01,56.08,55.01,55.82,1820355
2014-08-21 01:00:00,55.87,55.99,55.09,55.26,1847778
2014-08-22 01:00:00,55.42,55.45,54.51,55.15,2223057
2014-08-25 01:00:00,55.6,55.66,54.6103,54.76,2225206
2014-08-26 01:00:00,54.87,54.89,53.88,54.7,2335307
2014-08-27 01:00:00,55.02,55.13,53.99,54.86,1858762
2014-08-28 01:00:00,54.49,55.66,54.18,55.54,1843499
2014-08-29 01:00:00,56.12,56.94,56.1,56.66,3071231
2014-09-02 01:00:00,57.16,57.18,56.11,56.29,3327364
2014-09-03 01:00:00,56.32,56.56,54.76,55.49,3586930
2014-09-04 01:00:00,55.65,56.16,54.7,54.94,2595751
2014-09-05 01:00:00,54.9,56.3,54.88,56.28,2561108
2014-09-08 01:00:00,56.3,56.74,56.0,56.52,2193518
2014-09-09 01:00:00,56.59,56.76,55.62,55.625,2341535
2014-09-10 01:00:00,55.63,56.19,54.8,56.01,2099830
2014-09-11 01:00:00,55.55,55.9999,55.19,55.84,1752376
2014-09-12 01:00:00,55.83,55.93,54.82,55.02,2518984
2014-09-15 01:00:00,55.02,55.44,53.71,54.0,3016441
2014-09-16 01:00:00,53.76,55.9,53.53,55.82,3092655
2014-09-17 01:00:00,55.66,56.24,55.36,55.88,2025922
2014-09-18 01:00:00,56.52,57.98,56.245,57.8,3539404
2014-09-19 01:00:00,58.12,58.483,56.6101,57.68,5958880
2014-09-22 01:00:00,57.69,58.44,56.55,56.77,3069997
2014-09-23 01:00:00,56.43,57.33,56.07,56.9,2296594
2014-09-24 01:00:00,57.24,58.87,57.06,58.84,3141755
2014-09-25 01:00:00,58.79,59.25,57.3201,57.515,2998964
2014-09-26 01:00:00,57.89,58.75,57.59,58.41,2435866
2014-09-29 01:00:00,58.11,58.79,57.51,58.53,1825503
2014-09-30 01:00:00,58.64,58.76,57.67,58.05,2621210
2014-10-01 01:00:00,57.69,57.8,52.57,53.31,10660807
2014-10-02 01:00:00,53.68,54.28,51.63,53.62,6320915
2014-10-03 01:00:00,54.24,55.91,54.13,55.25,4518702
2014-10-06 01:00:00,55.89,55.93,53.2,54.095,3781388
2014-10-07 01:00:00,53.6,53.6,52.3,52.41,4429809
2014-10-08 01:00:00,52.36,54.4,51.41,54.26,4041018
2014-10-09 01:00:00,54.03,54.25,52.15,52.23,2926148
2014-10-10 01:00:00,50.1,50.13,44.06,47.01,12384008
2014-10-13 01:00:00,47.43,47.55,45.1,45.32,7259581
2014-10-14 01:00:00,48.29,50.99,47.5,48.91,12935935
2014-10-15 01:00:00,47.55,50.455,47.25,49.605,7577876
2014-10-16 01:00:00,48.38,52.0,48.38,51.525,6961995
2014-10-17 01:00:00,52.75,53.16,50.7,51.06,4906275
2014-10-20 01:00:00,50.89,51.965,50.45,51.86,3536299
2014-10-21 01:00:00,53.32,54.71,53.0,54.7,4658871
2014-10-22 01:00:00,55.0,55.23,53.56,53.69,3353643
2014-10-23 01:00:00,54.5,55.94,54.278,55.34,3934545
2014-10-24 01:00:00,55.14,55.498,54.56,55.04,3007968
2014-10-27 01:00:00,54.64,55.1099,54.21,54.86,2649325
2014-10-28 01:00:00,54.99,55.85,54.66,55.81,3358494
2014-10-29 01:00:00,55.37,57.36,55.37,57.32,3105694
2014-10-30 01:00:00,56.94,57.35,55.31,56.04,3529280
2014-10-31 01:00:00,57.53,58.37,57.4,58.24,3686116
2014-11-03 02:00:00,58.47,60.65,58.26,60.23,5158237
2014-11-04 02:00:00,60.04,60.71,59.5,60.42,3898454
2014-11-05 02:00:00,60.75,61.29,60.0001,60.88,4500870
2014-11-06 02:00:00,61.0,62.34,60.33,62.14,6192206
2014-11-07 02:00:00,62.85,63.39,56.681,59.88,11115819
2014-11-10 02:00:00,60.24,61.54,60.0801,60.97,4277487
2014-11-11 02:00:00,61.0,61.089,60.2416,60.97,2705382
2014-11-12 02:00:00,60.9,61.8,60.76,60.99,3438572
2014-11-13 02:00:00,61.07,61.7399,60.33,60.71,3186167
2014-11-14 02:00:00,60.89,63.2,60.4,62.8,5876406
2014-11-17 02:00:00,62.74,62.95,61.2301,62.15,3711544
2014-11-18 02:00:00,62.2,63.97,62.184,63.9,4050735
2014-11-19 02:00:00,63.85,63.99,62.66,63.81,3144009
2014-11-20 02:00:00,63.2,64.91,62.81,64.66,3036882
2014-11-21 02:00:00,65.14,65.35,64.05,64.36,3148023
2014-11-24 02:00:00,64.68,66.0,64.5,65.73,2686622
2014-11-25 02:00:00,66.38,66.5,64.942,65.47,10064917
2014-11-26 02:00:00,65.68,67.995,65.68,67.9,3950859
2014-11-28 02:00:00,67.9,68.0,67.08,67.47,1774302
2014-12-01 02:00:00,67.26,67.35,64.33,65.77,4437650
2014-12-02 02:00:00,64.84,66.25,64.03,65.8,4766915
2014-12-03 02:00:00,66.02,66.84,65.0351,66.67,3870029
2014-12-04 02:00:00,68.0,70.14,67.22,69.75,6626585
2014-12-05 02:00:00,70.15,71.09,69.336,70.36,3988456
2014-12-08 02:00:00,70.01,70.94,68.14,69.15,3816900
2014-12-09 02:00:00,66.87,69.81,65.63,69.22,3000118
2014-12-10 02:00:00,69.76,70.68,68.31,68.52,3454235
2014-12-11 02:00:00,68.9,71.34,68.76,70.08,3375104
2014-12-12 02:00:00,69.01,70.27,69.01,69.1,2384744
2014-12-15 02:00:00,69.94,70.25,67.7,68.51,3576412
2014-12-16 02:00:00,67.84,69.81,67.27,68.12,2881250
2014-12-17 02:00:00,68.38,70.91,67.5,70.82,2825993
2014-12-18 02:00:00,73.0,73.19,71.85,73.19,3716366
2014-12-19 02:00:00,73.57,73.73,71.5909,72.7,4409197
2014-12-22 02:00:00,72.95,74.82,72.2,74.42,2627142
2014-12-23 02:00:00,74.84,74.97,73.22,73.4,2596746
2014-12-24 02:00:00,73.83,74.55,73.56,74.32,922816
2014-12-26 02:00:00,74.37,74.67,73.94,74.49,1398563
2014-12-29 02:00:00,72.8,73.4,71.06,73.17,3932189
2014-12-30 02:00:00,72.72,73.291,72.6,72.86,1673324
2014-12-31 02:00:00,73.23,74.51,72.7,72.71,2012871
2015-01-02 02:00:00,73.6,73.92,72.12,73.32,2852390
2015-01-05 02:00:00,73.0,73.4,72.05,72.13,2924525
2015-01-06 02:00:00,72.2,72.55,68.71,69.83,4755862
2015-01-07 02:00:00,71.47,71.89,70.31,70.98,2896229
2015-01-08 02:00:00,72.0,74.74,71.75,74.2,3773010
2015-01-09 02:00:00,74.74,74.76,72.51,74.08,2865436
2015-01-12 02:00:00,74.15,74.25,71.605,72.32,2739044
2015-01-13 02:00:00,74.0,74.8,72.1,72.84,3039598
2015-01-14 02:00:00,71.37,72.67,70.6,71.6,3062237
2015-01-15 02:00:00,72.02,72.96,70.81,71.325,2734652
2015-01-16 02:00:00,71.06,74.0,71.03,73.85,3080719
2015-01-20 02:00:00,74.65,75.9,74.47,75.56,3621439
2015-01-21 02:00:00,75.6,77.34,75.02,77.3,3158254
2015-01-22 02:00:00,77.8,79.42,75.57,79.33,6670132
2015-01-23 02:00:00,78.41,82.78,78.26,80.86,7677459
2015-01-26 02:00:00,80.86,82.5,79.65,82.48,3533830
2015-01-27 02:00:00,81.24,82.5,81.11,81.52,3332553
2015-01-28 02:00:00,83.5,83.95,81.65,81.83,4507284
2015-01-29 02:00:00,82.22,84.55,81.4,84.19,4108249
2015-01-30 02:00:00,84.0,84.95,82.95,83.05,3505662
2015-02-02 02:00:00,83.07,83.73,80.15,82.02,4119001
2015-02-03 02:00:00,81.89,82.9,80.72,82.27,2789965
2015-02-04 02:00:00,81.43,82.85,81.38,82.3,2420170
2015-02-05 02:00:00,82.6,82.6,80.52,81.4,3303044
2015-02-06 02:00:00,81.38,83.04,80.69,81.44,2928754
2015-02-09 02:00:00,80.63,80.87,77.2,79.08,5478454
2015-02-10 02:00:00,80.12,81.76,78.86,81.64,3230211
2015-02-11 02:00:00,82.06,82.73,81.2,82.36,2444915
2015-02-12 02:00:00,83.08,83.25,81.46,82.42,2251329
2015-02-13 02:00:00,82.94,82.98,80.84,81.85,2637773
2015-02-17 02:00:00,81.68,82.98,81.45,82.74,1866990
2015-02-18 02:00:00,82.87,82.97,81.91,82.555,1651907
2015-02-19 02:00:00,82.47,83.33,82.19,83.055,1745593
2015-02-20 02:00:00,82.81,84.4,82.81,84.3,2346006
2015-02-23 02:00:00,84.89,86.09,84.15,86.005,3430063
2015-02-24 02:00:00,86.0,88.27,84.9,88.18,3797214
2015-02-25 02:00:00,88.25,88.93,87.28,87.73,3104877
2015-02-26 02:00:00,88.45,89.689,87.32,88.58,3980996
2015-02-27 02:00:00,88.94,89.38,87.32,87.75,2193527
2015-03-02 02:00:00,88.24,91.21,88.12,91.13,3456635
2015-03-03 02:00:00,90.96,91.22,88.61,88.74,4561110
2015-03-04 02:00:00,88.52,90.2,87.65,90.155,2872007
2015-03-05 02:00:00,90.55,91.84,90.28,91.55,3004539
2015-03-06 02:00:00,91.47,91.82,89.82,90.75,3406889
2015-03-09 01:00:00,90.95,92.4288,90.65,92.115,2618306
2015-03-10 01:00:00,92.76,92.99,90.14,91.2,5344368
2015-03-11 01:00:00,92.13,93.35,91.83,92.2,40723116
2015-03-12 01:00:00,92.26,93.16,91.68,92.86,3997980
2015-03-13 01:00:00,92.59,93.48,92.14,92.92,3659191
2015-03-16 01:00:00,93.23,96.86,93.23,96.78,4697585
2015-03-17 01:00:00,96.51,97.45,95.14,97.31,3404141
2015-03-18 01:00:00,96.83,97.7,95.3501,97.12,3710833
2015-03-19 01:00:00,97.7,99.78,97.25,99.57,4131618
2015-03-20 01:00:00,100.14,102.2,99.75,102.05,4122700
2015-03-23 01:00:00,102.25,102.77,101.68,101.76,3600442
2015-03-24 01:00:00,101.94,102.7099,100.36,101.46,3644486
2015-03-25 01:00:00,101.24,101.46,94.02,95.57,10500008
2015-03-26 01:00:00,91.97,93.47,88.25,93.04,13850746
2015-03-27 01:00:00,93.59,99.53,93.55,98.83,9735671
2015-03-30 01:00:00,100.09,101.1,99.11,100.13,4715410
2015-03-31 01:00:00,99.57,100.59,98.02,98.29,3861148
2015-04-01 01:00:00,97.99,98.3,94.77,96.84,4613291
2015-04-02 01:00:00,97.11,97.64,96.01,96.51,3025664
2015-04-06 01:00:00,94.14,96.12,93.61,95.47,3263793
2015-04-07 01:00:00,95.53,97.7,95.25,96.78,3088045
2015-04-08 01:00:00,96.65,97.7,96.0801,97.47,2974678
2015-04-09 01:00:00,97.23,99.94,97.06,99.84,3253064
2015-04-10 01:00:00,99.87,100.43,98.8,99.64,2127956
2015-04-13 01:00:00,99.5,100.5664,98.385,98.58,2450045
2015-04-14 01:00:00,98.24,98.47,94.57,95.64,4966499
2015-04-15 01:00:00,96.7,97.39,95.525,96.23,3041336
2015-04-16 01:00:00,95.55,96.39,95.06,95.68,2606784
2015-04-17 01:00:00,94.76,94.9,93.25,94.28,3517314
2015-04-20 01:00:00,94.99,96.0,94.61,94.93,2304906
2015-04-21 01:00:00,95.79,96.29,94.91,95.42,2075708
2015-04-22 01:00:00,95.79,96.99,94.8,96.83,2454282
2015-04-23 01:00:00,95.46,96.45,95.1,95.815,1914006
2015-04-24 01:00:00,95.74,95.805,92.1,93.385,4133853
2015-04-27 01:00:00,93.81,96.22,93.55,94.55,3831298
2015-04-28 01:00:00,95.28,95.49,90.68,94.545,4526161
2015-04-29 01:00:00,93.26,94.21,92.3,93.59,3534536
2015-04-30 01:00:00,94.15,94.75,91.34,92.25,5306384
2015-05-01 01:00:00,95.84,98.33,94.2,98.295,7376272
2015-05-04 01:00:00,99.3,99.47,97.57,99.11,4707802
2015-05-05 01:00:00,98.49,98.74,94.62,94.63,4777723
2015-05-06 01:00:00,95.19,95.49,92.33,94.57,4255068
2015-05-07 01:00:00,96.0,97.35,95.93,97.07,3199379
2015-05-08 01:00:00,97.87,98.495,97.41,97.71,3028125
2015-05-11 01:00:00,97.74,97.74,96.31,97.16,2035065
2015-05-12 01:00:00,96.33,97.4,95.91,96.79,2022210
2015-05-13 01:00:00,97.05,97.99,96.49,96.65,1618139
2015-05-14 01:00:00,97.46,98.9,96.97,98.48,2222509
2015-05-15 01:00:00,98.71,99.0,97.3099,97.56,2019718
2015-05-18 01:00:00,97.83,103.75,97.67,103.03,6081111
2015-05-19 01:00:00,103.75,105.99,103.32,103.99,5683165
2015-05-20 01:00:00,104.55,105.15,103.1301,103.735,2683905
2015-05-21 01:00:00,104.43,104.49,102.75,103.89,1947029
2015-05-22 01:00:00,104.15,106.83,104.15,104.69,2966789
2015-05-26 01:00:00,104.7,104.77,102.96,103.72,2204121
2015-05-27 01:00:00,104.06,108.71,104.06,108.63,4782231
2015-05-28 01:00:00,108.59,110.3905,106.95,107.65,3731997
2015-05-29 01:00:00,108.57,109.86,107.721,109.36,3632602
2015-06-01 01:00:00,110.38,111.6,109.18,109.45,2943457
2015-06-02 01:00:00,109.55,109.5699,107.65,108.12,2338013
2015-06-03 01:00:00,108.46,108.9,105.34,105.39,3723405
2015-06-04 01:00:00,104.43,106.95,103.61,105.62,3655095
2015-06-05 01:00:00,105.01,106.09,103.67,105.74,3529559
2015-06-08 01:00:00,106.54,106.75,102.2,102.32,3547969
2015-06-09 01:00:00,101.58,102.74,98.07,102.24,6186667
2015-06-10 01:00:00,103.5,105.97,103.28,105.54,3554150
2015-06-11 01:00:00,105.85,106.54,104.93,105.63,2529083
2015-06-12 01:00:00,104.49,105.71,103.98,104.95,1672193
2015-06-15 01:00:00,104.04,106.28,102.84,106.11,2465791
2015-06-16 01:00:00,105.59,107.0,105.25,106.33,1899506
2015-06-17 01:00:00,106.34,107.03,105.555,106.57,1943413
2015-06-18 01:00:00,107.07,110.21,107.07,109.98,3606496
2015-06-19 01:00:00,110.765,112.88,109.43,110.2,4114289
2015-06-22 01:00:00,110.72,112.23,109.54,110.92,2253908
2015-06-23 01:00:00,111.52,111.6,109.03,110.28,1886429
2015-06-24 01:00:00,108.6,109.73,108.07,108.4,1982113
2015-06-25 01:00:00,109.09,110.895,108.551,109.87,1923225
2015-06-26 01:00:00,109.5,109.65,106.13,106.9,4270663
2015-06-29 01:00:00,102.85,105.8,100.33,102.035,6050466
2015-06-30 01:00:00,104.13,105.1,102.6,104.1,3931240
2015-07-01 01:00:00,106.0,106.74,103.6,103.91,2395248
2015-07-02 01:00:00,104.68,105.0,103.42,104.85,1805596
2015-07-06 01:00:00,103.13,104.15,101.25,101.94,2944653
2015-07-07 01:00:00,101.34,101.43,94.21,100.49,8426431
2015-07-08 01:00:00,97.4,98.48,94.7,95.6,7241886
2015-07-09 01:00:00,98.16,98.66,93.27,94.51,6788789
2015-07-10 01:00:00,97.05,101.05,96.51,100.2,5566393
2015-07-13 01:00:00,102.93,103.0,99.5635,100.49,4039731
2015-07-14 01:00:00,101.18,102.4,100.13,102.03,2451058
2015-07-15 01:00:00,102.26,102.37,100.29,100.9,1934583
2015-07-16 01:00:00,101.48,102.53,100.11,102.37,2381550
2015-07-17 01:00:00,102.9,103.32,101.5,102.91,2310056
2015-07-20 01:00:00,104.19,105.41,102.98,103.14,3133802
2015-07-21 01:00:00,103.13,104.14,102.07,103.97,2551790
2015-07-22 01:00:00,97.47,100.13,96.0,99.64,6546728
2015-07-23 01:00:00,102.49,105.0,100.5,103.12,5896534
