datetime,open,high,low,close,volume
2015-12-10 02:00:00,27.67,28.5,26.5,27.68,15009116
2015-12-11 02:00:00,27.85,28.5,27.48,27.5,2286063
2015-12-14 02:00:00,27.5,27.86,26.11,26.26,1227198
2015-12-15 02:00:00,26.39,26.949,26.3,26.5,1086535
2015-12-16 02:00:00,26.75,26.95,26.47,26.54,484321
2015-12-17 02:00:00,26.94,28.18,26.65,28.01,626853
2015-12-18 02:00:00,27.9,28.24,27.66,28.22,945196
2015-12-21 02:00:00,28.84,29.86,28.75,29.35,876897
2015-12-22 02:00:00,30.16,30.74,29.56,30.1,954059
2015-12-23 02:00:00,30.57,30.57,28.35,28.49,1071842
2015-12-24 02:00:00,28.33,28.89,27.51,28.21,470834
2015-12-28 02:00:00,28.28,28.93,28.0,28.9,342620
2015-12-29 02:00:00,29.21,31.31,29.21,31.1,888170
2015-12-30 02:00:00,31.46,31.46,30.0,30.21,297455
2015-12-31 02:00:00,30.22,31.0,29.99,30.08,304976
2016-01-04 02:00:00,28.94,29.03,27.2,27.41,1312092
2016-01-05 02:00:00,27.91,28.0,26.27,26.77,918104
2016-01-06 02:00:00,26.46,27.23,26.02,27.05,618974
2016-01-07 02:00:00,26.55,27.3194,26.46,26.97,661687
2016-01-08 02:00:00,27.06,27.76,26.93,27.17,455987
2016-01-11 02:00:00,27.1,27.5,26.95,27.12,808151
2016-01-12 02:00:00,27.2,27.427,26.64,26.82,808993
2016-01-13 02:00:00,27.0,27.2,26.0,26.73,1231563
2016-01-14 02:00:00,26.68,27.14,25.7501,26.84,485218
2016-01-15 02:00:00,26.04,26.315,24.52,25.19,1183305
2016-01-19 02:00:00,25.3,25.71,23.02,24.02,1739448
2016-01-20 02:00:00,23.21,23.66,21.62,22.63,1944764
2016-01-21 02:00:00,22.72,25.08,22.03,24.24,759622
2016-01-22 02:00:00,25.11,25.325,24.27,24.61,673117
2016-01-25 02:00:00,24.5,24.6358,23.45,23.67,581713
2016-01-26 02:00:00,23.68,24.1999,22.58,24.01,633552
2016-01-27 02:00:00,24.02,24.665,22.13,22.28,427158
2016-01-28 02:00:00,22.72,22.966,20.17,20.39,1331148
2016-01-29 02:00:00,20.99,21.75,20.52,20.77,1261241
2016-02-01 02:00:00,20.69,21.22,20.065,21.17,753789
2016-02-02 02:00:00,21.04,21.82,20.67,21.34,641001
2016-02-03 02:00:00,21.93,24.5,21.12,23.77,550247
2016-02-04 02:00:00,24.0,24.88,23.35,24.0,1618068
2016-02-05 02:00:00,24.0,24.06,17.55,20.19,3629774
2016-02-08 02:00:00,19.88,19.98,16.92,17.92,3170467
2016-02-09 02:00:00,17.85,19.46,17.62,18.92,1934175
2016-02-10 02:00:00,19.04,21.17,19.04,20.06,1251357
2016-02-11 02:00:00,19.41,20.38,19.2,20.35,714633
2016-02-12 02:00:00,20.48,20.9,19.69,20.1,712187
2016-02-16 02:00:00,20.4,23.77,20.4,22.18,1763172
2016-02-17 02:00:00,22.33,23.68,22.32,23.35,976550
2016-02-18 02:00:00,23.24,23.93,21.89,22.0,853212
2016-02-19 02:00:00,21.59,22.68,20.92,22.13,920304
2016-02-22 02:00:00,22.1,22.99,21.9,22.11,623241
2016-02-23 02:00:00,21.88,22.6,21.88,22.51,819811
2016-02-24 02:00:00,22.34,22.67,21.69,22.56,463025
2016-02-25 02:00:00,23.01,23.555,22.37,23.535,418873
2016-02-26 02:00:00,23.47,23.67,22.81,23.3,704355
2016-02-29 02:00:00,23.13,23.99,23.1,23.77,724016
2016-03-01 02:00:00,23.86,24.25,23.16,23.6,619581
2016-03-02 02:00:00,23.45,24.19,23.2324,24.16,516695
2016-03-03 02:00:00,24.04,24.49,22.85,23.0,433643
2016-03-04 02:00:00,23.24,23.3994,22.45,23.02,591227
2016-03-07 02:00:00,22.98,23.87,22.49,23.03,807055
2016-03-08 02:00:00,22.85,23.01,22.29,22.36,305509
2016-03-09 02:00:00,22.55,23.7699,21.58,21.77,544622
2016-03-10 02:00:00,21.8,22.74,21.24,22.22,616015
2016-03-11 02:00:00,22.36,23.57,22.21,22.97,519011
2016-03-14 01:00:00,22.97,23.2,22.5006,22.73,201038
2016-03-15 01:00:00,22.51,23.59,22.3001,23.5,327224
2016-03-16 01:00:00,23.63,24.37,23.41,24.19,528687
2016-03-17 01:00:00,23.98,24.67,23.735,24.42,280843
2016-03-18 01:00:00,24.33,24.65,23.2,23.24,570641
2016-03-21 01:00:00,23.4,24.27,23.07,23.92,317024
2016-03-22 01:00:00,23.77,25.02,23.675,24.69,465650
2016-03-23 01:00:00,24.75,25.07,24.195,24.63,630582
2016-03-24 01:00:00,24.57,24.6,23.28,23.82,700841
2016-03-28 01:00:00,24.0,24.42,23.69,24.01,312281
2016-03-29 01:00:00,23.83,24.238,23.71,24.11,262096
2016-03-30 01:00:00,24.05,24.79,23.68,23.74,455534
2016-03-31 01:00:00,23.68,25.18,23.65,25.15,1731592
2016-04-01 01:00:00,24.85,24.975,23.5,23.69,587439
2016-04-04 01:00:00,23.77,24.15,23.35,24.1,443919
2016-04-05 01:00:00,23.86,24.0,22.76,23.48,407897
2016-04-06 01:00:00,23.44,23.77,23.2,23.55,269296
2016-04-07 01:00:00,23.19,23.5899,22.84,23.06,305245
2016-04-08 01:00:00,23.25,23.62,23.07,23.24,258554
2016-04-11 01:00:00,23.39,23.5125,23.1,23.23,251567
2016-04-12 01:00:00,23.3,23.44,22.95,23.11,372209
2016-04-13 01:00:00,23.27,23.63,23.2353,23.57,378752
2016-04-14 01:00:00,23.57,23.68,22.9,22.94,378174
2016-04-15 01:00:00,22.9,23.19,22.5,22.61,219588
2016-04-18 01:00:00,22.68,23.38,22.51,23.3,343520
2016-04-19 01:00:00,23.41,23.56,23.14,23.4,323779
2016-04-20 01:00:00,23.42,24.01,23.02,23.61,385960
2016-04-21 01:00:00,23.65,24.58,23.65,24.3,559113
2016-04-22 01:00:00,24.3,24.45,23.69,23.82,359115
2016-04-25 01:00:00,23.62,24.3599,23.62,23.91,335995
2016-04-26 01:00:00,24.04,24.28,23.85,24.1,292836
2016-04-27 01:00:00,24.06,24.42,23.48,23.66,615262
2016-04-28 01:00:00,23.69,23.92,23.066,23.19,338002
2016-04-29 01:00:00,23.15,23.4499,22.55,23.17,241211
2016-05-02 01:00:00,23.35,24.21,23.31,24.17,190768
2016-05-03 01:00:00,23.93,23.99,23.05,23.78,317204
2016-05-04 01:00:00,23.61,23.88,22.78,23.28,258165
2016-05-05 01:00:00,23.38,23.49,22.5,23.02,578972
2016-05-06 01:00:00,22.81,23.42,21.1,21.83,1140248
2016-05-09 01:00:00,21.9,22.6,20.9025,21.09,519305
2016-05-10 01:00:00,21.05,22.0,20.51,21.81,657202
2016-05-11 01:00:00,21.64,22.35,21.1,22.01,887592
2016-05-12 01:00:00,21.95,22.13,21.26,21.58,324290
2016-05-13 01:00:00,21.47,22.31,21.47,21.93,275405
2016-05-16 01:00:00,21.75,22.92,21.75,22.03,251670
2016-05-17 01:00:00,21.91,22.23,21.53,21.73,186938
2016-05-18 01:00:00,21.57,22.26,21.5,22.12,343624
2016-05-19 01:00:00,21.91,22.0,21.51,21.8,800092
2016-05-20 01:00:00,21.74,22.75,21.55,22.69,427308
2016-05-23 01:00:00,22.58,22.99,22.29,22.37,567208
2016-05-24 01:00:00,22.5,23.16,22.5,22.82,642247
2016-05-25 01:00:00,22.56,23.24,22.25,23.02,418773
2016-05-26 01:00:00,22.99,23.26,22.66,22.91,292348
2016-05-27 01:00:00,22.71,22.86,22.16,22.78,300828
2016-05-31 01:00:00,22.85,22.87,22.3,22.57,387304
2016-06-01 01:00:00,22.45,23.95,22.45,23.93,506659
2016-06-02 01:00:00,23.96,25.03,23.74,24.95,728410
2016-06-03 01:00:00,24.99,24.99,24.0,24.15,393665
2016-06-06 01:00:00,24.02,24.7174,23.95,24.36,269433
2016-06-07 01:00:00,23.44,24.35,23.31,23.46,3263041
2016-06-08 01:00:00,23.56,24.0,22.97,23.79,1183273
2016-06-09 01:00:00,23.56,24.17,23.4405,23.99,872923
2016-06-10 01:00:00,23.52,23.85,23.23,23.84,749390
2016-06-13 01:00:00,23.55,24.41,23.535,24.35,1263232
2016-06-14 01:00:00,24.09,24.59,23.845,24.52,1047863
2016-06-15 01:00:00,24.78,26.0,24.52,25.99,2122860
2016-06-16 01:00:00,25.54,25.98,24.7175,25.5,1517242
2016-06-17 01:00:00,25.5,25.97,25.19,25.81,593875
2016-06-20 01:00:00,25.98,26.3,25.53,26.26,1117374
2016-06-21 01:00:00,26.0,26.06,25.37,25.99,1710716
2016-06-22 01:00:00,25.89,26.3,25.52,26.19,1246911
2016-06-23 01:00:00,26.04,26.84,25.94,26.78,1183160
2016-06-24 01:00:00,25.5,26.58,25.01,25.9,2872510
2016-06-27 01:00:00,25.5,25.8399,24.94,24.95,3583706
2016-06-28 01:00:00,25.36,25.84,25.035,25.38,1407547
2016-06-29 01:00:00,25.63,26.19,25.35,25.81,1309899
2016-06-30 01:00:00,25.97,26.0,24.89,25.9,1384145
2016-07-01 01:00:00,25.68,25.93,25.39,25.62,805540
2016-07-05 01:00:00,25.3,26.18,25.22,26.17,1317172
2016-07-06 01:00:00,25.84,27.05,25.78,26.97,2231981
2016-07-07 01:00:00,27.0,27.0,26.17,26.58,755481
2016-07-08 01:00:00,26.77,27.09,26.62,26.98,634554
2016-07-11 01:00:00,27.08,27.44,26.81,27.22,729468
2016-07-12 01:00:00,27.11,27.3,26.925,27.3,705277
2016-07-13 01:00:00,27.41,27.98,27.01,27.11,650512
2016-07-14 01:00:00,27.08,27.5,26.94,27.35,801124
2016-07-15 01:00:00,27.58,28.0,27.33,27.4,637281
2016-07-18 01:00:00,27.4,27.46,27.08,27.2,318151
2016-07-19 01:00:00,27.22,27.53,27.12,27.51,426917
2016-07-20 01:00:00,27.73,28.14,27.61,28.02,681405
2016-07-21 01:00:00,27.9,28.04,27.71,27.73,387391
2016-07-22 01:00:00,27.81,28.2,27.72,28.16,260055
2016-07-25 01:00:00,28.2,28.6,28.05,28.4,415907
2016-07-26 01:00:00,28.31,28.74,27.85,28.7,375703
2016-07-27 01:00:00,28.73,29.118,28.58,29.0,551008
2016-07-28 01:00:00,29.23,29.96,29.0,29.74,650552
2016-07-29 01:00:00,29.7,30.0,29.22,29.97,700953
2016-08-01 01:00:00,29.99,29.99,29.25,29.84,735368
2016-08-02 01:00:00,29.96,29.96,29.16,29.33,611669
2016-08-03 01:00:00,29.2,30.0,29.0,29.79,768132
2016-08-04 01:00:00,29.99,30.14,29.9,30.04,1684939
2016-08-05 01:00:00,30.5,32.54,29.75,31.97,2983842
2016-08-08 01:00:00,31.82,31.9,29.9616,30.49,3258489
2016-08-09 01:00:00,30.23,30.85,29.815,30.66,2017704
2016-08-10 01:00:00,30.15,30.37,28.28,29.95,1589145
2016-08-11 01:00:00,29.9,30.33,29.67,29.98,562347
2016-08-12 01:00:00,29.92,30.01,29.45,30.0,547526
2016-08-15 01:00:00,29.85,30.54,29.82,30.33,678548
2016-08-16 01:00:00,30.39,30.47,29.95,29.95,1004845
2016-08-17 01:00:00,29.84,30.31,29.525,29.63,760927
2016-08-18 01:00:00,29.7,30.0,29.64,29.71,362975
2016-08-19 01:00:00,29.59,29.695,28.73,29.42,1031064
2016-08-22 01:00:00,29.2,29.7,28.87,28.97,440151
2016-08-23 01:00:00,28.97,29.32,28.56,28.97,669353
2016-08-24 01:00:00,28.98,29.02,28.59,28.74,403669
2016-08-25 01:00:00,28.47,29.0,28.0,28.93,515345
2016-08-26 01:00:00,28.74,29.066,28.5649,28.94,647735
2016-08-29 01:00:00,28.74,29.26,28.72,29.02,1002018
2016-08-30 01:00:00,29.04,29.72,28.88,29.7,986207
2016-08-31 01:00:00,29.61,29.69,28.66,29.48,972681
2016-09-01 01:00:00,29.3,30.0,29.3,29.97,606922
2016-09-02 01:00:00,30.0,30.24,29.77,30.1,468309
2016-09-06 01:00:00,30.28,30.45,29.89,30.42,650414
2016-09-07 01:00:00,30.34,30.995,30.25,30.64,973078
2016-09-08 01:00:00,30.6,31.1,30.34,30.67,822750
2016-09-09 01:00:00,30.56,30.6,29.35,29.48,621094
2016-09-12 01:00:00,29.25,30.29,28.96,30.23,454312
2016-09-13 01:00:00,29.85,30.08,29.34,29.49,485276
2016-09-14 01:00:00,29.48,30.24,29.29,29.73,300600
2016-09-15 01:00:00,29.73,30.1,29.295,30.01,275896
2016-09-16 01:00:00,29.9,30.17,29.6,30.0,422352
