datetime,open,high,low,close,volume
2011-12-21 02:00:00,26.5,26.5,24.01,24.17,2871800
2011-12-22 02:00:00,23.62,24.1,20.49,21.03,6294064
2011-12-23 02:00:00,21.21,23.64,21.0,22.52,2744280
2011-12-27 02:00:00,21.86,22.6,21.13,22.44,2887314
2011-12-28 02:00:00,21.75,22.48,21.44,22.27,2098539
2011-12-29 02:00:00,22.04,22.16,21.29,21.32,2247268
2011-12-30 02:00:00,21.47,22.05,21.14,21.71,1798396
2012-01-03 02:00:00,22.65,23.85,22.605,23.13,3721786
2012-01-04 02:00:00,22.32,22.59,21.91,22.18,1680917
2012-01-05 02:00:00,21.07,22.32,21.07,22.02,1534670
2012-01-06 02:00:00,22.02,22.52,21.67,22.07,1484711
2012-01-09 02:00:00,22.24,23.27,22.15,22.76,1965244
2012-01-10 02:00:00,23.23,24.74,23.09,24.25,4177497
2012-01-11 02:00:00,23.19,24.72,23.06,24.29,1803258
2012-01-12 02:00:00,25.02,25.67,24.9,24.96,2005567
2012-01-13 02:00:00,24.72,26.27,24.43,26.01,1993345
2012-01-17 02:00:00,26.08,26.3,25.41,25.49,3210091
2012-01-18 02:00:00,25.19,25.93,25.02,25.53,1205137
2012-01-19 02:00:00,25.6,27.385,25.52,26.83,2712854
2012-01-20 02:00:00,26.92,26.99,26.32,26.9,1307550
2012-01-23 02:00:00,27.04,27.29,26.73,26.88,2565392
2012-01-24 02:00:00,26.64,27.25,26.47,27.19,1299072
2012-01-25 02:00:00,27.05,28.83,27.05,27.99,2349256
2012-01-26 02:00:00,27.98,28.44,26.96,27.55,1881489
2012-01-27 02:00:00,26.89,27.96,26.85,27.74,1227465
2012-01-30 02:00:00,27.46,28.34,27.14,28.14,904412
2012-01-31 02:00:00,27.34,29.54,27.34,29.41,1258128
2012-02-01 02:00:00,29.61,31.67,29.58,31.56,3610274
2012-02-02 02:00:00,31.78,32.1,30.33,31.38,2447714
2012-02-03 02:00:00,31.57,32.43,31.57,31.88,2993420
2012-02-06 02:00:00,31.85,32.25,31.56,31.65,1967930
2012-02-07 02:00:00,31.78,31.98,31.32,31.34,2235853
2012-02-08 02:00:00,31.28,31.47,29.52,30.84,3223195
2012-02-09 02:00:00,24.78,26.35,24.49,25.84,12923339
2012-02-10 02:00:00,25.52,27.39,25.15,26.54,3623540
2012-02-13 02:00:00,26.57,26.63,25.0,25.09,2396352
2012-02-14 02:00:00,25.2,25.288,23.429,24.13,4072040
2012-02-15 02:00:00,24.3,26.6,24.02,25.78,4922770
2012-02-16 02:00:00,25.77,27.15,25.23,26.9,2583207
2012-02-17 02:00:00,27.0,27.44,26.45,27.2,1939867
2012-02-21 02:00:00,27.11,27.24,26.62,27.17,2462663
2012-02-22 02:00:00,27.45,27.45,26.35,26.5,3275470
2012-02-23 02:00:00,26.56,27.19,26.06,27.09,2041670
2012-02-24 02:00:00,26.69,28.5,26.69,28.3,1904275
2012-02-27 02:00:00,27.88,28.58,27.64,28.41,1439394
2012-02-28 02:00:00,28.59,29.99,28.5,28.81,2441996
2012-02-29 02:00:00,28.82,28.93,28.17,28.73,1356150
2012-03-01 02:00:00,28.39,29.38,27.59,29.12,2641389
2012-03-02 02:00:00,28.87,29.59,28.54,28.95,1640333
2012-03-05 02:00:00,28.79,28.9099,28.31,28.47,648856
2012-03-06 02:00:00,28.0,28.3,27.3,27.92,1034778
2012-03-07 02:00:00,28.0,28.16,27.41,27.57,1478032
2012-03-08 02:00:00,27.7,28.29,27.64,27.76,1151676
2012-03-09 02:00:00,27.8,27.8499,27.06,27.2,705496
2012-03-12 01:00:00,27.23,27.56,27.0,27.2,1490762
2012-03-13 01:00:00,27.42,27.49,26.75,26.98,2280549
2012-03-14 01:00:00,26.9,27.5,26.73,27.49,1230156
2012-03-15 01:00:00,27.64,29.04,27.425,28.97,2318958
2012-03-16 01:00:00,29.01,31.42,28.49,30.5,4298036
2012-03-19 01:00:00,30.3,30.65,30.3,30.5,855753
2012-03-20 01:00:00,29.96,30.79,29.96,30.59,1064443
2012-03-21 01:00:00,30.67,30.9,29.85,30.27,1317052
2012-03-22 01:00:00,30.01,30.26,29.52,29.75,1047119
2012-03-23 01:00:00,29.51,29.86,29.3108,29.77,531102
2012-03-26 01:00:00,29.81,31.0,29.36,30.8,2182080
2012-03-27 01:00:00,30.8,32.55,30.4,31.79,2897748
2012-03-28 01:00:00,31.65,32.23,30.58,31.07,1842546
2012-03-29 01:00:00,30.75,31.6775,30.42,31.66,1574906
2012-03-30 01:00:00,31.78,33.36,31.77,32.17,3047883
2012-04-02 01:00:00,32.12,34.28,31.54,33.87,3570484
2012-04-03 01:00:00,33.92,34.09,33.04,33.09,1832917
2012-04-04 01:00:00,32.91,33.3,32.3,32.75,1634952
2012-04-05 01:00:00,32.54,33.4325,32.35,32.73,2258925
2012-04-09 01:00:00,32.06,32.33,31.66,32.0,1097171
2012-04-10 01:00:00,31.95,32.06,30.97,31.08,1154033
2012-04-11 01:00:00,31.51,31.9125,31.24,31.285,1014548
2012-04-12 01:00:00,31.34,31.97,31.25,31.6,1290730
2012-04-13 01:00:00,31.56,31.8599,30.89,31.0,559480
2012-04-16 01:00:00,31.13,31.34,30.24,30.33,918892
2012-04-17 01:00:00,30.66,31.68,30.48,31.5,1941364
2012-04-18 01:00:00,31.28,32.1,31.25,31.94,937401
2012-04-19 01:00:00,31.83,32.93,31.66,31.72,1065148
2012-04-20 01:00:00,31.85,32.16,31.44,31.52,1228300
2012-04-23 01:00:00,31.22,31.25,30.25,30.44,3340514
2012-04-24 01:00:00,30.29,30.7,29.73,29.88,927121
2012-04-25 01:00:00,30.23,30.6,30.03,30.19,1181841
2012-04-26 01:00:00,30.24,31.01,29.77,30.88,1978102
2012-04-27 01:00:00,32.74,34.35,32.38,33.37,5911832
2012-04-30 01:00:00,32.96,34.04,32.9,34.01,2465543
2012-05-01 01:00:00,32.88,34.39,32.57,33.03,4908586
2012-05-02 01:00:00,39.75,40.96,38.58,39.13,7645626
2012-05-03 01:00:00,39.13,40.0,36.74,37.4,3523523
2012-05-04 01:00:00,36.49,37.19,36.25,36.7,4765267
2012-05-07 01:00:00,36.3,37.48,36.3,37.47,3029061
2012-05-08 01:00:00,37.19,37.8,35.9,37.7,2288471
2012-05-09 01:00:00,37.04,37.58,36.6,37.18,1071111
2012-05-10 01:00:00,37.69,38.2,36.95,37.29,1546723
2012-05-11 01:00:00,37.07,38.55,37.0,38.23,1494835
2012-05-14 01:00:00,37.9,39.07,37.51,38.14,1306554
2012-05-15 01:00:00,38.31,39.59,37.97,39.15,2558228
2012-05-16 01:00:00,39.43,40.34,39.22,40.14,3112879
2012-05-17 01:00:00,40.19,40.23,37.23,37.53,2521888
2012-05-18 01:00:00,38.07,38.09,36.31,37.16,3278731
2012-05-21 01:00:00,37.37,39.13,36.83,38.67,2208701
