datetime,open,high,low,close,volume
2014-01-02 02:00:00,29.94,30.49538,29.31,30.02,30976775
2014-01-03 02:00:00,30.078,30.438,29.7202,29.912,23494195
2014-01-06 02:00:00,30.0,30.08,29.048,29.4,26836600
2014-01-07 02:00:00,29.55,30.08,29.05,29.872,25209030
2014-01-08 02:00:00,29.781,30.74,29.752,30.256,30833370
2014-01-09 02:00:00,30.5,30.686,29.37,29.506,26944525
2014-01-10 02:00:00,29.692,29.78,28.45,29.14398,37252655
2014-01-13 02:00:00,29.156,29.4,27.564,27.868,31623235
2014-01-14 02:00:00,28.128,32.4,27.3342,32.254,139679140
2014-01-15 02:00:00,33.698,34.446,32.42,32.826,102444905
2014-01-16 02:00:00,32.5,34.54,32.48,34.194,59910495
2014-01-17 02:00:00,34.038,34.64,33.59,34.002,46080140
2014-01-21 02:00:00,34.248,35.458,34.162,35.336,48728825
2014-01-22 02:00:00,35.56,36.0638,34.952,35.712,35183790
2014-01-23 02:00:00,35.5,36.476,34.684,36.3,39497575
2014-01-24 02:00:00,35.57,36.096,34.7062,34.92,38556480
2014-01-27 02:00:00,35.032,35.584,32.942,33.924,43688865
2014-01-28 02:00:00,34.3,35.796,34.2,35.676,30641185
2014-01-29 02:00:00,35.03,35.818,34.6262,35.046,29784085
2014-01-30 02:00:00,35.6,36.956,35.402,36.568,42876050
2014-01-31 02:00:00,35.952,37.2,35.70292,36.282,32564755
2014-02-03 02:00:00,36.578,36.97594,35.032,35.422,33893045
2014-02-04 02:00:00,36.14,36.32,35.24,35.746,23454415
2014-02-05 02:00:00,35.66,36.118,33.872,34.884,36379760
2014-02-06 02:00:00,35.26,36.022,35.2,35.676,29239765
2014-02-07 02:00:00,36.202,37.326,35.92,37.306,44820270
2014-02-10 02:00:00,37.88,39.86,37.864,39.312,64946430
2014-02-11 02:00:00,39.794,40.44,38.54,39.324,53672360
2014-02-12 02:00:00,39.35,39.6538,38.864,39.064,25906565
2014-02-13 02:00:00,38.668,40.544,38.65,39.926,40870245
2014-02-14 02:00:00,39.64,40.376,39.4,39.646,30867310
2014-02-18 02:00:00,41.0488,41.2,40.27202,40.74,46779355
2014-02-19 02:00:00,40.651,40.74,38.682,38.728,82099495
2014-02-20 02:00:00,43.002,43.042,41.254,41.994,90111310
2014-02-21 02:00:00,42.328,42.796,41.838,41.92,39144905
2014-02-24 02:00:00,41.75198,43.672,41.664,43.53,41515665
2014-02-25 02:00:00,46.0,51.84,45.69,49.6,163985000
2014-02-26 02:00:00,51.671,53.0,49.5,50.6,123855970
2014-02-27 02:00:00,52.246,52.38,49.666,50.508,89853535
2014-02-28 02:00:00,49.93,50.536,48.51,48.962,73063465
2014-03-03 02:00:00,47.452,50.33,46.998,50.112,65546515
2014-03-04 02:00:00,51.696,52.0,50.566,50.968,43826960
2014-03-05 02:00:00,51.302,51.398,50.36,50.532,29733680
2014-03-06 02:00:00,50.828,51.5,49.89,50.588,36873595
2014-03-07 02:00:00,50.66,50.97,48.882,49.242,39092325
2014-03-10 01:00:00,48.464,48.6,47.212,47.768,38728755
2014-03-11 01:00:00,47.278,48.92,46.48524,46.882,44181745
2014-03-12 01:00:00,46.238,49.5,46.222,48.298,48819555
2014-03-13 01:00:00,48.758,48.838,46.8,47.558,31181625
