datetime,open,high,low,close,volume
2014-01-02 02:00:00,43.44,43.5,42.88,43.1,6959175
2014-01-03 02:00:00,43.12,43.46,42.97,43.29,4693347
2014-01-06 02:00:00,43.28,43.28,42.845,42.93,4446263
2014-01-07 02:00:00,42.98,43.11,42.64,42.7,5088988
2014-01-08 02:00:00,42.96,43.32,42.62,43.29,6353480
2014-01-09 02:00:00,43.28,43.39,42.9,43.06,3383782
2014-01-10 02:00:00,43.15,43.25,42.74,43.11,5330933
2014-01-13 02:00:00,42.96,43.1,42.12,42.24,6759128
2014-01-14 02:00:00,42.5,43.4,42.35,43.34,6892728
2014-01-15 02:00:00,43.45,43.65,43.1,43.54,6605356
2014-01-16 02:00:00,43.52,43.6,43.24,43.37,4086928
2014-01-17 02:00:00,43.2,43.85,43.01,43.45,6633363
2014-01-21 02:00:00,43.75,43.93,43.37,43.85,7415241
2014-01-22 02:00:00,43.7,44.82,43.55,44.61,9821970
2014-01-23 02:00:00,44.12,44.55,43.95,44.09,8644282
2014-01-24 02:00:00,43.79,44.03,42.88,42.95,10931654
2014-01-27 02:00:00,42.95,43.27,42.5501,42.64,7360043
2014-01-28 02:00:00,42.58,42.93,42.3,42.9,6356112
2014-01-29 02:00:00,42.32,42.75,42.24,42.4,8619628
2014-01-30 02:00:00,42.61,42.93,42.43,42.69,6703513
2014-01-31 02:00:00,41.35,42.65,41.26,42.4,12821700
2014-02-03 02:00:00,42.21,42.5,41.38,41.5,12669572
2014-02-04 02:00:00,41.6,41.7,40.85,40.89,10529912
2014-02-05 02:00:00,40.63,41.13,40.33,40.97,9255551
2014-02-06 02:00:00,41.19,41.435,41.0,41.23,4734540
2014-02-07 02:00:00,41.56,42.0,41.29,41.95,6038013
2014-02-10 02:00:00,41.97,42.37,41.89,42.36,4666623
2014-02-11 02:00:00,42.32,43.29,42.31,43.13,7168723
2014-02-12 02:00:00,43.24,43.44,43.01,43.3,5041235
2014-02-13 02:00:00,43.05,43.75,43.05,43.74,5029095
2014-02-14 02:00:00,43.52,43.94,43.4,43.86,4919231
2014-02-18 02:00:00,43.75,44.07,43.24,44.01,5827720
2014-02-19 02:00:00,43.83,44.15,43.67,43.93,5352463
2014-02-20 02:00:00,43.85,44.26,43.795,44.2,5371067
2014-02-21 02:00:00,44.4045,44.43,44.02,44.15,5669450
2014-02-24 02:00:00,44.22,44.83,44.195,44.45,5311810
2014-02-25 02:00:00,44.49,44.71,44.07,44.47,5319462
