,Balance,pChange,Type
2014-02-13 00:00:00,100000.0,1.0,
2014-03-25 02:00:00,100483.12,0.004831389390464125,BUY
2014-03-26 02:00:00,99838.2,-0.006418306125296591,BUY
2014-03-27 02:00:00,98374.62,-0.014669163545568131,BUY
2014-03-28 02:00:00,97619.84999999999,-0.007672634271099765,BUY
2014-03-31 02:00:00,98507.16999999998,0.009090909090909038,BUY
2014-04-01 02:00:00,101754.30999999998,0.03296703296703307,BUY
2014-04-02 02:00:00,106886.47666666671,0.05044570604630727,BUY
2014-04-03 02:00:00,107133.29666666672,0.0023098498597591277,BUY
2014-04-04 02:00:00,105192.67166666672,-0.018115942028985477,BUY
2014-04-07 02:00:00,105863.8916666667,0.006382361473745268,BUY
2014-04-08 02:00:00,105309.05166666671,-0.005243713502562253,BUY
2014-04-09 02:00:00,103220.0016666667,-0.01983988861816921,BUY
2014-04-10 02:00:00,101905.1216666667,-0.01273885350318471,BUY
2014-04-11 02:00:00,98765.8350000001,-0.03081942705891405,BUY
2014-04-14 02:00:00,97671.91000000009,-0.011075949367088667,BUY
2014-04-15 02:00:00,98592.6500000001,0.0094292803970224,BUY
2014-04-16 02:00:00,99249.7700000001,0.006666666666666821,BUY
2014-04-17 02:00:00,101418.1700000001,0.02184873949579824,BUY
2014-04-21 02:00:00,101475.8300000001,0.0005688282138793799,BUY
2014-04-22 02:00:00,104222.8300000001,0.027101367203300697,BUY
2014-04-23 02:00:00,92278.78358133337,-0.11460234142489722,BUY
2014-04-24 02:00:00,91634.69358133337,-0.006979915989731134,BUY
2014-04-25 02:00:00,91903.77358133337,0.002937473772555599,BUY
2014-04-28 02:00:00,91511.23358133336,-0.004271222637480032,BUY
2014-04-29 02:00:00,92384.38358133334,0.009541984732824416,BUY
2014-04-30 02:00:00,93161.98358133333,0.008421052631578885,BUY
2014-05-01 02:00:00,95714.62358133333,0.027405081358835348,BUY
2014-05-02 02:00:00,97707.82358133334,0.020830459373706756,BUY
2014-05-05 02:00:00,97864.42358133334,0.001603077909586359,BUY
2014-05-06 02:00:00,96777.78358133334,-0.01110748121528915,BUY
2014-05-07 02:00:00,96274.90358133333,-0.00519649236765185,BUY
2014-05-08 02:00:00,95465.62358133333,-0.008407409029207003,BUY
2014-05-09 02:00:00,95158.27358133334,-0.00321957501609782,BUY
2014-05-12 02:00:00,96093.97358133334,0.009836065573770592,BUY
2014-05-13 02:00:00,96718.19358133335,0.006497175141243039,BUY
2014-05-14 02:00:00,95964.35358133336,-0.0077955825032481885,BUY
2014-05-15 02:00:00,95016.53691466665,-0.009877384196185779,BUY
2014-05-16 02:00:00,92481.68331466665,-0.02669087340529941,BUY
2014-05-19 02:00:00,94409.54331466665,0.020852221214868516,BUY
2014-05-20 02:00:00,94298.54331466665,-0.0011760094080752737,BUY
2014-05-21 02:00:00,95745.54331466665,0.015346838551258513,BUY
2014-05-22 02:00:00,96126.03331466664,0.003976382696710523,BUY
2014-05-23 02:00:00,96630.27331466664,0.0052459016393442415,BUY
2014-05-27 02:00:00,110426.36331466663,0.14278606965174112,BUY
2014-05-28 02:00:00,119127.03331466664,0.07879843273835441,BUY
2014-05-29 02:00:00,119004.53331466664,-0.0010283833813244936,BUY
2014-05-30 02:00:00,120847.87331466663,0.015491100856954487,BUY
2014-06-02 02:00:00,120873.59331466664,0.00021285653469571564,BUY
2014-06-03 02:00:00,121936.47331466663,0.008793969849246075,BUY
2014-06-04 02:00:00,121766.73331466662,-0.0013921113689095987,BUY
2014-06-05 02:00:00,122060.94331466663,0.0024162927166033743,BUY
2014-06-06 02:00:00,124360.64331466664,0.01885218036282721,BUY
2014-06-09 02:00:00,125475.16331466666,0.008967427139654482,BUY
2014-06-10 02:00:00,126324.74331466667,0.0067717233086515005,BUY
2014-06-11 02:00:00,125538.32331466669,-0.00622596594030389,BUY
2014-06-12 02:00:00,123150.8433146667,-0.01902097902097899,BUY
2014-06-13 02:00:00,154790.82125766668,0.25697963284206016,BUY
2014-06-16 02:00:00,153620.64125766666,-0.007560907308877152,BUY
2014-06-17 02:00:00,150806.40125766667,-0.018325387365911827,BUY
2014-06-18 02:00:00,152379.9812576667,0.010435225248154767,BUY
2014-06-19 02:00:00,151827.18125766667,-0.0036277888626882193,BUY
2014-06-20 02:00:00,153130.38125766668,0.008585226256483613,BUY
2014-06-23 02:00:00,152947.9412576667,-0.0011915400655346797,BUY
2014-06-24 02:00:00,151374.9412576667,-0.010288065843621408,BUY
2014-06-25 02:00:00,151623.26125766672,0.001640689089417613,BUY
2014-06-26 02:00:00,153566.76125766672,0.012824802051968343,BUY
2014-06-27 02:00:00,153040.29125766674,-0.0034284862487886647,BUY
2014-06-30 02:00:00,153197.19125766674,0.001025430680886119,BUY
2014-07-01 02:00:00,154424.19625766674,0.008010432190760142,BUY
2014-07-02 02:00:00,149623.44625766677,-0.031092436974789917,BUY
2014-07-03 02:00:00,146011.16625766677,-0.02414669571532313,BUY
2014-07-07 02:00:00,146699.88625766675,0.004716981132075304,BUY
2014-07-08 02:00:00,145755.27325766673,-0.0064396465488497645,BUY
2014-07-09 02:00:00,146422.27325766673,0.004578936890304641,BUY
2014-07-10 02:00:00,144485.87325766674,-0.013234821715387146,BUY
2014-07-11 02:00:00,144771.33529666674,0.001975740897544487,BUY
2014-07-14 02:00:00,145298.85529666676,0.0036439354502864063,BUY
2014-07-15 02:00:00,146077.95529666677,0.005362614913176689,BUY
2014-07-16 02:00:00,148241.1652966668,0.01480959097320178,BUY
2014-07-17 02:00:00,144177.0652966668,-0.02741702741702734,BUY
2014-07-18 02:00:00,143555.30319666682,-0.004312590448625198,BUY
2014-07-21 02:00:00,144411.62569666683,0.005965292841648484,BUY
2014-07-22 02:00:00,143949.34569666686,-0.0032014635261832236,BUY
2014-07-23 02:00:00,146093.58569666685,0.014899277841124992,BUY
2014-07-24 02:00:00,149795.98569666684,0.02534497269794067,BUY
2014-07-25 02:00:00,147976.30569666685,-0.012148823082763771,BUY
2014-07-28 02:00:00,146334.70569666688,-0.011110768186166964,BUY
2014-07-29 02:00:00,144835.5856966669,-0.01024702653247933,BUY
2014-07-30 02:00:00,145826.18569666691,0.006842105263157983,BUY
