,Type,Ticker,Price,Volume,Datetime
2014-03-24 02:00:00,BUY,ATVI,20.491,4880,2014-03-24 02:00:00
2014-03-25 02:00:00,BUY,ROST,35.835,2804,2014-03-25 02:00:00
2014-03-26 02:00:00,BUY,MELI,96.12,1038,2014-03-26 02:00:00
2014-03-27 02:00:00,BUY,AMD,3.91,25159,2014-03-27 02:00:00
2014-03-28 02:00:00,BUY,CDNS,15.4,6338,2014-03-28 02:00:00
2014-03-31 02:00:00,BUY,MU,23.66,4163,2014-03-31 02:00:00
2014-04-01 02:00:00,BUY,ISRG,54.8444433333333,1855,2014-04-01 02:00:00
2014-04-02 02:00:00,BUY,VRSK,60.61,1763,2014-04-02 02:00:00
2014-04-03 02:00:00,BUY,IDXX,62.1,1725,2014-04-03 02:00:00
2014-04-04 02:00:00,BUY,EXC,34.47,3051,2014-04-04 02:00:00
2014-04-07 02:00:00,BUY,PEP,83.91,1261,2014-04-07 02:00:00
2014-04-08 02:00:00,BUY,EA,28.73,3665,2014-04-08 02:00:00
2014-04-09 02:00:00,BUY,SIRI,3.14,32872,2014-04-09 02:00:00
2014-04-10 02:00:00,BUY,ISRG,50.40111,2021,2014-04-10 02:00:00
2014-04-11 02:00:00,BUY,SIRI,3.16,31255,2014-04-11 02:00:00
2014-04-14 02:00:00,BUY,PAYX,40.3,2423,2014-04-14 02:00:00
2014-04-15 02:00:00,BUY,EXC,36.0,2738,2014-04-15 02:00:00
2014-04-16 02:00:00,BUY,TMUS,29.75,3336,2014-04-16 02:00:00
2014-04-17 02:00:00,BUY,LRCX,52.74,1922,2014-04-17 02:00:00
2014-04-21 02:00:00,BUY,CHTR,123.61,820,2014-04-21 02:00:00
2014-04-22 02:00:00,BUY,ISRG,46.9255566666667,2221,2014-04-22 02:00:00
2014-04-23 02:00:00,BUY,ISRG,41.547778,2221,2014-04-23 02:00:00
2014-04-24 02:00:00,BUY,XLNX,47.66,1922,2014-04-24 02:00:00
2014-04-25 02:00:00,BUY,NVDA,4.6825,19627,2014-04-25 02:00:00
2014-04-28 02:00:00,BUY,MRVL,15.72,5821,2014-04-28 02:00:00
2014-04-29 02:00:00,BUY,PCAR,57.0,1620,2014-04-29 02:00:00
2014-04-30 02:00:00,BUY,EXC,35.03,2659,2014-04-30 02:00:00
2014-05-01 02:00:00,BUY,ANSS,72.49,1320,2014-05-01 02:00:00
2014-05-02 02:00:00,BUY,XEL,31.19,3132,2014-05-02 02:00:00
2014-05-05 02:00:00,BUY,NXPI,61.22,1598,2014-05-05 02:00:00
2014-05-06 02:00:00,BUY,MRVL,15.395,6286,2014-05-06 02:00:00
2014-05-07 02:00:00,BUY,TCOM,22.837,4215,2014-05-07 02:00:00
2014-05-08 02:00:00,BUY,CDNS,15.53,6147,2014-05-08 02:00:00
2014-05-09 02:00:00,BUY,FISV,30.5,3119,2014-05-09 02:00:00
2014-05-12 02:00:00,BUY,EXC,35.4,2714,2014-05-12 02:00:00
2014-05-13 02:00:00,BUY,XLNX,46.18,2094,2014-05-13 02:00:00
2014-05-14 02:00:00,BUY,CSX,9.78666666666667,9805,2014-05-14 02:00:00
2014-05-15 02:00:00,BUY,INCY,50.95,1864,2014-05-15 02:00:00
2014-05-16 02:00:00,BUY,TMUS,33.09,2794,2014-05-16 02:00:00
2014-05-19 02:00:00,BUY,AEP,51.02,1850,2014-05-19 02:00:00
2014-05-20 02:00:00,BUY,CDNS,16.29,5788,2014-05-20 02:00:00
2014-05-21 02:00:00,BUY,ASML,82.99,1153,2014-05-21 02:00:00
2014-05-22 02:00:00,BUY,SPLK,45.75,2101,2014-05-22 02:00:00
2014-05-23 02:00:00,BUY,JD,20.1,4807,2014-05-23 02:00:00
2014-05-27 02:00:00,BUY,JD,22.97,4807,2014-05-27 02:00:00
2014-05-28 02:00:00,BUY,COST,97.24,1225,2014-05-28 02:00:00
2014-05-29 02:00:00,BUY,MAR,60.68,1961,2014-05-29 02:00:00
2014-05-30 02:00:00,BUY,TXN,46.98,2572,2014-05-30 02:00:00
2014-06-02 02:00:00,BUY,MRVL,15.92,7592,2014-06-02 02:00:00
2014-06-03 02:00:00,BUY,LRCX,64.65,1886,2014-06-03 02:00:00
2014-06-04 02:00:00,BUY,MU,28.97,4203,2014-06-04 02:00:00
2014-06-05 02:00:00,BUY,AMZN,323.57,377,2014-06-05 02:00:00
2014-06-06 02:00:00,BUY,ANSS,75.83,1639,2014-06-06 02:00:00
2014-06-09 02:00:00,BUY,GILD,79.005,1588,2014-06-09 02:00:00
2014-06-10 02:00:00,BUY,DLTR,54.61,2313,2014-06-10 02:00:00
2014-06-11 02:00:00,BUY,EXC,35.75,3511,2014-06-11 02:00:00
2014-06-12 02:00:00,BUY,KLAC,54.551401,2257,2014-06-12 02:00:00
2014-06-13 02:00:00,BUY,AVGO,71.42,2167,2014-06-13 02:00:00
2014-06-16 02:00:00,BUY,VRTX,67.12,2288,2014-06-16 02:00:00
2014-06-17 02:00:00,BUY,SGEN,39.29,3838,2014-06-17 02:00:00
2014-06-18 02:00:00,BUY,ADI,55.13,2764,2014-06-18 02:00:00
2014-06-19 02:00:00,BUY,INCY,55.91,2715,2014-06-19 02:00:00
2014-06-20 02:00:00,BUY,FOX,33.57,4561,2014-06-20 02:00:00
2014-06-23 02:00:00,BUY,CTAS,63.18,2420,2014-06-23 02:00:00
2014-06-24 02:00:00,BUY,MCHP,24.38,6208,2014-06-24 02:00:00
2014-06-25 02:00:00,BUY,MELI,89.67,1690,2014-06-25 02:00:00
2014-06-26 02:00:00,BUY,IDXX,67.085,2289,2014-06-26 02:00:00
2014-06-27 02:00:00,BUY,VRSN,48.76,3138,2014-06-27 02:00:00
2014-06-30 02:00:00,BUY,CMCSA,26.84,5707,2014-06-30 02:00:00
2014-07-01 02:00:00,BUY,EXC,35.7,4325,2014-07-01 02:00:00
2014-07-02 02:00:00,BUY,SPLK,55.08,2716,2014-07-02 02:00:00
2014-07-03 02:00:00,BUY,AMD,4.24,34436,2014-07-03 02:00:00
2014-07-07 02:00:00,BUY,AAPL,23.992,6114,2014-07-07 02:00:00
2014-07-08 02:00:00,BUY,COST,100.46,1450,2014-07-08 02:00:00
2014-07-09 02:00:00,BUY,ORLY,155.65,940,2014-07-09 02:00:00
2014-07-10 02:00:00,BUY,MNST,23.62,6117,2014-07-10 02:00:00
2014-07-11 02:00:00,BUY,MDLZ,38.42,3768,2014-07-11 02:00:00
2014-07-14 02:00:00,BUY,SNPS,39.16,3710,2014-07-14 02:00:00
2014-07-15 02:00:00,BUY,MRVL,14.18,10301,2014-07-15 02:00:00
2014-07-16 02:00:00,BUY,INTC,34.65,4278,2014-07-16 02:00:00
2014-07-17 02:00:00,BUY,SIRI,3.455,41729,2014-07-17 02:00:00
2014-07-18 02:00:00,BUY,NVDA,4.61,31139,2014-07-18 02:00:00
2014-07-21 02:00:00,BUY,ASML,87.46,1651,2014-07-21 02:00:00
2014-07-22 02:00:00,BUY,IDXX,65.775,2188,2014-07-22 02:00:00
2014-07-23 02:00:00,BUY,ISRG,51.2922233333333,2848,2014-07-23 02:00:00
2014-07-24 02:00:00,BUY,LULU,39.51,3791,2014-07-24 02:00:00
2014-07-25 02:00:00,BUY,AMZN,324.01,456,2014-07-25 02:00:00
2014-07-28 02:00:00,BUY,AEP,54.65,2677,2014-07-28 02:00:00
2014-07-29 02:00:00,BUY,PCAR,57.0,2540,2014-07-29 02:00:00
2014-07-30 02:00:00,BUY,MDLZ,36.97,3944,2014-07-30 02:00:00
2014-07-31 02:00:00,BUY,DXCM,37.68,3770,2014-07-31 02:00:00
2014-08-01 02:00:00,BUY,CHKP,66.59,2108,2014-08-01 02:00:00
2014-08-04 02:00:00,BUY,FOX,31.37,4499,2014-08-04 02:00:00
2014-08-05 02:00:00,BUY,INTC,32.82,4254,2014-08-05 02:00:00
2014-08-06 02:00:00,BUY,CTSH,43.67,3199,2014-08-06 02:00:00
