datetime,open,high,low,close,volume
2014-01-02 02:00:00,57.2,57.25,56.52,56.63,5376471
2014-01-03 02:00:00,56.99,57.06,56.345,56.82,4261493
2014-01-06 02:00:00,57.16,57.93,56.71,57.14,5842866
2014-01-07 02:00:00,57.34,58.22,57.29,57.51,5808552
2014-01-08 02:00:00,57.45,59.432,57.07,59.36,10379863
2014-01-09 02:00:00,59.39,62.24,59.38,61.14,15068295
2014-01-10 02:00:00,60.97,61.33,60.0,60.36,7385549
2014-01-13 02:00:00,60.27,61.185,60.08,60.2,5422026
2014-01-14 02:00:00,60.28,60.39,59.74,60.0,5766485
2014-01-15 02:00:00,60.07,60.46,59.44,59.49,6321824
2014-01-16 02:00:00,59.66,60.02,58.93,59.89,6523067
2014-01-17 02:00:00,59.75,60.0,59.12,59.16,6011256
2014-01-21 02:00:00,59.14,59.43,58.23,58.73,4611365
2014-01-22 02:00:00,59.53,60.39,58.805,58.91,7444875
2014-01-23 02:00:00,58.38,58.98,58.19,58.35,3679540
2014-01-24 02:00:00,58.05,58.54,57.23,57.23,6562509
2014-01-27 02:00:00,57.02,57.78,56.8,57.4,5549153
2014-01-28 02:00:00,57.36,57.97,57.01,57.02,3785259
2014-01-29 02:00:00,56.8,57.169,56.42,56.5,5973469
2014-01-30 02:00:00,56.73,57.74,56.72,57.26,4128024
2014-01-31 02:00:00,56.6,57.57,56.51,57.35,6977184
2014-02-03 02:00:00,57.33,57.45,55.355,55.57,10043202
2014-02-04 02:00:00,55.91,56.03,55.3075,55.95,6697945
2014-02-05 02:00:00,55.53,57.93,55.27,57.85,8113915
2014-02-06 02:00:00,57.98,59.29,57.9,59.22,6601279
2014-02-07 02:00:00,59.54,60.96,59.395,60.96,9143520
2014-02-10 02:00:00,60.76,60.93,60.14,60.65,5031445
2014-02-11 02:00:00,61.02,64.71,61.0,64.2,16113817
2014-02-12 02:00:00,64.1,67.0,63.23,65.42,24542638
2014-02-13 02:00:00,64.48,67.16,64.36,66.39,11104675
2014-02-14 02:00:00,66.09,66.815,64.58,64.78,8268436
2014-02-18 02:00:00,64.86,65.35,64.25,64.54,7719625
2014-02-19 02:00:00,64.73,66.03,64.26,65.51,5810151
2014-02-20 02:00:00,65.49,67.24,65.43,66.55,6331631
2014-02-21 02:00:00,66.61,66.75,65.78,66.32,3869330
2014-02-24 02:00:00,66.46,67.25,66.41,66.52,4783813
2014-02-25 02:00:00,66.53,68.24,65.97,66.95,7117493
2014-02-26 02:00:00,66.86,67.49,66.02,66.51,5148363
2014-02-27 02:00:00,66.36,68.5,66.36,68.19,6981220
2014-02-28 02:00:00,68.16,69.84,67.26,67.95,5563585
2014-03-03 02:00:00,67.6,68.2,66.41,67.4,7405787
2014-03-04 02:00:00,68.45,69.45,68.4,69.09,7256101
2014-03-05 02:00:00,69.18,69.18,67.96,68.48,4508419
2014-03-06 02:00:00,68.86,68.92,66.64,66.71,6453227
2014-03-07 02:00:00,66.81,67.66,66.6,67.21,5941549
2014-03-10 01:00:00,67.0,67.24,66.53,66.78,4176870
2014-03-11 01:00:00,66.95,67.2,66.27,66.52,3309386
2014-03-12 01:00:00,67.74,68.67,66.75,66.93,8244440
2014-03-13 01:00:00,67.16,68.08,66.57,66.93,4709829
2014-03-14 01:00:00,66.79,67.53,66.68,67.07,4320033
2014-03-17 01:00:00,67.32,67.81,66.89,67.34,2991165
2014-03-18 01:00:00,67.25,67.4,66.75,67.2,4698012
2014-03-19 01:00:00,67.17,67.3997,66.335,66.83,6265070
2014-03-20 01:00:00,66.61,66.86,66.21,66.5,3666386
2014-03-21 01:00:00,66.85,67.03,64.51,64.75,11839972
2014-03-24 01:00:00,65.14,65.42,63.07,64.31,8470845
2014-03-25 01:00:00,65.93,68.15,65.56,66.42,12820590
2014-03-26 01:00:00,66.11,66.63,63.9201,64.93,10607661
2014-03-27 01:00:00,64.81,65.18,63.91,64.35,6118154
2014-03-28 01:00:00,64.48,65.68,64.42,65.36,5210436
2014-03-31 01:00:00,65.77,66.64,65.49,66.03,4845185
2014-04-01 01:00:00,65.61,66.18,65.0,65.83,4662411
2014-04-02 01:00:00,65.62,66.485,65.41,66.35,3936139
2014-04-03 01:00:00,66.29,67.19,66.01,67.09,5296539
2014-04-04 01:00:00,67.27,67.67,65.73,66.05,5943151
2014-04-07 01:00:00,65.95,66.12,64.59,65.1,7528436
2014-04-08 01:00:00,64.82,65.2,63.26,63.82,7928365
2014-04-09 01:00:00,63.97,65.9,63.525,65.52,9828887
2014-04-10 01:00:00,65.99,66.87,63.075,63.4,9941994
2014-04-11 01:00:00,63.3,64.86,62.8,64.26,8314117
2014-04-14 01:00:00,65.06,66.23,64.94,65.67,9758523
2014-04-15 01:00:00,65.66,66.07,64.0,66.01,8274046
2014-04-16 01:00:00,66.35,66.62,65.76,66.16,5529319
2014-04-17 01:00:00,65.99,67.11,65.59,66.75,6221164
2014-04-21 01:00:00,66.36,66.6,65.759,66.13,4814521
2014-04-22 01:00:00,66.18,68.12,66.05,67.38,7208494
2014-04-23 01:00:00,67.54,68.31,67.22,67.39,5740868
2014-04-24 01:00:00,67.52,67.99,66.85,67.42,3455308
2014-04-25 01:00:00,67.33,67.481,66.31,66.65,5377970
2014-04-28 01:00:00,67.13,68.12,66.68,67.45,5342746
2014-04-29 01:00:00,67.74,68.03,66.56,67.32,4017196
2014-04-30 01:00:00,67.2,67.95,66.37,67.9,5886502
2014-05-01 01:00:00,68.03,70.07,67.75,69.43,7858979
