datetime,open,high,low,close,volume
2010-02-16 02:00:00,40.32,42.6,40.2,42.58,7253638
2010-02-17 02:00:00,42.87,42.94,41.92,42.64,4111671
2010-02-18 02:00:00,42.44,43.46,41.95,43.4,3952660
2010-02-19 02:00:00,43.34,43.79,42.95,43.15,3839703
2010-02-22 02:00:00,43.27,43.48,42.28,42.37,4200821
2010-02-23 02:00:00,42.39,42.39,40.49,40.84,5144831
2010-02-24 02:00:00,41.06,41.46,38.83,38.99,11330531
2010-02-25 02:00:00,38.48,39.26,37.29,39.1,10621789
2010-02-26 02:00:00,39.16,39.16,38.36,38.63,4668754
2010-03-01 02:00:00,38.86,40.65,38.76,40.48,7416428
2010-03-02 02:00:00,40.73,40.81,39.49,39.61,5432990
2010-03-03 02:00:00,39.44,39.45,38.05,38.64,8802999
2010-03-04 02:00:00,38.69,39.48,38.15,39.43,5560742
2010-03-05 02:00:00,39.58,39.68,38.95,39.25,4500994
2010-03-08 02:00:00,39.27,39.82,38.7601,39.6,5037817
2010-03-09 02:00:00,39.51,39.77,38.43,38.79,6903290
2010-03-10 02:00:00,38.96,39.15,37.96,38.07,7367650
2010-03-11 02:00:00,37.33,38.94,36.22,38.86,14512480
2010-03-12 02:00:00,38.85,38.91,37.73,38.38,6656182
2010-03-15 01:00:00,38.44,38.63,37.67,38.25,4216262
2010-03-16 01:00:00,38.24,38.67,37.84,38.58,4442028
2010-03-17 01:00:00,39.02,39.95,38.87,39.16,6500573
2010-03-18 01:00:00,39.36,39.42,38.82,39.01,2739372
2010-03-19 01:00:00,39.06,39.16,37.76,38.14,5403650
2010-03-22 01:00:00,38.08,40.83,37.95,40.64,9478807
2010-03-23 01:00:00,40.8,42.21,40.55,42.02,8590067
2010-03-24 01:00:00,42.01,42.4,41.51,41.69,4801391
2010-03-25 01:00:00,42.14,42.4,40.66,40.68,5737973
2010-03-26 01:00:00,40.29,40.43,39.02,39.55,9289690
2010-03-29 01:00:00,40.03,40.53,39.77,39.97,4385602
2010-03-30 01:00:00,40.18,40.18,38.81,39.35,5937886
2010-03-31 01:00:00,38.86,39.71,38.5,38.99,4424671
2010-04-01 01:00:00,39.44,39.8,38.55,39.01,3978854
2010-04-05 01:00:00,39.34,40.77,39.2,40.63,4698157
2010-04-06 01:00:00,40.27,41.23,40.13,41.05,3909576
2010-04-07 01:00:00,40.97,40.97,39.95,40.28,4940080
2010-04-08 01:00:00,40.09,40.66,39.58,40.34,3156560
2010-04-09 01:00:00,40.68,41.39,40.38,41.39,3636075
2010-04-12 01:00:00,41.74,42.24,40.75,41.08,4843012
2010-04-13 01:00:00,40.99,41.57,40.05,40.15,7412125
2010-04-14 01:00:00,40.47,42.24,40.42,41.45,9255770
2010-04-15 01:00:00,41.2,42.32,41.11,41.77,4331836
2010-04-16 01:00:00,41.37,42.09,40.0,40.44,6702766
2010-04-19 01:00:00,40.15,40.25,38.64,39.58,8776531
2010-04-20 01:00:00,39.93,40.57,39.51,40.22,4632352
2010-04-21 01:00:00,41.09,41.09,39.7,40.29,6123301
2010-04-22 01:00:00,39.96,40.88,38.96,40.68,8892834
2010-04-23 01:00:00,42.26,44.84,42.08,44.71,16156524
2010-04-26 01:00:00,44.6,45.09,44.0,44.11,5614698
2010-04-27 01:00:00,43.85,44.03,42.58,42.8,5379054
2010-04-28 01:00:00,43.32,43.4,42.23,42.76,5293751
2010-04-29 01:00:00,43.23,43.37,42.375,42.93,3886405
2010-04-30 01:00:00,43.02,43.02,41.0,41.09,4752664
2010-05-03 01:00:00,41.49,42.09,41.27,41.74,2929344
2010-05-04 01:00:00,41.13,41.23,40.01,40.53,4745663
2010-05-05 01:00:00,40.02,41.2,39.58,40.66,3948829
2010-05-06 01:00:00,40.36,40.6,35.27,38.75,7518315
2010-05-07 01:00:00,38.51,39.32,36.75,38.34,7853095
2010-05-10 01:00:00,40.5,41.2,39.55,39.95,5963938
2010-05-11 01:00:00,39.32,40.53,39.15,39.65,3750853
2010-05-12 01:00:00,39.98,40.76,39.95,40.59,2404154
2010-05-13 01:00:00,40.35,40.97,39.43,39.68,2753047
2010-05-14 01:00:00,39.32,39.32,37.63,38.56,4617681
2010-05-17 01:00:00,38.99,39.5,37.96,39.08,4470252
2010-05-18 01:00:00,39.46,39.62,36.5,36.73,9175063
2010-05-19 01:00:00,36.58,37.32,35.6,36.06,6867861
2010-05-20 01:00:00,35.1,36.16,34.5601,35.23,6683914
2010-05-21 01:00:00,34.76,36.77,34.5,36.01,6525923
2010-05-24 01:00:00,36.06,36.54,35.51,35.55,3893604
2010-05-25 01:00:00,34.56,35.25,33.69,35.16,9106135
2010-05-26 01:00:00,35.64,36.22,34.02,34.36,9779784
2010-05-27 01:00:00,35.25,36.43,35.11,36.31,5552015
2010-05-28 01:00:00,36.3,36.33,34.32,34.81,6321231
2010-06-01 01:00:00,34.24,35.34,33.55,33.56,6715336
