datetime,open,high,low,close,volume
2014-01-02 02:00:00,27.91,27.94,27.5,27.51,3192314
2014-01-03 02:00:00,27.48,27.635,27.38,27.5,2939378
2014-01-06 02:00:00,27.56,27.62,27.27,27.35,3382267
2014-01-07 02:00:00,27.45,27.85,27.4,27.82,3481465
2014-01-08 02:00:00,27.76,27.84,27.66,27.71,3563670
2014-01-09 02:00:00,27.76,27.9,27.635,27.82,2647369
2014-01-10 02:00:00,27.88,28.38,27.88,28.25,3203766
2014-01-13 02:00:00,28.23,28.31,27.97,28.04,2738788
2014-01-14 02:00:00,28.29,28.3,28.02,28.12,3436513
2014-01-15 02:00:00,28.14,28.2,27.98,28.02,2104160
2014-01-16 02:00:00,28.0,28.24,27.9122,28.2,2887761
2014-01-17 02:00:00,28.21,28.34,28.13,28.2,2902115
2014-01-21 02:00:00,28.31,28.485,28.18,28.45,2437632
2014-01-22 02:00:00,28.44,28.5825,28.42,28.55,1518430
2014-01-23 02:00:00,28.43,28.54,28.302,28.48,2175419
2014-01-24 02:00:00,28.4,28.615,28.06,28.06,3721186
2014-01-27 02:00:00,28.1,28.32,28.03,28.18,2905034
2014-01-28 02:00:00,28.2,28.23,28.02,28.2,2763884
2014-01-29 02:00:00,28.09,28.32,28.05,28.16,3524846
2014-01-30 02:00:00,28.34,28.73,28.19,28.73,2803722
2014-01-31 02:00:00,28.51,29.02,28.43,28.91,3546359
2014-02-03 02:00:00,28.94,29.33,28.575,28.61,3712055
2014-02-04 02:00:00,28.7,28.755,28.34,28.42,3340055
2014-02-05 02:00:00,28.35,28.44,28.21,28.27,2351494
2014-02-06 02:00:00,28.26,28.52,28.21,28.46,1773086
2014-02-07 02:00:00,28.53,28.64,28.38,28.63,1650462
2014-02-10 02:00:00,28.54,28.77,28.33,28.75,1348436
2014-02-11 02:00:00,28.72,29.07,28.68,29.01,1784380
2014-02-12 02:00:00,29.02,29.21,28.92,29.12,2259319
2014-02-13 02:00:00,28.99,29.45,28.9755,29.43,1962690
2014-02-14 02:00:00,29.36,29.65,29.291,29.65,1823975
2014-02-18 02:00:00,29.76,29.81,29.597,29.69,1996854
2014-02-19 02:00:00,29.64,29.79,29.48,29.54,1922700
2014-02-20 02:00:00,29.58,29.89,29.52,29.83,1607210
2014-02-21 02:00:00,29.77,30.17,29.74,30.05,3159682
2014-02-24 02:00:00,30.09,30.21,29.98,29.98,3588900
2014-02-25 02:00:00,29.93,30.12,29.88,30.0,2464880
2014-02-26 02:00:00,30.12,30.15,29.87,29.91,2084672
2014-02-27 02:00:00,29.92,30.09,29.8,29.93,2242779
2014-02-28 02:00:00,29.99,30.33,29.98,30.29,3065939
2014-03-03 02:00:00,30.2,30.32,29.98,30.01,3592791
2014-03-04 02:00:00,30.25,30.3,30.13,30.27,3187160
2014-03-05 02:00:00,30.26,30.27,30.02,30.03,2934146
2014-03-06 02:00:00,30.03,30.1,29.805,29.87,2559723
2014-03-07 02:00:00,29.86,29.89,29.57,29.89,3481164
2014-03-10 01:00:00,29.86,29.9,29.595,29.75,2167005
2014-03-11 01:00:00,29.83,29.83,29.5,29.59,1910159
2014-03-12 01:00:00,29.55,29.92,29.55,29.92,2502799
2014-03-13 01:00:00,30.03,30.42,29.78,30.38,3346209
